clusterID	N	coord	gene	annotation	FDR
clu_15424_-	10	chr8:101719648-101915809	NCALD	cryptic	5.9e-107
clu_107876_+	14	chr6:26365217-26443957	BTN3A3	cryptic	1.72e-77
clu_133646_+	4	chr15:25240212-25242072	SNHG14	cryptic	1.96e-77
clu_86769_+	7	chr3:129488397-129499902	IFT122	cryptic	1.2e-74
clu_98593_?	12	chr12:124911899-124913724	UBC	cryptic	1.37e-74
clu_156833_+	23	chr17:55774859-55965579	PCTP	cryptic	1.37e-68
clu_124477_-	5	chr1:1668472-1675463	SLC35E2B	cryptic	6.99e-68
clu_150078_+	8	chr11:62856381-62881019	SLC3A2	annotated	1.31e-67
clu_89732_-	5	chr17:3679784-3688012	P2RX5	cryptic	2.46e-64
clu_68338_+	15	chr22:45323427-45330603	FAM118A	cryptic	5.16e-62
clu_76754_-	14	chr14:24440926-24442346	SDR39U1	cryptic	5.63e-56
clu_61819_+	27	chrX:65075912-65488646	ZC3H12B	cryptic	7.18e-55
clu_178089_+	5	chr7:140696842-140702866	NDUFB2	cryptic	1.57e-52
clu_60118_+	9	chr1:213051509-213104454	RPS6KC1	cryptic	4.29e-49
clu_119592_-	11	chr12:124911899-124913724	UBC	cryptic	2.4e-46
clu_85040_+	11	chr3:39467740-39513383	MOBP	cryptic	8.68e-42
clu_47817_+	21	chr12:127915682-127958618	LINC00507	cryptic	8.61e-41
clu_133672_+	10	chr15:25252333-25266431	SNHG14	cryptic	4.5e-40
clu_95899_-	7	chr18:36780188-36798449	TPGS2	annotated	5.99e-40
clu_130639_-	42	chr1:248400044-248745142	LYPD8	cryptic	2.62e-37
clu_133640_+	3	chr15:25187905-25189741	SNHG14	cryptic	5.55e-37
clu_76575_-	3	chr14:22905453-22906195	RBM23	annotated	5.01e-35
clu_148370_?	13	chr8:101719648-101915809	NCALD	cryptic	6.33e-34
clu_138909_+	3	chr2:97198491-97200334	ANKRD36	cryptic	6.57e-34
clu_25878_-	4	chr5:131162676-131165095	HINT1	cryptic	3.07e-31
clu_119593_-	27	chr12:124911952-124913549	UBC	cryptic	3.89e-31
clu_5044_-	6	chr11:45533125-45542444	RP11-958J22.1	cryptic	4.39e-31
clu_92269_-	3	chr17:64805100-64821767	PLEKHM1P1	annotated	5.35e-31
clu_161115_-	13	chr7:144623261-144682909	TPK1	cryptic	6.1e-31
clu_158756_-	16	chr7:30568989-30585330	AC005154.6	cryptic	1.06e-30
clu_130646_-	5	chr1:248745279-248748289	LYPD8	cryptic	4.46e-30
clu_36214_+	25	chr13:45378671-45392090	TPT1-AS1	cryptic	1.59e-29
clu_133756_+	3	chr15:29106819-29108270	APBA2	cryptic	1.97e-29
clu_133437_+	4	chr15:25099278-25103859	SNHG14	cryptic	3.47e-29
clu_43023_-	5	chr9:96918826-96949555	MFSD14C	cryptic	3.54e-29
clu_18097_-	8	chr3:41912899-41919717	ULK4	cryptic	7.38e-29
clu_107476_+	13	chr6:3228959-3302858	PSMG4	cryptic	3.45e-28
clu_138911_+	5	chr2:97204096-97209681	ANKRD36	cryptic	6.39e-28
clu_51248_-	3	chr2:97558994-97560832	ANKRD36B	cryptic	6.71e-27
clu_134215_+	4	chr15:43330718-43333311	ADAL	cryptic	1.04e-26
clu_131270_+	6	chr10:32462703-32472481	CCDC7	cryptic	4.21e-26
clu_78310_-	32	chr14:104942469-104953339	.	annotated	4.57e-26
clu_61615_+	6	chrX:48890697-48898492	PQBP1	cryptic	3.44e-25
clu_90467_-	12	chr17:18519674-18533347	CTD-2303H24.2	cryptic	4.57e-25
clu_91026_-	6	chr17:38153349-38256898	CH17-431G21.1	cryptic	4.98e-25
clu_19207_-	13	chr3:75426599-75432808	FAM86DP	cryptic	5.1e-25
clu_119496_-	7	chr12:123223127-123230261	MPHOSPH9	cryptic	6.37e-25
clu_57400_+	16	chr1:121717237-121879513	.	annotated	7.39e-25
clu_124483_-	4	chr1:1734835-1738321	SLC35E2	cryptic	1.37e-24
clu_76685_-	37	chr14:23902712-24114722	DHRS4-AS1	cryptic	2.61e-24
clu_111500_+	5	chr4:51843267-51863437	DCUN1D4	annotated	2.8e-24
clu_58089_+	8	chr1:148868622-148937747	PDE4DIP	cryptic	4.72e-23
clu_152033_+	16	chr11:125164776-125397874	PKNOX2	annotated	1.22e-22
clu_78244_-	6	chr14:103913984-103921470	C14orf2	annotated	3.41e-22
clu_62231_+	4	chrX:103310981-103330984	TCEAL7	cryptic	6.04e-22
clu_26765_-	3	chr5:176629663-176630280	SNCB	cryptic	6.97e-22
clu_72791_+	3	chr5:80434217-80436756	ZFYVE16	annotated	7.08e-22
clu_57338_+	10	chr1:120823360-120840350	NBPF26	cryptic	8.62e-22
clu_49144_-	8	chr2:9406113-9406562	.	annotated	1.6e-21
clu_4801_-	5	chr11:34890552-34916228	APIP	cryptic	4.81e-21
clu_15152_-	10	chr8:79919148-80030054	MRPS28	cryptic	4.9e-21
clu_116796_-	12	chr12:11047188-11171422	PRR4	cryptic	5.25e-21
clu_95732_-	12	chr18:23377671-23437781	TMEM241	cryptic	6.25e-21
clu_73009_+	3	chr5:96740118-96741266	CAST	annotated	8.12e-21
clu_74731_+	7	chr5:181317395-181333743	AC138035.2	cryptic	8.12e-21
clu_66410_-	9	chr19:50979924-50983851	KLK7	cryptic	1.06e-20
clu_137776_+	18	chr2:39518710-39665087	AC007246.3	cryptic	3e-20
clu_60999_+	7	chrX:10067490-10090771	WWC3	cryptic	3.28e-20
clu_22160_-	7	chr10:47542306-47544389	BMS1P2	cryptic	1.08e-19
clu_20595_-	12	chr3:177925040-177959745	RP11-2L8.2	cryptic	7.16e-19
clu_87556_+	11	chr3:183635747-183650296	KLHL24	cryptic	7.16e-19
clu_85957_+	6	chr3:64685338-64799465	ADAMTS9-AS2	cryptic	1.23e-18
clu_63940_-	18	chr19:9653878-9675015	ZNF562	cryptic	1.31e-18
clu_44399_+	8	chr12:900670-907847	WNK1	cryptic	1.45e-18
clu_109321_+	17	chr6:87322632-87375480	SMIM8	cryptic	1.45e-18
clu_1272_-	9	chrX:103530833-103537907	.	annotated	1.76e-18
clu_138908_+	3	chr2:97196788-97204068	ANKRD36	cryptic	1.8e-18
clu_127848_-	33	chr1:121940764-122194816	.	annotated	3.58e-18
clu_17111_+	11	chr18:54718139-54877567	RAB27B	cryptic	4.6e-18
clu_67662_+	6	chr22:31944820-31956139	YWHAH	annotated	8.02e-18
clu_49142_-	40	chr2:9406046-9406551	.	annotated	9.6e-18
clu_22059_-	13	chr10:42523738-42551577	ZNF37BP	cryptic	1.26e-17
clu_31453_-	8	chr16:1962606-1964449	RPS2	cryptic	3.83e-17
clu_90070_-	3	chr17:7626793-7627143	SAT2	annotated	6.3e-17
clu_161138_-	9	chr7:149074538-149090623	ZNF786	cryptic	1.03e-16
clu_21142_-	5	chr3:197624187-197627780	AC024560.3	annotated	1.27e-16
clu_49208_-	40	chr2:11124785-11132273	AC062028.1	cryptic	2.5e-16
clu_15203_-	7	chr8:85217502-85220306	C8orf59	cryptic	2.6e-16
clu_57340_+	7	chr1:120824146-120836517	NBPF26	cryptic	3.75e-16
clu_7285_-	6	chr11:130879711-130903255	SNX19	cryptic	4.97e-16
clu_178128_+	11	chr7:142792080-142802503	TRBC2	cryptic	5.24e-16
clu_91643_-	11	chr17:46094701-46223671	KANSL1	cryptic	8.13e-16
clu_38497_?	12	chr2:97204096-97211546	ANKRD36	cryptic	8.13e-16
clu_29894_+	8	chr20:21132159-21161871	KIZ	cryptic	1.58e-15
clu_61190_+	3	chrX:19344094-19349312	PDHA1	annotated	2.68e-15
clu_123895_+	3	chr19:54200888-54201160	RPS9	annotated	2.95e-15
clu_92546_-	3	chr17:75042277-75046925	ATP5H	cryptic	3.32e-15
clu_22164_-	4	chr10:48051778-48052504	BMS1P7	cryptic	4.13e-15
clu_54419_+	7	chr1:11980484-11989165	MFN2	cryptic	9.88e-15
clu_33553_-	20	chr16:80976179-81006734	CMC2	cryptic	9.88e-15
clu_9534_-	7	chr15:27986643-28014776	OCA2	cryptic	1.91e-14
clu_134543_+	3	chr15:50482065-50489801	USP8	annotated	2.48e-14
clu_52839_-	4	chr2:199667469-199846075	FTCDNL1	cryptic	2.72e-14
clu_4754_-	30	chr11:31433570-31509577	IMMP1L	cryptic	3.67e-14
clu_92272_-	8	chr17:64822393-64829161	PLEKHM1P1	cryptic	3.67e-14
clu_93121_-	6	chr17:82037013-82037631	DCXR	cryptic	4e-14
clu_10378_-	11	chr15:55389433-55439472	CCPG1	cryptic	5.23e-14
clu_162254_-	11	chr4:36012831-36045979	ARAP2	cryptic	5.25e-14
clu_112040_+	3	chr4:98293515-98343139	RAP1GDS1	annotated	5.56e-14
clu_10942_-	2	chr15:74837435-74837757	ULK3	annotated	7.35e-14
clu_163776_-	12	chr4:163700863-164111588	MARCH1	cryptic	7.87e-14
clu_112276_+	7	chr4:118278792-118279624	SNHG8	cryptic	7.95e-14
clu_177412_+	23	chr7:102493451-102689279	.	annotated	7.97e-14
clu_41380_+	24	chr21:44409522-44411000	.	annotated	1.16e-13
clu_125796_-	3	chr1:31688971-31689741	COL16A1	cryptic	1.42e-13
clu_133644_+	3	chr15:25227049-25228780	SNHG14	cryptic	2.13e-13
clu_78104_-	11	chr14:100361921-100376260	WARS	annotated	2.75e-13
clu_42875_-	4	chr9:92068098-92080016	SPTLC1	cryptic	2.95e-13
clu_23992_-	4	chr5:748559-751141	ZDHHC11B	cryptic	3.73e-13
clu_75742_-	4	chr20:38431112-38435197	SNHG17	annotated	4.01e-13
clu_67206_+	13	chr22:22304114-22309736	LL22NC03-80A10.6	cryptic	4.01e-13
clu_109533_+	5	chr6:108876350-108899694	ARMC2	cryptic	4.37e-13
clu_119591_-	22	chr12:124911822-124913419	.	annotated	4.71e-13
clu_75487_-	10	chr20:35272145-35279566	MMP24-AS1	cryptic	4.85e-13
clu_160411_-	7	chr7:103103554-103128483	NAPEPLD	cryptic	8.26e-13
clu_24165_-	14	chr5:1576309-1589247	SDHAP3	cryptic	1.23e-12
clu_25706_-	9	chr5:110332925-110568447	TMEM232	cryptic	1.44e-12
clu_3630_-	4	chr22:41586193-41589719	PMM1	cryptic	1.49e-12
clu_130268_-	10	chr1:232515608-232630430	SIPA1L2	cryptic	1.67e-12
clu_44898_+	25	chr12:9448878-9606410	RP11-726G1.1	cryptic	1.75e-12
clu_15136_-	8	chr8:76858185-76999990	PEX2	cryptic	1.81e-12
clu_128104_-	12	chr1:145291769-145336814	NBPF20	cryptic	2.11e-12
clu_24524_-	4	chr5:33998782-34005756	AMACR	annotated	2.37e-12
clu_129121_-	6	chr1:169310080-169367708	NME7	annotated	2.48e-12
clu_47646_+	5	chr12:122981266-122981656	ARL6IP4	annotated	2.48e-12
clu_72333_+	12	chr5:69369933-69374628	RAD17	cryptic	2.58e-12
clu_159059_-	22	chr7:45083435-45084396	.	annotated	2.66e-12
clu_157475_+	11	chr17:75226157-75231340	NUP85	cryptic	2.82e-12
clu_57039_+	6	chr1:109659110-109674747	GSTM4	annotated	4.36e-12
clu_161712_-	15	chr4:2174751-2198524	POLN	cryptic	4.55e-12
clu_89735_-	4	chr17:3690680-3691644	P2RX5	cryptic	5.41e-12
clu_85178_+	28	chr3:43994766-44172332	.	annotated	6.65e-12
clu_167035_+	3	chr16:58509352-58511422	NDRG4	annotated	6.81e-12
clu_52870_-	6	chr2:200877037-200881421	PPIL3	cryptic	6.81e-12
clu_3114_-	9	chr22:30664080-30667824	DUSP18	cryptic	6.81e-12
clu_67489_+	5	chr22:29215630-29231020	EMID1	cryptic	8.78e-12
clu_54743_+	4	chr1:21473585-21478144	NBPF3	cryptic	1.09e-11
clu_92365_-	3	chr17:69175513-69182153	ABCA10	annotated	1.09e-11
clu_166067_+	17	chr16:22533836-22536015	.	annotated	1.13e-11
clu_11464_-	13	chr15:95150598-95256674	LINC01197	cryptic	1.27e-11
clu_161927_-	10	chr4:9224246-9247975	.	annotated	1.27e-11
clu_19927_-	6	chr3:129171508-129183776	CNBP	cryptic	1.59e-11
clu_138910_+	3	chr2:97200525-97207811	ANKRD36	cryptic	1.62e-11
clu_75298_-	10	chr20:28559671-28586299	FRG1CP	cryptic	1.71e-11
clu_133647_+	3	chr15:25247716-25250681	SNHG14	cryptic	1.82e-11
clu_53839_+	10	chr1:1060393-1065949	RP11-465B22.3	cryptic	2.47e-11
clu_137291_+	3	chr2:24164335-24169356	FAM228B	annotated	2.47e-11
clu_133619_+	10	chr15:25064855-25072725	SNHG14	cryptic	2.61e-11
clu_3704_-	3	chr22:42808890-42817142	ARFGAP3	annotated	2.62e-11
clu_109856_+	5	chr6:130018664-130022227	L3MBTL3	cryptic	3.1e-11
clu_90468_-	5	chr17:18542187-18543673	CTD-2303H24.2	annotated	3.51e-11
clu_11518_-	29	chr15:99717822-99733345	LYSMD4	cryptic	3.62e-11
clu_50592_-	3	chr2:75690719-75694241	GCFC2	annotated	3.66e-11
clu_93118_-	5	chr17:82035245-82036191	DCXR	cryptic	4.27e-11
clu_15337_-	6	chr8:98025738-98045347	RPL30	annotated	4.41e-11
clu_62528_+	10	chrX:121092318-121164059	.	annotated	5.31e-11
clu_55482_+	2	chr1:39026398-39028723	NDUFS5	annotated	6.32e-11
clu_54758_+	4	chr1:22052742-22078429	CDC42	annotated	6.4e-11
clu_72355_+	2	chr5:70421357-70421737	GTF2H2B	annotated	6.83e-11
clu_138476_+	3	chr2:74455174-74455406	INO80B	cryptic	7e-11
clu_41343_+	3	chr21:44117963-44119387	PWP2	cryptic	7.43e-11
clu_127755_-	3	chr1:120620465-120641608	CH17-472G23.4	cryptic	8.91e-11
clu_161928_-	8	chr4:9233889-9338909	.	annotated	8.93e-11
clu_26850_-	8	chr5:177713916-177717163	FAM153A	cryptic	8.93e-11
clu_144018_-	4	chr6:135300558-135318519	AHI1	cryptic	8.93e-11
clu_117728_-	28	chr12:53014943-53054439	RP11-983P16.4	cryptic	1.21e-10
clu_124772_-	15	chr1:6477658-6519445	PLEKHG5	cryptic	1.67e-10
clu_29691_+	16	chr20:8493669-8494132	.	annotated	1.77e-10
clu_137056_+	5	chr2:6941147-7014454	RNF144A	cryptic	2.07e-10
clu_21532_-	22	chr10:13049941-13099506	CCDC3	cryptic	2.16e-10
clu_9627_-	3	chr15:31657077-31870507	OTUD7A	cryptic	2.83e-10
