region	dataset	gene_id	direction	method	external_gene_name
Caudate	BS_Caudate_SZ	ENSG00000272462	All	TWAS	LINC02980
Dentate Gyrus	BS_Caudate_SZ	ENSG00000272462	All	TWAS	LINC02980
Hippocampus	BS_Caudate_SZ	ENSG00000272462	All	TWAS	LINC02980
Caudate	BS_Caudate_SZ	ENSG00000272462	Increased in AA	TWAS	LINC02980
Dentate Gyrus	BS_Caudate_SZ	ENSG00000272462	Increased in AA	TWAS	LINC02980
Hippocampus	BS_Caudate_SZ	ENSG00000272462	Increased in AA	TWAS	LINC02980
Caudate	BS_Caudate_SZ	ENSG00000268658	All	TWAS	LINC00664
Caudate	BS_DLPFC_SZ	ENSG00000268658	All	TWAS	LINC00664
Caudate	BS_Hippocampus_SZ	ENSG00000268658	All	TWAS	LINC00664
DLPFC	BS_Caudate_SZ	ENSG00000268658	All	TWAS	LINC00664
DLPFC	BS_DLPFC_SZ	ENSG00000268658	All	TWAS	LINC00664
DLPFC	BS_Hippocampus_SZ	ENSG00000268658	All	TWAS	LINC00664
Caudate	BS_Caudate_SZ	ENSG00000268658	Decreased in AA	TWAS	LINC00664
Caudate	BS_DLPFC_SZ	ENSG00000268658	Decreased in AA	TWAS	LINC00664
Caudate	BS_Hippocampus_SZ	ENSG00000268658	Decreased in AA	TWAS	LINC00664
DLPFC	BS_Caudate_SZ	ENSG00000268658	Decreased in AA	TWAS	LINC00664
DLPFC	BS_DLPFC_SZ	ENSG00000268658	Decreased in AA	TWAS	LINC00664
DLPFC	BS_Hippocampus_SZ	ENSG00000268658	Decreased in AA	TWAS	LINC00664
Caudate	BS_Caudate_SZ	ENSG00000234745	All	TWAS	HLA-B
Caudate	BS_Caudate_SZ	ENSG00000234745	Increased in AA	TWAS	HLA-B
Caudate	BS_Caudate_SZ	ENSG00000100197	All	TWAS	CYP2D6
Caudate	BS_DLPFC_SZ	ENSG00000100197	All	TWAS	CYP2D6
Caudate	BS_Hippocampus_SZ	ENSG00000100197	All	TWAS	CYP2D6
Caudate	PSY_SZ	ENSG00000100197	All	TWAS	CYP2D6
Caudate	BS_Caudate_SZ	ENSG00000100197	Decreased in AA	TWAS	CYP2D6
Caudate	BS_DLPFC_SZ	ENSG00000100197	Decreased in AA	TWAS	CYP2D6
Caudate	BS_Hippocampus_SZ	ENSG00000100197	Decreased in AA	TWAS	CYP2D6
Caudate	PSY_SZ	ENSG00000100197	Decreased in AA	TWAS	CYP2D6
Caudate	BS_Caudate_SZ	ENSG00000216901	All	TWAS	ZNF603P
Caudate	PSY_SZ	ENSG00000216901	All	TWAS	ZNF603P
Dentate Gyrus	BS_Caudate_SZ	ENSG00000216901	All	TWAS	ZNF603P
Dentate Gyrus	PSY_SZ	ENSG00000216901	All	TWAS	ZNF603P
Dentate Gyrus	BS_Caudate_SZ	ENSG00000216901	Decreased in AA	TWAS	ZNF603P
Dentate Gyrus	PSY_SZ	ENSG00000216901	Decreased in AA	TWAS	ZNF603P
Caudate	BS_Caudate_SZ	ENSG00000216901	Increased in AA	TWAS	ZNF603P
Caudate	PSY_SZ	ENSG00000216901	Increased in AA	TWAS	ZNF603P
Caudate	BS_Caudate_SZ	ENSG00000227811	All	TWAS	INKA2-AS1
Dentate Gyrus	BS_Caudate_SZ	ENSG00000227811	All	TWAS	INKA2-AS1
DLPFC	BS_Caudate_SZ	ENSG00000227811	All	TWAS	INKA2-AS1
Dentate Gyrus	BS_Caudate_SZ	ENSG00000227811	Decreased in AA	TWAS	INKA2-AS1
DLPFC	BS_Caudate_SZ	ENSG00000227811	Decreased in AA	TWAS	INKA2-AS1
Caudate	BS_Caudate_SZ	ENSG00000227811	Increased in AA	TWAS	INKA2-AS1
Caudate	BS_Caudate_SZ	ENSG00000186470	All	TWAS	BTN3A2
Caudate	PSY_SZ	ENSG00000186470	All	TWAS	BTN3A2
Dentate Gyrus	BS_Caudate_SZ	ENSG00000186470	All	TWAS	BTN3A2
Dentate Gyrus	PSY_SZ	ENSG00000186470	All	TWAS	BTN3A2
DLPFC	BS_Caudate_SZ	ENSG00000186470	All	TWAS	BTN3A2
DLPFC	PSY_SZ	ENSG00000186470	All	TWAS	BTN3A2
Hippocampus	BS_Caudate_SZ	ENSG00000186470	All	TWAS	BTN3A2
Hippocampus	PSY_SZ	ENSG00000186470	All	TWAS	BTN3A2
Caudate	BS_Caudate_SZ	ENSG00000186470	Increased in AA	TWAS	BTN3A2
Caudate	PSY_SZ	ENSG00000186470	Increased in AA	TWAS	BTN3A2
Dentate Gyrus	BS_Caudate_SZ	ENSG00000186470	Increased in AA	TWAS	BTN3A2
Dentate Gyrus	PSY_SZ	ENSG00000186470	Increased in AA	TWAS	BTN3A2
DLPFC	BS_Caudate_SZ	ENSG00000186470	Increased in AA	TWAS	BTN3A2
DLPFC	PSY_SZ	ENSG00000186470	Increased in AA	TWAS	BTN3A2
Hippocampus	BS_Caudate_SZ	ENSG00000186470	Increased in AA	TWAS	BTN3A2
Hippocampus	PSY_SZ	ENSG00000186470	Increased in AA	TWAS	BTN3A2
Caudate	BS_Caudate_SZ	ENSG00000217930	All	TWAS	PAM16
Caudate	BS_Caudate_SZ	ENSG00000217930	Decreased in AA	TWAS	PAM16
Caudate	BS_Caudate_SZ	ENSG00000242866	All	TWAS	STRC
Dentate Gyrus	BS_Caudate_SZ	ENSG00000242866	All	TWAS	STRC
Caudate	BS_Caudate_SZ	ENSG00000242866	Decreased in AA	TWAS	STRC
Dentate Gyrus	BS_Caudate_SZ	ENSG00000242866	Decreased in AA	TWAS	STRC
Caudate	BS_Caudate_SZ	ENSG00000157856	All	TWAS	DRC1
Caudate	BS_Caudate_SZ	ENSG00000157856	Increased in AA	TWAS	DRC1
Caudate	BS_Caudate_SZ	ENSG00000206503	All	TWAS	HLA-A
Caudate	BS_Caudate_SZ	ENSG00000206503	Increased in AA	TWAS	HLA-A
Caudate	BS_Caudate_SZ	ENSG00000179344	All	TWAS	HLA-DQB1
DLPFC	BS_Caudate_SZ	ENSG00000179344	All	TWAS	HLA-DQB1
Hippocampus	BS_Caudate_SZ	ENSG00000179344	All	TWAS	HLA-DQB1
DLPFC	BS_Caudate_SZ	ENSG00000179344	Decreased in AA	TWAS	HLA-DQB1
Hippocampus	BS_Caudate_SZ	ENSG00000179344	Decreased in AA	TWAS	HLA-DQB1
Caudate	BS_Caudate_SZ	ENSG00000179344	Increased in AA	TWAS	HLA-DQB1
Caudate	BS_Caudate_SZ	ENSG00000268364	All	TWAS	SMC5-DT
Hippocampus	BS_Caudate_SZ	ENSG00000268364	All	TWAS	SMC5-DT
Caudate	BS_Caudate_SZ	ENSG00000268364	Decreased in AA	TWAS	SMC5-DT
Hippocampus	BS_Caudate_SZ	ENSG00000268364	Decreased in AA	TWAS	SMC5-DT
Caudate	BS_Caudate_SZ	ENSG00000142233	All	TWAS	NTN5
Dentate Gyrus	BS_Caudate_SZ	ENSG00000142233	All	TWAS	NTN5
DLPFC	BS_Caudate_SZ	ENSG00000142233	All	TWAS	NTN5
Hippocampus	BS_Caudate_SZ	ENSG00000142233	All	TWAS	NTN5
Caudate	BS_Caudate_SZ	ENSG00000142233	Increased in AA	TWAS	NTN5
Dentate Gyrus	BS_Caudate_SZ	ENSG00000142233	Increased in AA	TWAS	NTN5
DLPFC	BS_Caudate_SZ	ENSG00000142233	Increased in AA	TWAS	NTN5
Hippocampus	BS_Caudate_SZ	ENSG00000142233	Increased in AA	TWAS	NTN5
Caudate	BS_Caudate_SZ	ENSG00000204055	All	TWAS	IER5L-AS1
Caudate	BS_Hippocampus_SZ	ENSG00000204055	All	TWAS	IER5L-AS1
Caudate	PSY_SZ	ENSG00000204055	All	TWAS	IER5L-AS1
Hippocampus	BS_Caudate_SZ	ENSG00000204055	All	TWAS	IER5L-AS1
Hippocampus	BS_Hippocampus_SZ	ENSG00000204055	All	TWAS	IER5L-AS1
Hippocampus	PSY_SZ	ENSG00000204055	All	TWAS	IER5L-AS1
Caudate	BS_Caudate_SZ	ENSG00000204055	Increased in AA	TWAS	IER5L-AS1
Caudate	BS_Hippocampus_SZ	ENSG00000204055	Increased in AA	TWAS	IER5L-AS1
Caudate	PSY_SZ	ENSG00000204055	Increased in AA	TWAS	IER5L-AS1
Hippocampus	BS_Caudate_SZ	ENSG00000204055	Increased in AA	TWAS	IER5L-AS1
Hippocampus	BS_Hippocampus_SZ	ENSG00000204055	Increased in AA	TWAS	IER5L-AS1
Hippocampus	PSY_SZ	ENSG00000204055	Increased in AA	TWAS	IER5L-AS1
Caudate	BS_Caudate_SZ	ENSG00000185596	All	TWAS	WASH3P
Caudate	BS_Caudate_SZ	ENSG00000185596	Decreased in AA	TWAS	WASH3P
Caudate	BS_Caudate_SZ	ENSG00000278705	All	TWAS	H4C2
DLPFC	BS_Caudate_SZ	ENSG00000278705	All	TWAS	H4C2
Hippocampus	BS_Caudate_SZ	ENSG00000278705	All	TWAS	H4C2
Caudate	BS_Caudate_SZ	ENSG00000278705	Increased in AA	TWAS	H4C2
DLPFC	BS_Caudate_SZ	ENSG00000278705	Increased in AA	TWAS	H4C2
Hippocampus	BS_Caudate_SZ	ENSG00000278705	Increased in AA	TWAS	H4C2
Caudate	BS_Caudate_SZ	ENSG00000272568	All	TWAS	CPVL-AS2
Dentate Gyrus	BS_Caudate_SZ	ENSG00000272568	All	TWAS	CPVL-AS2
DLPFC	BS_Caudate_SZ	ENSG00000272568	All	TWAS	CPVL-AS2
