clusterID	N	coord	gene	annotation	FDR
clu_64405_+	16	chr22:45323427-45330603	FAM118A	cryptic	8.63e-131
clu_111929_-	11	chr12:124911899-124913724	UBC	cryptic	1.13e-130
clu_111930_-	26	chr12:124911952-124913549	UBC	cryptic	5.02e-88
clu_14450_-	11	chr8:101719648-101915809	NCALD	cryptic	5.02e-88
clu_92553_?	14	chr12:124911899-124913725	UBC	cryptic	4.06e-77
clu_146837_+	20	chr17:55774859-55965579	PCTP	cryptic	1.59e-69
clu_79972_+	11	chr3:39467740-39513383	MOBP	cryptic	1.43e-68
clu_100988_+	14	chr6:26365217-26443957	BTN3A3	cryptic	1.43e-68
clu_148974_-	26	chr7:45083435-45084396	.	annotated	1.12e-63
clu_84340_-	5	chr17:3679784-3688012	P2RX5	cryptic	1.87e-62
clu_81592_+	7	chr3:129488397-129499902	IFT122	cryptic	2.76e-60
clu_140575_+	8	chr11:62856381-62881019	SLC3A2	annotated	2.54e-59
clu_116508_-	6	chr1:1668472-1675463	SLC35E2B	cryptic	4.13e-57
clu_166279_+	5	chr7:140696842-140702866	NDUFB2	cryptic	4.13e-57
clu_125216_+	4	chr15:25240212-25242072	SNHG14	cryptic	1.23e-56
clu_72192_-	14	chr14:24440926-24442346	SDR39U1	cryptic	2.98e-49
clu_30014_-	10	chr16:1962265-1964449	RPS2	annotated	3e-49
clu_1369_-	19	chrX:115845457-115889331	.	annotated	3.28e-48
clu_82327_+	10	chr3:183635747-183650296	KLHL24	cryptic	4.15e-47
clu_58233_+	24	chrX:65075912-65488646	ZC3H12B	cryptic	3.23e-46
clu_129046_+	19	chr2:39518710-39665202	AC007246.3	cryptic	4.51e-42
clu_86759_-	4	chr17:64805100-64821767	PLEKHM1P1	annotated	4.85e-41
clu_148701_-	17	chr7:30568989-30585330	AC005154.6	cryptic	5.03e-41
clu_72037_-	3	chr14:22905453-22906195	RBM23	annotated	1.08e-39
clu_104420_+	5	chr4:51843267-51863437	DCUN1D4	annotated	2.63e-39
clu_68154_+	4	chr5:70421357-70422113	GTF2H2B	annotated	1.38e-37
clu_165506_+	8	chr7:100338889-100349799	STAG3L5P-PVRIG2P-PILRB	cryptic	1.94e-36
clu_56662_+	8	chr1:213051509-213104454	RPS6KC1	cryptic	7.94e-35
clu_130150_+	3	chr2:97198491-97200334	ANKRD36	cryptic	2.16e-33
clu_24749_-	4	chr5:131162676-131165095	HINT1	cryptic	6.36e-32
clu_130152_+	5	chr2:97204096-97209681	ANKRD36	cryptic	1.04e-31
clu_155493_-	7	chr10:47542306-47544389	BMS1P2	cryptic	5.26e-30
clu_125209_+	3	chr15:25187905-25189741	SNHG14	cryptic	1.22e-29
clu_34570_+	29	chr13:45378671-45392090	TPT1-AS1	cryptic	2.09e-29
clu_54028_+	5	chr1:120824146-120836517	NBPF26	annotated	4.84e-29
clu_14188_-	11	chr8:79919148-80030054	MRPS28	cryptic	1.31e-28
clu_48308_-	3	chr2:97558994-97560832	ANKRD36B	cryptic	3.01e-27
clu_130149_+	3	chr2:97196788-97204068	ANKRD36	cryptic	5.43e-27
clu_135971_+	12	chr14:35898095-35998410	RP11-116N8.1	cryptic	2.27e-26
clu_85047_-	13	chr17:18519674-18533347	CTD-2303H24.2	cryptic	5.25e-26
clu_125311_+	3	chr15:29106819-29108270	APBA2	cryptic	1.12e-25
clu_4818_-	20	chr11:45382991-45542444	RP11-958J22.1	cryptic	8.57e-25
clu_125213_+	3	chr15:25227049-25228780	SNHG14	cryptic	2.92e-24
clu_90085_-	7	chr18:36780188-36798449	TPGS2	annotated	3e-24
clu_114545_+	9	chr19:37255982-37265286	LINC01535	annotated	9.38e-24
clu_116511_-	4	chr1:1734835-1738321	SLC35E2	cryptic	1.57e-23
clu_68523_+	3	chr5:80434217-80436756	ZFYVE16	annotated	2.07e-23
clu_84675_-	3	chr17:7626793-7627143	SAT2	annotated	1.28e-22
clu_9087_-	3	chr15:31657077-31870507	OTUD7A	cryptic	1.49e-22
clu_70364_+	5	chr5:181317395-181333743	AC138035.2	cryptic	2.94e-22
clu_18013_-	11	chr3:75426599-75430832	FAM86DP	cryptic	4.5e-22
clu_73624_-	6	chr14:103913984-103921470	C14orf2	annotated	1.28e-21
clu_49838_-	5	chr2:200877037-200881421	PPIL3	cryptic	1.43e-21
clu_23471_-	4	chr5:33998782-34005756	AMACR	annotated	5.42e-21
clu_62603_-	10	chr19:50979924-50983851	KLK7	cryptic	6.54e-21
clu_125010_+	4	chr15:25099278-25103859	SNHG14	cryptic	6.74e-21
clu_117112_-	17	chr1:16485665-16644646	CROCCP2	cryptic	8.41e-21
clu_125712_+	4	chr15:43330718-43333311	ADAL	cryptic	8.41e-21
clu_111815_-	6	chr12:123223127-123230261	MPHOSPH9	annotated	2.43e-20
clu_54026_+	5	chr1:120823360-120840350	NBPF26	annotated	3.31e-20
clu_71089_-	8	chr20:35272145-35278046	MMP24-AS1	cryptic	4.66e-20
clu_48916_-	16	chr2:135005531-135047185	MAP3K19	cryptic	5.44e-20
clu_86160_-	11	chr17:46094701-46223671	KANSL1	cryptic	8.69e-20
clu_40826_-	6	chr9:96918826-96949555	MFSD14C	cryptic	1.67e-19
clu_125011_+	2	chr15:25252333-25255568	SNHG14	cryptic	2.94e-19
clu_78707_-	5	chr13:52136902-52143916	NEK3	cryptic	4.19e-19
clu_155516_-	8	chr10:48050421-48052504	BMS1P7	cryptic	1.95e-18
clu_39250_+	3	chr21:44117963-44119387	PWP2	cryptic	2.46e-18
clu_3018_-	7	chr22:30664080-30667824	DUSP18	cryptic	2.03e-17
clu_72130_-	28	chr14:23902712-24072444	DHRS4-AS1	cryptic	3.03e-17
clu_80832_+	9	chr3:64685338-64799465	ADAMTS9-AS2	cryptic	3.04e-17
clu_128333_+	8	chr2:6941147-7014454	RNF144A	cryptic	3.77e-17
clu_73453_-	9	chr14:100361921-100376260	WARS	annotated	3.89e-17
clu_63365_+	8	chr22:22306903-22309736	LL22NC03-80A10.6	cryptic	4.97e-17
clu_122354_-	7	chr1:248745279-248748341	LYPD8	cryptic	7.04e-17
clu_4666_-	5	chr11:34890552-34916228	APIP	cryptic	7.04e-17
clu_100625_+	15	chr6:3228959-3302858	PSMG4	cryptic	7.11e-17
clu_45013_+	5	chr12:122981266-122981656	ARL6IP4	annotated	8.31e-17
clu_23019_-	4	chr5:748559-751141	ZDHHC11B	cryptic	1.43e-16
clu_58611_+	3	chrX:103310981-103330977	TCEAL7	cryptic	1.77e-16
clu_48307_-	9	chr2:97547731-97551289	ANKRD36B	cryptic	2.6e-16
clu_86761_-	7	chr17:64822393-64829161	PLEKHM1P1	cryptic	3.61e-16
clu_49649_-	29	chr2:189110446-189441023	COL5A2	cryptic	3.66e-16
clu_10312_-	2	chr15:74837435-74837757	ULK3	annotated	4.53e-16
clu_19882_-	5	chr3:197624187-197627780	AC024560.3	annotated	5.03e-16
clu_24817_-	5	chr5:132703619-132710959	KIF3A	annotated	6.77e-16
clu_3524_-	4	chr22:41586193-41589719	PMM1	cryptic	7.31e-16
clu_68724_+	3	chr5:96740118-96741266	CAST	annotated	7.59e-16
clu_84849_-	3	chr17:10686842-10691872	SCO1	cryptic	9.29e-16
clu_70922_-	10	chr20:28559671-28586299	FRG1CP	cryptic	1.57e-15
clu_128561_+	3	chr2:24164335-24169356	FAM228B	annotated	1.93e-15
clu_130151_+	3	chr2:97200525-97207811	ANKRD36	cryptic	2.3e-15
clu_87037_-	3	chr17:75042277-75046925	ATP5H	cryptic	2.46e-15
clu_144928_+	3	chr17:7220197-7220604	ACADVL	annotated	3.31e-15
clu_36624_?	13	chr2:97204096-97211546	ANKRD36	cryptic	5.38e-15
clu_125999_+	4	chr15:50482065-50489801	USP8	cryptic	6.91e-15
clu_116767_-	6	chr1:6496569-6519445	PLEKHG5	cryptic	8.47e-15
clu_54731_+	8	chr1:148868622-148937747	PDE4DIP	cryptic	8.47e-15
clu_151723_-	12	chr4:9209948-9324458	.	annotated	9.88e-15
clu_53763_+	4	chr1:109659110-109674747	GSTM4	annotated	1.21e-14
clu_82759_+	25	chr3:198199010-198228194	FAM157A	cryptic	1.67e-14
clu_131493_+	4	chr2:186625587-186636082	ITGAV	cryptic	2.37e-14
clu_125214_+	4	chr15:25232755-25234575	SNHG14	cryptic	3.64e-14
clu_109289_-	2	chr12:10434530-10435312	KLRC2	annotated	4.79e-14
clu_104940_+	3	chr4:98293515-98343139	RAP1GDS1	annotated	5.28e-14
clu_111928_-	22	chr12:124911822-124913419	.	annotated	5.84e-14
clu_16918_-	3	chr3:41912899-41918457	ULK4	cryptic	9.06e-14
clu_46365_-	8	chr2:9406113-9406562	.	annotated	9.58e-14
clu_73658_-	32	chr14:104942469-104953339	.	annotated	1.01e-13
clu_32305_-	11	chr16:89398153-89398459	.	annotated	1.58e-13
clu_125269_+	10	chr15:28612173-28632652	HERC2P9	cryptic	1.82e-13
clu_74336_+	5	chr9:40267026-40273999	RP11-146D12.2	cryptic	1.86e-13
clu_16504_-	9	chr3:11721933-11809517	TAMM41	cryptic	2.13e-13
clu_109315_-	11	chr12:11047188-11171422	PRR4	cryptic	2.84e-13
clu_100605_+	15	chr6:2994053-3006468	NQO2	cryptic	2.97e-13
clu_92549_?	27	chr12:124911822-124913647	.	annotated	4.26e-13
clu_156354_-	10	chr10:96349826-96358894	OPALIN	cryptic	5.27e-13
clu_122968_+	5	chr10:35337207-35516523	CCNY	cryptic	6.25e-13
clu_87554_-	5	chr17:82037013-82037631	DCXR	annotated	6.25e-13
clu_86902_-	4	chr17:69175513-69182153	ABCA10	annotated	7.6e-13
clu_153779_-	3	chr21:5134120-5135089	CH507-9B2.5	annotated	8.85e-13
clu_122936_+	6	chr10:32462703-32472481	CCDC7	cryptic	1.12e-12
clu_63800_+	8	chr22:31944820-31956139	YWHAH	annotated	1.26e-12
clu_152024_-	5	chr4:36012831-36045979	ARAP2	cryptic	1.44e-12
clu_13111_-	2	chr8:3493726-3574945	CSMD1	annotated	1.44e-12
clu_105173_+	7	chr4:118278792-118279624	SNHG8	cryptic	1.59e-12
clu_142057_+	3	chr11:113339474-113341837	TTC12	cryptic	1.94e-12
clu_102300_+	21	chr6:87322632-87375480	SMIM8	cryptic	2.12e-12
clu_82530_+	18	chr3:188154021-188484592	LPP	cryptic	3.25e-12
clu_56820_+	12	chr1:224434862-224566199	CNIH3	cryptic	3.28e-12
clu_120907_-	5	chr1:169237687-169298556	NME7	annotated	4.68e-12
clu_51274_+	7	chr1:11980484-11989165	MFN2	cryptic	4.7e-12
clu_119919_-	8	chr1:145291769-145336814	NBPF20	cryptic	4.82e-12
clu_39774_-	21	chr9:25891769-26424109	.	annotated	5.02e-12
clu_9782_-	11	chr15:55389433-55439472	CCPG1	cryptic	5.09e-12
clu_24827_-	4	chr5:132765529-132777758	SEPT8	annotated	5.74e-12
clu_57666_+	3	chrX:19344094-19349312	PDHA1	annotated	7.28e-12
clu_116330_-	8	chr1:17525-188439	RP11-34P13.18	cryptic	7.79e-12
clu_150953_-	13	chr7:144623261-144682909	TPK1	cryptic	9.1e-12
clu_85583_-	8	chr17:38153349-38256898	CH17-431G21.1	cryptic	9.47e-12
clu_101263_+	3	chr6:34757551-34762595	SNRPC	annotated	1.01e-11
clu_155387_-	4	chr10:42523738-42550557	ZNF37BP	cryptic	1.02e-11
clu_135030_-	4	chr6:135300558-135318519	AHI1	cryptic	1.11e-11
clu_140147_+	6	chr11:36610239-36648016	C11orf74	cryptic	1.19e-11
clu_8899_-	5	chr15:20440642-20443371	HERC2P3	cryptic	1.19e-11
clu_102827_+	5	chr6:130018664-130022227	L3MBTL3	cryptic	1.19e-11
clu_47697_-	3	chr2:75690719-75694241	GCFC2	annotated	1.49e-11
clu_155927_-	7	chr10:73345114-73353556	CFAP70	cryptic	1.55e-11
clu_109293_-	11	chr12:10418430-10434486	KLRC2	cryptic	2.21e-11
clu_57494_+	7	chrX:10067490-10090771	WWC3	cryptic	2.73e-11
clu_72993_-	11	chr14:74296449-74302875	ABCD4	cryptic	4.34e-11
clu_151746_-	10	chr4:9224246-9247975	.	annotated	4.44e-11
clu_6927_-	7	chr11:130879711-130903255	SNX19	cryptic	4.54e-11
clu_21950_+	3	chr16:58509352-58511422	NDRG4	annotated	4.83e-11
clu_164473_+	13	chr7:65170361-65674385	INTS4P1	cryptic	5.3e-11
clu_129723_+	3	chr2:74455174-74455406	INO80B	cryptic	5.57e-11
clu_34779_+	4	chr13:75621868-75713182	LMO7	annotated	5.87e-11
clu_60229_-	2	chr19:9660874-9675015	ZNF562	annotated	5.87e-11
clu_57043_+	4	chr1:234373678-234374230	COA6	cryptic	5.93e-11
clu_42135_+	8	chr12:900670-907847	WNK1	cryptic	5.96e-11
clu_55184_+	4	chr1:155131634-155133730	EFNA1	cryptic	9.94e-11
clu_48303_-	3	chr2:97512052-97515732	ANKRD36B	cryptic	1.08e-10
clu_10250_-	6	chr15:72346325-72348048	HEXA	annotated	1.27e-10
clu_52289_+	2	chr1:39026398-39028723	NDUFS5	annotated	1.47e-10
clu_117111_-	4	chr1:16484464-16485569	CROCCP3	cryptic	1.52e-10
clu_92550_?	28	chr12:124911952-124913549	UBC	cryptic	1.52e-10
clu_31791_-	11	chr16:70941819-70959647	HYDIN	cryptic	1.54e-10
clu_113617_+	9	chr19:19865999-19915280	ZNF253	cryptic	1.63e-10
clu_85048_-	5	chr17:18542187-18543673	CTD-2303H24.2	annotated	1.72e-10
clu_135990_+	14	chr14:37198104-37266938	MIPOL1	cryptic	1.75e-10
clu_130427_+	3	chr2:108758548-108763237	RANBP2	cryptic	3.69e-10
clu_132364_+	4	chr2:226867318-226906793	RHBDD1	cryptic	5.25e-10
clu_58051_+	6	chrX:48890697-48898492	PQBP1	cryptic	5.41e-10
clu_8913_-	4	chr15:20669637-20671113	NBEAP1	cryptic	6.05e-10
clu_151545_-	13	chr4:2174751-2198524	POLN	cryptic	7.04e-10
clu_163621_+	16	chr7:5823526-5840761	ZNF815P	cryptic	8.67e-10
clu_24551_-	8	chr5:110332925-110568447	TMEM232	cryptic	1.11e-09
clu_105956_+	4	chr4:189957502-189960862	FRG1	cryptic	1.32e-09
clu_54027_+	4	chr1:120824053-120830496	.	annotated	1.51e-09
clu_106908_+	15	chr8:12145700-12410965	FAM66D	cryptic	1.78e-09
clu_124965_+	10	chr15:22561454-22562949	HERC2P2	cryptic	1.79e-09
clu_3594_-	3	chr22:42808890-42817142	ARFGAP3	annotated	1.86e-09
clu_28598_+	8	chr20:21132159-21161871	KIZ	cryptic	1.94e-09
clu_51550_+	4	chr1:21473585-21478144	NBPF3	cryptic	1.95e-09
clu_40309_-	4	chr9:65288015-65289658	CBWD4P	cryptic	2.06e-09
clu_4652_-	7	chr11:33722463-33736382	CD59	annotated	2.46e-09
clu_21194_+	11	chr16:24910477-24917998	SLC5A11	cryptic	2.71e-09
clu_151754_-	8	chr4:9238764-9339038	.	annotated	3e-09
clu_81997_+	10	chr3:158571347-158596862	MLF1	annotated	3.11e-09
clu_70924_-	8	chr20:28600461-28602609	FRG1CP	cryptic	3.66e-09
clu_64549_+	6	chr22:49921761-49922612	CRELD2	cryptic	3.88e-09
clu_101504_+	9	chr6:41134729-41138609	ADCY10P1	cryptic	4.25e-09
clu_101726_+	3	chr6:43521048-43550968	POLR1C	cryptic	4.41e-09
clu_139730_+	3	chr11:8914930-8919337	AKIP1	annotated	4.42e-09
clu_150153_-	5	chr7:102587770-102592285	RASA4	annotated	4.62e-09
clu_113319_+	3	chr19:16228208-16233493	AP1M1	annotated	5.13e-09
clu_141361_+	3	chr11:71448885-71455110	NADSYN1	cryptic	5.16e-09
clu_107255_+	10	chr8:26590409-26590650	.	annotated	5.16e-09
clu_24043_-	4	chr5:71060930-71061688	GTF2H2	cryptic	5.58e-09
clu_115964_+	3	chr19:54200888-54201160	RPS9	annotated	5.73e-09
clu_116495_-	5	chr1:1709640-1716346	CDK11A	cryptic	5.81e-09
clu_71289_-	14	chr20:38421098-38426419	SNHG17	cryptic	5.81e-09
clu_40099_-	22	chr9:39818924-40106358	RP11-204M4.3	cryptic	5.96e-09
clu_25109_-	7	chr5:142614161-142697913	FGF1	annotated	6.61e-09
clu_136843_+	3	chr14:77708208-77710838	SLIRP	annotated	8.04e-09
clu_73171_-	3	chr14:81398580-81427102	STON2	cryptic	8.5e-09
clu_68109_+	12	chr5:69369933-69374628	RAD17	cryptic	1.15e-08
clu_49816_-	29	chr2:199664037-199846075	FTCDNL1	cryptic	1.21e-08
clu_87551_-	5	chr17:82035245-82036191	DCXR	cryptic	1.22e-08
clu_115976_+	5	chr19:54449306-54452093	LENG8	annotated	1.39e-08
clu_105739_+	3	chr4:168925078-168926213	PALLD	annotated	1.58e-08
clu_134238_-	6	chr6:83707957-83709326	SNAP91	annotated	1.68e-08
clu_5539_-	11	chr11:65856242-65861371	CFL1	cryptic	1.82e-08
clu_54162_+	10	chr1:121850804-121937259	.	annotated	1.89e-08
clu_125303_+	6	chr15:28838822-28856133	PDCD6IPP2	cryptic	1.99e-08
clu_139428_+	7	chr11:308438-314927	IFITM2	cryptic	2.21e-08
clu_54117_+	45	chr1:121616280-121867271	.	annotated	2.44e-08
clu_142544_+	3	chr11:130122513-130126700	APLP2	annotated	2.63e-08
clu_110130_-	5	chr12:52491736-52519742	KRT5	cryptic	2.79e-08
clu_10870_-	28	chr15:99717822-99733345	LYSMD4	cryptic	3.05e-08
clu_8898_-	11	chr15:20439123-20439508	HERC2P3	cryptic	3.22e-08
clu_4613_-	29	chr11:31433570-31509577	IMMP1L	cryptic	3.24e-08
clu_155617_-	3	chr10:59324106-59352270	FAM13C	annotated	4.05e-08
clu_7028_-	27	chr11:134408228-134408967	.	annotated	4.12e-08
clu_124953_+	10	chr15:22516990-22537453	HERC2P2	cryptic	4.54e-08
clu_109496_-	15	chr12:25939506-25956639	RASSF8-AS1	cryptic	4.72e-08
clu_15994_+	12	chr18:54718139-54877567	RAB27B	cryptic	4.85e-08
clu_29468_+	10	chr20:58701158-58707123	NPEPL1	cryptic	5.05e-08
clu_68169_+	3	chr5:70941508-70942718	SMN1	annotated	5.1e-08
clu_55970_+	8	chr1:179884769-179901302	TOR1AIP1	cryptic	5.23e-08
clu_137591_+	2	chr14:105382046-105382477	PACS2	annotated	5.36e-08
clu_165936_+	8	chr7:128455909-128479158	METTL2B	cryptic	5.63e-08
clu_120080_-	7	chr1:148586469-148595543	NBPF14	annotated	5.99e-08
clu_113666_+	8	chr19:21505774-21529658	ZNF429	cryptic	6.79e-08
clu_151749_-	23	chr4:9224850-9339358	.	annotated	6.95e-08
clu_138992_?	12	chr8:101719648-101915809	NCALD	cryptic	7.9e-08
clu_75588_+	2	chr9:127451540-127451929	LRSAM1	cryptic	8.05e-08
clu_40944_-	12	chr9:104556518-104622030	.	annotated	8.19e-08
clu_148971_-	2	chr7:45080762-45080921	NACAD	cryptic	1.01e-07
clu_108036_+	3	chr8:84774654-84849980	RALYL	annotated	1.05e-07
clu_75737_+	6	chr9:128429036-128435653	CERCAM	cryptic	1.05e-07
clu_56837_+	3	chr1:225252417-225259121	DNAH14	cryptic	1.06e-07
clu_63292_+	3	chr22:20973520-20974063	AIFM3	annotated	1.11e-07
clu_68125_+	6	chr5:69975852-70473448	RP11-497H16.7	cryptic	1.43e-07
