""	Length	gencodeID	ensemblID	gene_type	Symbol	EntrezID	Class	meanExprs	NumTx	gencodeTx	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
e479609	90	ENSG00000204894.4	ENSG00000204894	processed_pseudogene	""		InGen	0.983149158950354	1	ENST00000472406.1	-4.6657643791469	-3.96605498426283	-11.5839752668343	2.59613946777481e-19	7.83102105199062e-14	23.6605330724251	0.242066673965857
e441992	108	ENSG00000226278.1	ENSG00000226278	unprocessed_pseudogene	PSPHP1		InGen	3.274346046069	1	ENST00000450062.1	-6.26909115998728	-2.94102160254418	-10.3705071748424	7.19380040284477e-17	1.08497257365725e-11	21.9996003492733	0.231037932461189
e364586	645	ENSG00000233913.7	ENSG00000233913	processed_pseudogene	""		InGen	1.82994807906089	1	ENST00000522551.1	-2.99540981041956	0.454040630178656	-9.74978761265044	1.32327760332635e-15	6.45161724954635e-11	24.6948123202025	0.203978258839484
e852692	3208	ENSG00000259583.2	ENSG00000259583	antisense	""	101927751	InGen	0.540580668818182	1	ENST00000560351.2	-1.61599368429672	1.22537538253768	-9.74072403466203	1.38091429000366e-15	6.45161724954635e-11	24.9023555782415	0.278191348848806
e1176412	1638	ENSG00000147403.16	ENSG00000147403	protein_coding	RPL10	6134	InGen	2.46848102514704	3	ENST00000424325.6|ENST00000618723.4|ENST00000344746.8	1.6580476340859	2.31660866123593	9.71719829075567	1.54252409491354e-15	6.45161724954635e-11	24.9176309160522	0.191680642155425
e1176450	116	ENSG00000147403.16	ENSG00000147403	protein_coding	RPL10	6134	InGen	33.5609861668806	1	ENST00000485196.5	1.72924102176718	2.24241091555704	9.71331288086896	1.57098085831854e-15	6.45161724954635e-11	24.895090703897	0.221466224569945
e1176463	208	ENSG00000147403.16	ENSG00000147403	protein_coding	RPL10	6134	InGen	18.9473593422284	1	ENST00000406022.6	1.69984402816751	2.26756800736059	9.67979011932152	1.83939413684007e-15	6.45161724954635e-11	24.7439786683744	0.2321420495619
e1176439	212	ENSG00000147403.16	ENSG00000147403	protein_coding	RPL10	6134	InGen	18.5966619707891	1	ENST00000491035.5	1.69883801084009	2.26821845357052	9.67025404549777	1.92381951659087e-15	6.45161724954635e-11	24.7005233843662	0.173695731733901
e1176402	216	ENSG00000147403.16	ENSG00000147403	protein_coding	RPL10	6134	InGen	18.2531515108343	2	ENST00000369817.6|ENST00000458500.5	1.69892340710418	2.26824881332372	9.67012859173222	1.92495566736343e-15	6.45161724954635e-11	24.6999519105326	0.169521568837189
e183445	318	ENSG00000230076.1	ENSG00000230076	processed_pseudogene	""		InGen	0.633366171348015	1	ENST00000457497.1	-4.8468262208646	-3.038981420389	-9.41041224060174	6.54003164889864e-15	1.97274168660543e-10	18.5701383547841	0.173695731733901
e852824	9584	ENSG00000154237.12	ENSG00000154237	protein_coding	LRRK1	79705	InGen	0.127804785897655	1	ENST00000526457.3	-1.61031482259191	0.753042826563988	-9.23076532144057	1.52498814611867e-14	4.181808630758e-10	22.4930063741789	0.221466224569945
e1113840	151	ENSG00000241945.7	ENSG00000241945	protein_coding	PWP2	5822	InGen	1.00253696649811	1	ENST00000291576.11	-4.72387800679562	-3.09154454353137	-9.00365663505792	4.44833271860386e-14	1.11816627464366e-09	16.730065273053	0.226383803441241
e1176425	110	ENSG00000147403.16	ENSG00000147403	protein_coding	RPL10	6134	InGen	31.7161131108375	1	ENST00000436473.5	2.18488713369981	1.94223579310629	8.9278862441311	6.35762442585945e-14	1.47516937649282e-09	21.2892258308926	0.270283542932405
e1176457	450	ENSG00000147403.16	ENSG00000147403	protein_coding	RPL10	6134	InGen	15.8031367706161	1	ENST00000467168.5	0.925623073311426	3.32076892862759	8.87244471804549	8.25589798967746e-14	1.77879808964593e-09	21.0650378135486	0.155974981306641
e544335	1173	ENSG00000196312.12	ENSG00000196312	protein_coding	MFSD14C		InGen	1.31325300704903	1	ENST00000637864.1	0.939948132471747	0.985394564158152	8.62355721399154	2.66599529934296e-13	5.36115658726074e-09	19.8396775411784	0.244126068839435
e1102852	113	ENSG00000275464.4	ENSG00000275464	protein_coding	""	102724159	InGen	1.23413562095581	3	ENST00000617716.3|ENST00000634020.1|ENST00000634021.1	3.38307752210438	-3.21692487805633	8.26057546971181	1.46828905916415e-12	2.76810112559584e-08	13.5629334733193	0.266434807066416
e1113862	1406	ENSG00000241945.7	ENSG00000241945	protein_coding	PWP2	5822	InGen	0.166322860796108	1	ENST00000471490.1	-4.49296257017744	-2.38729531026325	-8.1650531595479	2.29801579193356e-12	4.07750459702724e-08	14.5815397265061	0.168233782644406
e313830	812	ENSG00000171503.11	ENSG00000171503	protein_coding	ETFDH	2110	InGen	1.53826599960511	1	ENST00000510353.5	0.949138741219589	0.687993587758014	8.11571295895606	2.89566495711608e-12	4.8525070740525e-08	17.5250913087578	0.291792451429961
e1176394	1095	ENSG00000147403.16	ENSG00000147403	protein_coding	RPL10	6134	InGen	10.5400458733896	1	ENST00000492572.5	0.626151315966865	4.07866994104118	8.01468955127369	4.64614407000395e-12	7.0073377171003e-08	17.1119287132184	0.169553438481891
e1176434	1096	ENSG00000147403.16	ENSG00000147403	protein_coding	RPL10	6134	InGen	10.530468219428	1	ENST00000489200.5	0.626151315966865	4.07866994104118	8.01468955127369	4.64614407000395e-12	7.0073377171003e-08	17.1119287132184	0.246333881801413
e927283	2195	ENSG00000266302.6	ENSG00000266302	protein_coding	""		InGen	8.4502571626955	1	ENST00000448331.7	1.04986088997008	4.64117385098383	7.9119410507178	7.50966359762993e-12	1.03188180099682e-07	16.6252731224014	0.263646029792108
e927301	2197	ENSG00000188933.14	ENSG00000188933	transcribed_unprocessed_pseudogene	USP32P1		InGen	8.44270084087729	2	ENST00000393005.6|ENST00000341745.3	1.04980730256838	4.64118997769032	7.91147661438194	7.52596617234729e-12	1.03188180099682e-07	16.6231473660975	0.168510437414271
e771989	2428	ENSG00000215256.3	ENSG00000215256	antisense	DHRS4-AS1	55449	InGen	0.977500816794608	1	ENST00000556379.1	0.809488687157326	1.69893342596676	7.88100351043705	8.67638870186998e-12	1.13789328887859e-07	16.5369679611422	0.137176694870651
e771992	1546	ENSG00000215256.3	ENSG00000215256	antisense	DHRS4-AS1	55449	InGen	1.10580321280214	1	ENST00000555045.1	0.793661554683062	1.23082966314733	7.81683503960567	1.1703521643346e-11	1.47094248834189e-07	16.2357022523498	0.147205780752492
e852721	250	ENSG00000154237.12	ENSG00000154237	protein_coding	LRRK1	79705	InGen	0.624556453615812	3	ENST00000388948.7|ENST00000525284.5|ENST00000531270.5	-1.71350883938953	-2.3471521579336	-7.53204926683894	4.39723703852728e-11	5.30554791015363e-07	12.6285879736709	0.445336420693614
e852690	635	ENSG00000278456.1	ENSG00000278456	antisense	""		InGen	0.33521916637635	1	ENST00000615211.1	-1.65580333277445	-1.77589019380908	-7.50858476242175	4.90212199801159e-11	5.6872345446239e-07	13.3726231064695	0.174814182193396
e852731	1442	ENSG00000154237.12	ENSG00000154237	protein_coding	LRRK1	79705	InGen	0.368861678960384	1	ENST00000388948.7	-1.36647728602899	-0.404352831753102	-7.48987438524346	5.34570790085178e-11	5.97216547007715e-07	14.4483389375634	0.395802343912535
e474980	784	ENSG00000106123.11	ENSG00000106123	protein_coding	EPHB6	2051	InGen	3.03854333033408	5	ENST00000619012.4|ENST00000616380.4|ENST00000614832.4|ENST00000411471.6|ENST00000422643.5	1.2981871535145	1.60889566052257	7.45273836847023	6.34780635969665e-11	6.80036218041521e-07	14.6136093761159	0.139069062039776
e475039	297	ENSG00000106123.11	ENSG00000106123	protein_coding	EPHB6	2051	InGen	3.61793203417199	1	ENST00000611578.4	1.31931649134243	0.48606039183594	7.44635664837412	6.53792101312624e-11	6.80036218041521e-07	14.5263717962185	0.202843297758018
e967722	3012	ENSG00000176809.10	ENSG00000176809	protein_coding	LRRC37A3	374819	InGen	0.495377217186426	1	ENST00000319651.9	1.60420281614781	0.567372355293357	7.42806711573508	7.11472083262534e-11	7.1536383555798e-07	14.432917915849	0.301168978388656
e967736	3006	ENSG00000176809.10	ENSG00000176809	protein_coding	LRRC37A3	374819	InGen	0.495256719110327	1	ENST00000584306.5	1.60109762839279	0.566399921363639	7.41861468938953	7.43237957420454e-11	7.23196905529881e-07	14.3915271415206	0.226085570262969
e927212	1503	ENSG00000170160.17	ENSG00000170160	protein_coding	CCDC144A	9720	InGen	5.25640948141508	2	ENST00000360495.9|ENST00000360524.12	0.94488061208854	3.41278416587834	7.41106084497222	7.69634123619878e-11	7.25478770883824e-07	14.3892646484755	0.181212875294046
e852833	1433	ENSG00000154237.12	ENSG00000154237	protein_coding	LRRK1	79705	InGen	0.370426390946995	1	ENST00000532145.1	-1.35454851387712	-0.408516195646785	-7.394034570502	8.32598823784498e-11	7.61048308500545e-07	14.0390927774283	0.180046581557461
e771993	549	ENSG00000215256.3	ENSG00000215256	antisense	DHRS4-AS1	55449	InGen	0.658831750697407	1	ENST00000553454.1	1.00222194810389	-1.00842075682826	7.31515112206401	1.19800388531249e-10	1.06284438226337e-06	13.4134621087348	0.141216907578496
e1176452	1576	ENSG00000147403.16	ENSG00000147403	protein_coding	RPL10	6134	InGen	11.0131445454931	1	ENST00000482732.1	0.460232856154202	4.69998855433729	7.26907044081246	1.48118472647641e-10	1.27282089871332e-06	13.7022975999492	0.167864959678807
e474982	357	ENSG00000106123.11	ENSG00000106123	protein_coding	EPHB6	2051	InGen	3.41859732175039	5	ENST00000619012.4|ENST00000614832.4|ENST00000611578.4|ENST00000411471.6|ENST00000422643.5	1.26300725266329	0.644826091809274	7.25891686821894	1.55202157803685e-10	1.27282089871332e-06	13.71948997404	0.181045948997661
e771994	943	ENSG00000215256.3	ENSG00000215256	antisense	DHRS4-AS1	55449	InGen	1.18228295726737	1	ENST00000553454.1	0.744054869734014	0.628037870871786	7.2576250224514	1.56127228236191e-10	1.27282089871332e-06	13.7188937839329	0.139981337619263
