""	source	type	score	phase	gene_id	gene_type	gene_status	gene_name	level	havana_gene	transcript_id	transcript_type	transcript_status	transcript_name	transcript_support_level	tag	havana_transcript	exon_number	exon_id	ont	protein_id	ccdsid	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
ENST00000263857.10	HAVANA	transcript			ENSG00000068654.15	protein_coding	KNOWN	POLR1A	2	OTTHUMG00000153165.3	ENST00000263857.10	protein_coding	KNOWN	POLR1A-001	1	CCDS	OTTHUMT00000329830.2				ENSP00000263857.6	CCDS42706.1	0.654705819173377	5.0993175118603	13.950685712022	3.85907130995652e-32	3.72608771261542e-27	62.3547430944971	0.163452700307847
ENST00000609475.1	HAVANA	transcript			ENSG00000272977.1	sense_intronic	KNOWN	CTA-390C10.10	2	OTTHUMG00000186166.2	ENST00000609475.1	sense_intronic	KNOWN	CTA-390C10.10-001	NA	basic	OTTHUMT00000472349.2						0.958956509024324	1.99537079830576	12.7866493380869	2.19358206645176e-28	1.05899561422092e-23	53.6409514525499	0.0811939685845068
ENST00000437355.6	HAVANA	transcript			ENSG00000146733.13	protein_coding	KNOWN	PSPH	2	OTTHUMG00000023441.10	ENST00000437355.6	nonsense_mediated_decay	KNOWN	PSPH-012	5	CCDS	OTTHUMT00000343314.2				ENSP00000401639.2	CCDS5522.1	-2.2962259986513	2.0685835188934	-12.5706285028503	1.08079005974797e-27	3.47848678096352e-23	52.0927369735187	0.103044773231325
ENST00000415709.5	HAVANA	transcript			ENSG00000100058.12	transcribed_unprocessed_pseudogene	KNOWN	CRYBB2P1	2	OTTHUMG00000150874.3	ENST00000415709.5	transcribed_unprocessed_pseudogene	KNOWN	CRYBB2P1-001	NA	basic	OTTHUMT00000320370.1			PGO:0000019			-1.97481162713744	0.378289855097759	-11.5637018111818	1.71495967252726e-24	4.13810131884384e-20	44.456521147497	0.0854814661217357
ENST00000373736.6	HAVANA	transcript			ENSG00000084628.9	protein_coding	KNOWN	NKAIN1	2	OTTHUMG00000003788.4	ENST00000373736.6	protein_coding	KNOWN	NKAIN1-001	2	CCDS	OTTHUMT00000010655.2				ENSP00000362841.2	CCDS339.2	1.88505426122467	1.29023929248657	11.5329880196545	2.14289481473779e-24	4.13810131884384e-20	44.5261958866529	0.414653938978184
ENST00000316084.9	HAVANA	transcript			ENSG00000198034.10	protein_coding	KNOWN	RPS4X	2	OTTHUMG00000021813.3	ENST00000316084.9	protein_coding	KNOWN	RPS4X-001	1	CCDS	OTTHUMT00000057188.1				ENSP00000362744.4	CCDS14418.1	-0.43573467238743	7.17654232139762	-11.3684605696738	7.05034149995436e-24	9.81446592575504e-20	43.2711751491082	0.0385124464919488
ENST00000609084.1	HAVANA	transcript			ENSG00000100058.12	transcribed_unprocessed_pseudogene	KNOWN	CRYBB2P1	2	OTTHUMG00000150874.3	ENST00000609084.1	processed_transcript	KNOWN	CRYBB2P1-006	NA		OTTHUMT00000472347.1						1.30015483477269	0.636273215265772	11.3671909094889	7.11532007791342e-24	9.81446592575504e-20	43.2076936038644	0.270103393340085
ENST00000637864.1	HAVANA	transcript			ENSG00000196312.12	protein_coding	KNOWN	MFSD14C	2	OTTHUMG00000020317.4	ENST00000637864.1	protein_coding	KNOWN	MFSD14C-003		appris_alternative_2	OTTHUMT00000489278.1				ENSP00000490009.1		1.13674494292942	2.24637710818434	11.2606898767259	1.53463798612732e-23	1.85219295140671e-19	42.7667842817781	0.0440465443533637
ENST00000267814.13	HAVANA	transcript			ENSG00000140263.13	protein_coding	KNOWN	SORD	2	OTTHUMG00000131265.3	ENST00000267814.13	protein_coding	KNOWN	SORD-001	1	CCDS	OTTHUMT00000254033.3				ENSP00000267814.9	CCDS10116.1	0.517307072571028	3.34206809806558	11.0195282967478	8.68684965317612e-23	9.31944534903074e-19	41.1041954087297	0.121902915318887
ENST00000609513.1	HAVANA	transcript			ENSG00000100058.12	transcribed_unprocessed_pseudogene	KNOWN	CRYBB2P1	2	OTTHUMG00000150874.3	ENST00000609513.1	retained_intron	KNOWN	CRYBB2P1-005	NA		OTTHUMT00000472348.1						0.751053178477624	0.755194345471014	10.9104995568545	1.89569667870814e-22	1.83037097115986e-18	40.078292449358	0.107212377167979
