chromosome,start,end,gene_id,gene_name
chr6,28503296,28528215,ENSG00000198704.9,GPX6
chr6,28525925,28534952,ENSG00000224586.6,GPX5
chr6,28571630,28616212,ENSG00000232040.2,ZBED9
chr6,28587378,28591747,ENSG00000246350.1,RP5-1186N24.3
chr6,28633381,28633594,ENSG00000271440.1,RP11-373N24.2
chr6,28648286,28649066,ENSG00000235570.1,LINC00533
chr6,28732017,28732904,ENSG00000237425.1,RPSAP2
chr6,28783633,28784004,ENSG00000235559.1,NOP56P1
chr6,28837869,28839006,ENSG00000225173.1,XXbac-BPG308K3.5
chr6,28859625,28864630,ENSG00000225595.2,LINC01623
chr6,28861416,28862047,ENSG00000213916.2,RPL13P
chr6,28888832,28889906,ENSG00000233366.1,ZNF90P2
chr6,28896530,28897322,ENSG00000224157.1,HCG14
chr6,28903002,28923989,ENSG00000204713.10,TRIM27
chr6,28915645,28915744,ENSG00000212240.1,RNU6-930P
chr6,28943877,28944537,ENSG00000204709.4,LINC01556
chr6,28969130,28970460,ENSG00000228666.1,KRT18P1
chr6,28977475,28977773,ENSG00000263426.2,RN7SL471P
chr6,28986203,28987484,ENSG00000227214.2,HCG15
chr6,28986800,28988536,ENSG00000244349.1,HCG16
chr6,28994785,29005316,ENSG00000197935.6,ZNF311
chr6,29026680,29027607,ENSG00000223677.1,OR2AD1P
chr6,29036021,29076524,ENSG00000277661.4,XXbac-BPG258E24.10
chr6,29044213,29045240,ENSG00000204704.2,OR2W1
chr6,29071824,29072599,ENSG00000236909.1,OR2P1P
chr6,29076573,29077168,ENSG00000228364.1,SAR1P1
chr6,29086307,29087313,ENSG00000204703.4,OR2B3
chr6,29100609,29101881,ENSG00000204702.4,OR2J1
chr6,29111891,29112826,ENSG00000204701.1,OR2J3
chr6,29124210,29128908,ENSG00000227206.1,XXbac-BCX196D17.5
chr6,29137880,29138816,ENSG00000203492.3,OR2N1P
chr6,29173303,29174574,ENSG00000204700.4,OR2J2
chr6,29181510,29182445,ENSG00000224233.1,OR2J4P
chr6,29215236,29216179,ENSG00000230598.1,OR2H4P
chr6,29223973,29290440,ENSG00000232505.2,XXbac-BPG308J9.3
chr6,29229227,29230157,ENSG00000213911.2,OR2G1P
chr6,29262703,29264079,ENSG00000204697.3,OR2U1P
chr6,29268462,29269421,ENSG00000242524.1,OR2U2P
chr6,29290711,29291653,ENSG00000197171.5,OR2B4P
chr6,29306690,29307655,ENSG00000204695.3,OR14J1
