""	inGencode	inGencodeStart	inGencodeEnd	gencodeGeneID	ensemblID	Symbol	gencodeStrand	gencodeTx	numTx	Class	startExon	endExon	newGeneID	newGeneSymbol	isFusion	meanExprs	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
chr3:129488398-129495445(+)	TRUE	TRUE	TRUE	ENSG00000163913.11	ENSG00000163913	IFT122	+	ENST00000504021.5|ENST00000509522.5|ENST00000512814.5|ENST00000507221.1	4	InGen	117066	117068	ENSG00000163913.11	IFT122	FALSE	29.0684943341331	5.15244744217603	-0.219246454054385	11.5181829695288	3.86083878101227e-19	4.6767884489914e-14	25.9105815861574	0.155736113210759
chr22:45328064-45328309(+)	FALSE	TRUE	FALSE						0	AltStartEnd	549637		ENSG00000100376.11	FAM118A	FALSE	15.3996009268766	5.23924445098654	-1.40041599925863	9.76096435252708	1.33889327651957e-15	8.10927490789605e-11	18.7592089521638	0.183249683912843
chr22:45328146-45328309(+)	FALSE	FALSE	FALSE						0	Novel					FALSE	16.1253569900588	5.23239689321283	-1.53244941398582	9.61576013496168	2.64522530167642e-15	1.0680890723109e-10	18.447422826392	0.227350149429101
chr1:1668473-1675462(-)	TRUE	TRUE	TRUE	ENSG00000189339.11	ENSG00000189339	SLC35E2B	-	ENST00000614300.4	1	InGen	1473	1472	ENSG00000189339.11	SLC35E2B	FALSE	19.6005543826071	3.38202403065165	-0.0928514034645939	9.18057858584968	2.04143639607747e-14	6.18218391006121e-10	19.1267921217511	0.302545308843039
chr3:129488398-129492140(+)	TRUE	TRUE	TRUE	ENSG00000163913.11	ENSG00000163913	IFT122	+	ENST00000431818.6|ENST00000440957.6|ENST00000347300.6|ENST00000296266.7|ENST00000507564.5|ENST00000512220.5|ENST00000349441.6|ENST00000348417.6|ENST00000506507.5|ENST00000511425.5	10	InGen	117066	117067	ENSG00000163913.11	IFT122	FALSE	51.3859551171623	-0.830420186634568	2.54497818874542	-8.50773840314981	4.80986225472061e-13	1.16527570872665e-08	19.3156456104495	0.140451955764203
chr5:177952043-177957608(+)	FALSE	FALSE	TRUE						0	AltStartEnd		176233	ENSG00000249684.5		FALSE	14.3419279218223	-5.86019548491461	-1.08893223386232	-8.36202164438973	9.52129754392178e-13	1.66230561711835e-08	15.0863827329562	0.204491387882029
chr3:129492195-129495445(+)	TRUE	TRUE	TRUE	ENSG00000163913.11	ENSG00000163913	IFT122	+	ENST00000431818.6|ENST00000440957.6|ENST00000347300.6|ENST00000296266.7|ENST00000507564.5|ENST00000512220.5|ENST00000349441.6|ENST00000348417.6|ENST00000506507.5	9	InGen	117067	117068	ENSG00000163913.11	IFT122	FALSE	42.6858447510323	-0.943882213728818	2.24064921158463	-8.36013033682568	9.60600600973175e-13	1.66230561711835e-08	18.60663505593	0.240879663364589
chr1:1734836-1738320(-)	TRUE	TRUE	TRUE	ENSG00000215790.6	ENSG00000215790	SLC35E2	-	ENST00000355439.6|ENST00000246421.4	2	InGen	1558	1572	ENSG00000215790.6	SLC35E2	TRUE	10.7595739751328	-2.73593816085396	-0.221260475504674	-7.88025674769928	9.03169464383655e-12	1.36755662373312e-07	14.2084387044661	0.228059030676079
chr21:44121103-44122176(+)	TRUE	TRUE	TRUE	ENSG00000241945.7	ENSG00000241945	PWP2	+	ENST00000291576.11	1	InGen	537307	537308	ENSG00000241945.7	PWP2	FALSE	13.766923862117	-3.7994750086374	-0.166717468543531	-7.70455348021255	2.04324525541664e-11	2.75007189744044e-07	13.7262866783261	0.336814266734002
chr17:16801129-16802258(+)	TRUE	TRUE	TRUE	ENSG00000266302.6	ENSG00000266302	RP11-219A15.1	+	ENST00000448331.7|ENST00000393005.6|ENST00000602730.1|ENST00000506594.6|ENST00000341745.3	5	InGen	446466	446467	ENSG00000266302.6	RP11-219A15.1	FALSE	296.942037696301	1.41175339223218	4.47688826483348	7.63995989269901	2.7565126277543e-11	3.3390740065039e-07	15.3568479463862	0.265113470455701
chr21:5148305-5152960(-)	TRUE	TRUE	TRUE	ENSG00000275464.4	ENSG00000275464	CH507-9B2.5	-	ENST00000617716.3|ENST00000634020.1|ENST00000634021.1	3	InGen	532082	532081	ENSG00000275464.4	CH507-9B2.5	FALSE	9.3687175262511	3.22888525167913	-0.925584570783173	7.53558978923082	4.46782698717287e-11	4.92005231149271e-07	11.695705644459	0.211211512340694
chr5:177951957-177957608(+)	TRUE	TRUE	TRUE	ENSG00000249684.5	ENSG00000249684	RP11-423H2.3	+	ENST00000502514.5|ENST00000507072.5|ENST00000366189.3	3	InGen	176232	176233	ENSG00000249684.5	RP11-423H2.3	FALSE	34.5090030716568	3.69051816884233	0.619514574666492	7.49449511482152	5.40183318392065e-11	5.4528805075087e-07	13.6427973213957	0.221523746025045
