""	gene_id	Symbol	gene_type	chr	start	end	strand	length	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
ENST00000437355.6	ENSG00000146733.13	PSPH	protein_coding	chr7	56011051	56051448	-	1409	-3.58016759498511	-0.45764808068362	-13.0325967794459	3.23782820981209e-29	2.38647852617734e-24	53.8989342735264	0.0766168422227313
ENST00000609475.1	ENSG00000272977.1	CTA-390C10.10	sense_intronic	chr22	25476218	25479971	+	3754	1.96354577660808	0.862311358885197	12.9421523282743	6.33783087327502e-29	2.38647852617734e-24	54.6616738703012	0.0673201027993862
ENST00000263857.10	ENSG00000068654.15	POLR1A	protein_coding	chr2	86020216	86106155	-	12749	0.569768931351918	4.97837867935591	12.8441524665805	1.31128491859764e-28	3.29171853115566e-24	54.2403436392974	0.365453378635495
ENST00000450062.1	ENSG00000226278.1	PSPHP1	unprocessed_pseudogene	chr7	55764797	55773288	+	261	-3.23683190269227	-3.16621854488888	-12.2879238800826	7.99949750355555e-27	1.50608539373816e-22	36.0893242908879	0.0890961073694369
ENST00000614300.4	ENSG00000189339.11	SLC35E2B	protein_coding	chr1	1659529	1692724	-	2156	2.76377420684107	-1.4462639682957	11.9891845141561	7.18241828351741e-26	1.08180147702683e-21	44.7749256427691	0.0381990468332022
ENST00000637864.1	ENSG00000196312.12	MFSD14C	protein_coding	chr9	96942913	97013600	-	1802	0.840525441335093	2.05995736038462	11.85863668845	1.86792680248383e-25	2.34452832613757e-21	47.1290566793464	0.117158799041392
ENST00000477714.1	ENSG00000100376.11	FAM118A	protein_coding	chr22	45310137	45328241	+	756	5.4213109436266	-2.12194695114111	11.1577549885936	3.03386294402508e-23	3.26395977787978e-19	35.7785836550336	0.146458062526744
ENST00000415709.5	ENSG00000100058.12	CRYBB2P1	transcribed_unprocessed_pseudogene	chr22	25455712	25459681	+	538	-2.50089722825571	0.0729364619593649	-10.9748967328585	1.12999218264251e-22	1.06373226603281e-18	40.3046002662665	0.124809924602303
ENST00000510353.5	ENSG00000171503.11	ETFDH	protein_coding	chr4	158672316	158680101	+	987	0.734040936651553	0.546818374941671	10.639834645017	1.23721961840647e-21	1.03526413602859e-17	38.304206271378	0.068400167715919
ENST00000373736.6	ENSG00000084628.9	NKAIN1	protein_coding	chr1	31179745	31239554	-	2589	0.902268094467761	1.33675958111006	10.4493800869135	4.77348753928127e-21	3.59486573095733e-17	37.1310632419644	0.111354770798545
ENST00000622749.1	ENSG00000277150.1	F8A3	protein_coding	chrX	155456914	155458672	-	1759	-4.21313055168462	-0.470220101335981	-10.1883403866263	2.99849112707006e-20	2.0528488026229e-16	33.6695382783444	0.0650043478927316
ENST00000471577.5	ENSG00000115274.14	INO80B	protein_coding	chr2	74455108	74457371	+	818	2.24737735468277	-1.56650395817996	9.98265561471806	1.26128964869861e-19	7.9155385128203e-16	31.9165310714595	0.260538989855481
ENST00000343769.5	ENSG00000184635.13	ZNF93	protein_coding	chr19	19901061	19935575	+	2648	-0.498144009531213	1.11595904342292	-9.75898209476386	5.94324305309551e-19	3.44292070065823e-15	32.4019019763614	0.102099123681136
ENST00000571722.3	ENSG00000262074.6	SNORD3B-2	snoRNA	chr17	19063346	19064136	-	791	2.77147295868895	-0.83600754650561	9.67621237383474	1.05118963977873e-18	5.65457432729259e-15	31.0520744509947	0.151272704997462
ENST00000569046.1	ENSG00000259781.1	RP11-673C5.1	processed_pseudogene	chr15	71164770	71165415	-	646	0.983897445886208	3.18103832340675	9.6575360340531	1.19522746329595e-18	6.00075900222366e-15	31.6802126951641	0.445559449670033
ENST00000267814.13	ENSG00000140263.13	SORD	protein_coding	chr15	45023104	45077185	+	4909	0.475321946378263	2.96223361635988	9.63206618302726	1.42376605983024e-18	6.70139988748473e-15	31.5255901249243	0.0841099121730182
ENST00000609513.1	ENSG00000100058.12	CRYBB2P1	transcribed_unprocessed_pseudogene	chr22	25518035	25520853	+	2819	0.335774148603392	2.54654304960149	9.53606455830094	2.74881330864486e-18	1.21770812623962e-14	30.9086201319246	0.0485123762589304
ENST00000610495.1	ENSG00000277203.1	F8A1	protein_coding	chrX	154886349	154888061	+	1713	1.18065148535278	1.47649185808884	9.30569894253217	1.31827068846169e-17	5.51542484874232e-14	29.4002737862935	0.435762491351525
ENST00000541272.1	ENSG00000150991.14	UBC	protein_coding	chr12	124913035	124914074	-	582	2.11201402031214	1.6682461894779	9.2364615685591	2.10518618320277e-17	8.3441824353062e-14	28.9430479085369	0.106784479756568
ENST00000543470.5	ENSG00000136643.11	RPS6KC1	protein_coding	chr1	213051233	213273464	+	4227	-0.522603422228107	3.29063129874571	-9.10080674471963	5.24452015751036e-17	1.9296918410633e-13	27.944502952038	0.0648992192839937
ENST00000522551.1	ENSG00000233913.7	CTC-575D19.1	processed_pseudogene	chr5	168616352	168616996	+	645	-4.89052186061303	-3.19799108624993	-9.09697702654173	5.38096756859463e-17	1.9296918410633e-13	20.5095327793051	0.0863696653347984
ENST00000323981.6	ENSG00000166012.15	TAF1D	protein_coding	chr11	93729948	93741494	-	2540	0.490183224139151	2.77466748948657	9.0215267390978	8.91665020663804e-17	3.05229095641684e-13	27.4686790244694	0.126894792680721
ENST00000580919.5	ENSG00000214176.9	PLEKHM1P1	transcribed_unprocessed_pseudogene	chr17	64804842	64837148	-	1498	-4.53669736983391	-1.54812622432237	-8.99947939761754	1.03310337417585e-16	3.38269486981777e-13	24.6261730482597	0.520585850489028
ENST00000458394.1	ENSG00000226752.8	PSMD5-AS1	processed_transcript	chr9	120844300	120845276	+	884	-0.800961478051804	1.4557467488458	-8.71731046365316	6.70259895382203e-16	2.10319176922243e-12	25.5663511185976	0.292574066713385
ENST00000553454.1	ENSG00000215256.3	DHRS4-AS1	antisense	chr14	23940216	23954122	-	1492	1.76265589855394	-1.57080477969051	8.6944162188571	7.79133783530175e-16	2.34703144415496e-12	24.2574287543941	0.0556784437376405
ENST00000604907.1	ENSG00000270977.1	AC015849.16	lincRNA	chr17	35893707	35911023	-	5473	0.669973142936639	-0.791332945990295	8.68420988939947	8.3315875398687e-16	2.41324433092297e-12	24.9804334779473	1.31855667060003
ENST00000609084.1	ENSG00000100058.12	CRYBB2P1	transcribed_unprocessed_pseudogene	chr22	25459976	25461668	+	1693	0.352119149439003	3.12534735991261	8.65528160268358	1.00731345732984e-15	2.75540346376796e-12	25.0541159887805	0.16228198836714
ENST00000245539.10	ENSG00000125445.10	MRPS7	protein_coding	chr17	75261674	75266373	+	1406	0.318346681767441	2.8565980737329	8.65270659816642	1.02446317153996e-15	2.75540346376796e-12	25.0582781723354	0.962201063415174
ENST00000507741.5	ENSG00000109184.14	DCUN1D4	protein_coding	chr4	51843153	51914036	+	1584	-1.02676071999137	1.355700744853	-8.63872507059925	1.12276141138506e-15	2.91565652172406e-12	25.0640122188207	0.127765206084499
ENST00000529624.5	ENSG00000206149.10	HERC2P9	transcribed_unprocessed_pseudogene	chr15	28590189	28674027	+	5187	0.817591998759536	2.7014139584446	8.60156580402078	1.4318381365744e-15	3.59434327424273e-12	24.7490647467144	0.296224957304712
ENST00000291576.11	ENSG00000241945.7	PWP2	protein_coding	chr21	44107290	44131181	+	3297	-3.06511983970912	1.8765141613973	-8.47004770705168	3.37221293952571e-15	8.07480933035865e-12	23.9874548724044	0.0658748223747011
ENST00000354451.6	ENSG00000100058.12	CRYBB2P1	transcribed_unprocessed_pseudogene	chr22	25455718	25511628	+	1560	0.427082103317371	1.21153377059736	8.46737894171213	3.43111578392326e-15	8.07480933035865e-12	23.9765523255588	0.0852881621760412
ENST00000333527.5	ENSG00000182698.11	RESP18	protein_coding	chr2	219327409	219333177	-	795	2.09767924443351	-1.69867848796317	8.36628223670099	6.59877679072238e-15	1.50590085252276e-11	22.3006643399377	0.354630547482944
ENST00000519386.5	ENSG00000147586.9	MRPS28	protein_coding	chr8	79918855	80029839	-	555	3.0464176015253	-2.56664060377544	8.31162480182362	9.38252336487396e-15	2.07820132966263e-11	19.3985649919576	0.0534532944538171
ENST00000567370.1	ENSG00000260306.1	RP11-645C24.5	lincRNA	chr16	21794095	21795759	-	1665	0.914950566548797	-1.05103148924561	8.15538850737985	2.54960029192176e-14	5.48593852526675e-11	21.627722111778	0.414985729739554
ENST00000514148.1	ENSG00000171503.11	ETFDH	protein_coding	chr4	158681942	158684775	+	667	0.661383375165777	-0.595415209745008	8.11472661906165	3.30198946721151e-14	6.90748679961754e-11	21.5795483748506	0.0730585911286412
ENST00000556379.1	ENSG00000215256.3	DHRS4-AS1	antisense	chr14	23938731	23954197	-	2852	0.536135432780374	2.11365289325667	8.08085409422564	4.09361549997136e-14	8.33205647803631e-11	21.5158026351694	0.0950746063443827
ENST00000450363.3	ENSG00000072041.16	SLC6A15	protein_coding	chr12	84880845	84912793	-	4229	-0.477736289499859	2.4940904011878	-8.06386195844521	4.55880073345801e-14	9.03470327463129e-11	21.3791357004474	0.0853266118891451
ENST00000422285.6	ENSG00000131828.13	PDHA1	protein_coding	chrX	19343933	19361685	+	3310	-0.332664121731393	4.60556725269866	-8.03693193915203	5.40539633273969e-14	1.04378203185203e-10	20.9617998206914	0.170290673124674
ENST00000574655.5	ENSG00000120071.12	KANSL1	protein_coding	chr17	46171727	46225367	-	667	0.829019375365671	2.00634356968623	7.96006166183499	8.77563097278382e-14	1.65220998232344e-10	20.7789244659227	0.220227447960033
ENST00000521434.5	ENSG00000147586.9	MRPS28	protein_coding	chr8	79918940	80029912	-	585	1.03436029342097	-1.49670810621267	7.91093532081214	1.19457905259425e-13	2.19420863102002e-10	19.7926656791535	0.0995705303836674
ENST00000522663.5	ENSG00000161010.14	C5orf45	protein_coding	chr5	179835133	179858860	-	2879	0.274797504322579	2.17835190994321	7.88509974985991	1.4043506278936e-13	2.46461565904184e-10	20.3061352250103	0.0973192392979687
