clusterID	N	coord	gene	annotation	FDR	chr	Type	Tissue
clu_128031_-	14	chr12:124911899-124913724	UBC	cryptic	0.0	chr12	DTU	Caudate
clu_105375_?	13	chr12:124911899-124913724	UBC	cryptic	2.51e-170	chr12	DTU	Caudate
clu_128032_-	27	chr12:124911952-124913549	UBC	cryptic	6.550000000000001e-144	chr12	DTU	Caudate
clu_72379_+	15	chr22:45323427-45330603	FAM118A	cryptic	5.74e-108	chr22	DTU	Caudate
clu_105376_?	28	chr12:124911952-124913549	UBC	cryptic	3.73e-98	chr12	DTU	Caudate
clu_91180_+	7	chr3:129488397-129499902	IFT122	cryptic	1.16e-87	chr3	DTU	Caudate
clu_187526_+	5	chr7:140696842-140702866	NDUFB2	cryptic	7.34e-83	chr7	DTU	Caudate
clu_65536_+	23	chrX:65075912-65488646	ZC3H12B	cryptic	1.71e-81	chrX	DTU	Caudate
clu_164672_+	17	chr17:55774859-55965579	PCTP	cryptic	8.200000000000001e-78	chr17	DTU	Caudate
clu_133129_-	5	chr1:1668472-1675463	SLC35E2B	cryptic	9.24e-75	chr1	DTU	Caudate
clu_115904_+	12	chr6:3228959-3302858	PSMG4	cryptic	1.4199999999999999e-74	chr6	DTU	Caudate
clu_80924_-	25	chr14:23902712-24072444	DHRS4-AS1	cryptic	1.46e-74	chr14	DTU	Caudate
clu_116337_+	19	chr6:26365217-26443957	BTN3A2	cryptic	1.58e-70	chr6	DTU	Caudate
clu_128030_-	24	chr12:124911822-124913419	.	annotated	1.41e-55	chr12	DTU	Caudate
clu_142263_+	4	chr15:25240212-25242072	SNHG14	cryptic	1.41e-55	chr15	DTU	Caudate
clu_16686_-	15	chr8:101719648-101915809	NCALD	cryptic	6.669999999999999e-54	chr8	DTU	Caudate
clu_91984_+	10	chr3:183635747-183650296	KLHL24	cryptic	6.01e-51	chr3	DTU	Caudate
clu_5003_-	30	chr11:31433570-31509577	IMMP1L	cryptic	1.82e-49	chr11	DTU	Caudate
clu_1380_-	19	chrX:115845457-115889331	.	annotated	2.5000000000000002e-48	chrX	DTU	Caudate
clu_97040_-	4	chr17:64805100-64821767	PLEKHM1P1	annotated	1.19e-46	chr17	DTU	Caudate
clu_157526_+	8	chr11:62856381-62881019	SLC3A2	annotated	6.39e-45	chr11	DTU	Caudate
clu_142257_+	3	chr15:25187905-25189741	SNHG14	cryptic	1.93e-44	chr15	DTU	Caudate
clu_80998_-	14	chr14:24440926-24442346	SDR39U1	cryptic	8.53e-44	chr14	DTU	Caudate
clu_26992_-	4	chr5:131162676-131165095	HINT1	cryptic	1.76e-40	chr5	DTU	Caudate
clu_84737_+	10	chr9:128409800-128422868	CERCAM	cryptic	2.21e-39	chr9	DTU	Caudate
clu_80801_-	3	chr14:22905453-22906195	RBM23	annotated	2.62e-39	chr14	DTU	Caudate
clu_101018_-	8	chr18:36780188-36798449	TPGS2	cryptic	1.9199999999999999e-38	chr18	DTU	Caudate
clu_10409_-	5	chr15:31655250-31870507	OTUD7A	cryptic	3.5299999999999997e-38	chr15	DTU	Caudate
clu_139841_+	6	chr10:32462703-32472481	CCDC7	cryptic	1.11e-37	chr10	DTU	Caudate
clu_23489_-	7	chr10:47542306-47544389	BMS1P2	cryptic	1.14e-37	chr10	DTU	Caudate
clu_61218_+	6	chr1:120824146-120836517	NBPF26	annotated	4.0500000000000004e-37	chr1	DTU	Caudate
clu_79619_-	10	chr20:35272145-35279566	MMP24-AS1	cryptic	3.38e-36	chr20	DTU	Caudate
clu_20507_-	11	chr3:75426599-75430832	FAM86DP	cryptic	8.44e-36	chr3	DTU	Caudate
clu_139239_-	7	chr1:248745279-248748341	LYPD8	cryptic	5.87e-31	chr1	DTU	Caudate
clu_63850_+	9	chr1:213051509-213104454	RPS6KC1	cryptic	1.5000000000000001e-30	chr1	DTU	Caudate
