"","module"
"ENSG00000227232.5","purple"
"ENSG00000278267.1","pink"
"ENSG00000279457.3","pink"
"ENSG00000228463.9","brown"
"ENSG00000236679.2","grey"
"ENSG00000237094.11","grey"
"ENSG00000230021.8","grey"
"ENSG00000225630.1","grey"
"ENSG00000237973.1","grey"
"ENSG00000248527.1","grey"
"ENSG00000228327.3","purple"
"ENSG00000237491.8","grey"
"ENSG00000230092.7","green"
"ENSG00000228794.8","turquoise"
"ENSG00000225880.5","grey"
"ENSG00000188976.10","purple"
"ENSG00000187961.13","turquoise"
"ENSG00000188290.10","yellow"
"ENSG00000187608.8","brown"
"ENSG00000188157.13","darkgrey"
"ENSG00000131591.17","pink"
"ENSG00000078808.16","purple"
"ENSG00000176022.4","darkgreen"
"ENSG00000160087.20","purple"
"ENSG00000230415.1","blue"
"ENSG00000162572.19","blue"
"ENSG00000131584.18","purple"
"ENSG00000169972.11","purple"
"ENSG00000127054.19","pink"
"ENSG00000240731.1","pink"
"ENSG00000224051.6","darkgreen"
"ENSG00000107404.18","purple"
"ENSG00000162576.16","tan"
"ENSG00000175756.13","black"
"ENSG00000221978.11","black"
"ENSG00000224870.6","black"
"ENSG00000242485.5","yellow"
"ENSG00000272455.1","greenyellow"
"ENSG00000235098.8","brown"
"ENSG00000179403.11","blue"
"ENSG00000215915.9","greenyellow"
"ENSG00000160072.19","purple"
"ENSG00000197785.13","purple"
"ENSG00000205090.8","darkgreen"
"ENSG00000160075.11","grey"
"ENSG00000215014.4","greenyellow"
"ENSG00000228594.3","midnightblue"
"ENSG00000272106.1","magenta"
"ENSG00000197530.12","purple"
"ENSG00000248333.8","yellow"
"ENSG00000189339.11","turquoise"
"ENSG00000008128.22","pink"
"ENSG00000268575.1","purple"
"ENSG00000215790.6","purple"
"ENSG00000008130.15","purple"
"ENSG00000078369.17","green"
"ENSG00000231050.1","blue"
"ENSG00000169885.9","purple"
"ENSG00000142609.17","blue"
"ENSG00000233542.1","pink"
"ENSG00000187730.7","turquoise"
"ENSG00000067606.16","turquoise"
"ENSG00000162585.16","purple"
"ENSG00000157933.9","black"
"ENSG00000116151.13","black"
"ENSG00000269896.2","paleturquoise"
"ENSG00000272420.1","turquoise"
"ENSG00000157916.19","darkgreen"
"ENSG00000157911.9","black"
"ENSG00000149527.17","pink"
"ENSG00000157881.13","blue"
"ENSG00000197921.5","brown"
"ENSG00000157873.17","pink"
"ENSG00000157870.14","lightcyan"
"ENSG00000215912.12","black"
"ENSG00000177133.10","tan"
"ENSG00000142611.16","tan"
"ENSG00000162591.15","pink"
"ENSG00000238260.1","blue"
"ENSG00000158109.14","saddlebrown"
"ENSG00000116213.15","purple"
"ENSG00000227372.11","blue"
"ENSG00000130764.9","black"
"ENSG00000116198.12","blue"
"ENSG00000169598.15","blue"
"ENSG00000198912.10","grey"
"ENSG00000196581.10","green"
"ENSG00000131697.17","black"
"ENSG00000069424.14","black"
"ENSG00000116254.17","pink"
"ENSG00000116251.9","yellow"
"ENSG00000226944.1","greenyellow"
"ENSG00000158286.12","pink"
"ENSG00000116237.15","turquoise"
"ENSG00000158292.6","turquoise"
"ENSG00000097021.19","darkorange"
"ENSG00000215788.9","blue"
"ENSG00000171680.20","purple"
"ENSG00000162408.10","turquoise"
"ENSG00000204859.12","pink"
"ENSG00000162413.16","purple"
"ENSG00000116273.5","lightyellow"
"ENSG00000041988.15","blue"
"ENSG00000007923.15","turquoise"
"ENSG00000171735.18","turquoise"
"ENSG00000237402.1","black"
"ENSG00000049245.12","red"
"ENSG00000269925.1","blue"
"ENSG00000049246.14","red"
"ENSG00000116288.12","grey"
"ENSG00000116285.12","yellow"
"ENSG00000162426.14","darkorange"
"ENSG00000142599.17","cyan"
"ENSG00000221083.1","grey"
"ENSG00000224315.2","blue"
"ENSG00000222511.2","green"
"ENSG00000228423.2","blue"
"ENSG00000074800.13","magenta"
"ENSG00000236269.1","brown"
"ENSG00000142583.17","grey60"
"ENSG00000228526.5","brown"
"ENSG00000049239.12","black"
"ENSG00000171621.13","yellow"
"ENSG00000171612.6","green"
"ENSG00000231181.1","blue"
"ENSG00000188807.12","midnightblue"
"ENSG00000171608.15","brown"
"ENSG00000171603.16","darkmagenta"
"ENSG00000178585.14","yellow"
"ENSG00000162441.11","salmon"
"ENSG00000173614.13","blue"
"ENSG00000130939.18","cyan"
"ENSG00000233623.2","greenyellow"
"ENSG00000201746.1","magenta"
"ENSG00000054523.17","steelblue"
"ENSG00000199562.1","yellow"
"ENSG00000142657.20","yellow"
"ENSG00000175279.21","grey"
"ENSG00000241563.3","black"
"ENSG00000160049.11","blue"
"ENSG00000142655.12","darkgrey"
"ENSG00000130940.14","turquoise"
"ENSG00000120948.15","cyan"
"ENSG00000271895.2","yellow"
"ENSG00000116649.9","darkorange"
"ENSG00000171824.13","brown"
"ENSG00000226849.1","blue"
"ENSG00000198793.12","midnightblue"
"ENSG00000120942.13","blue"
"ENSG00000204624.7","greenyellow"
"ENSG00000116661.9","brown"
"ENSG00000132879.13","black"
"ENSG00000116663.10","grey"
"ENSG00000116670.14","brown"
"ENSG00000162490.6","brown"
"ENSG00000177674.15","magenta"
"ENSG00000177000.10","midnightblue"
"ENSG00000011021.21","cyan"
"ENSG00000116685.15","darkorange"
"ENSG00000083444.16","blue"
"ENSG00000116688.16","magenta"
"ENSG00000116691.10","pink"
"ENSG00000028137.17","grey60"
