""	inGencode	inGencodeStart	inGencodeEnd	gencodeGeneID	ensemblID	Symbol	gencodeStrand	gencodeTx	numTx	Class	startExon	endExon	newGeneID	newGeneSymbol	isFusion	meanExprs	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
chr3:129488398-129495445(+)	TRUE	TRUE	TRUE	ENSG00000163913.11	ENSG00000163913	IFT122	+	ENST00000504021.5|ENST00000509522.5|ENST00000512814.5|ENST00000507221.1	4	InGen	117066	117068	ENSG00000163913.11	IFT122	FALSE	5.43438163044503	3.85463496326106	-1.7454129672248	14.3948301659985	7.43230458932863e-34	7.19436429895983e-29	54.9233877972616	0.150789106525337
chr1:1668473-1675462(-)	TRUE	TRUE	TRUE	ENSG00000189339.11	ENSG00000189339	SLC35E2B	-	ENST00000614300.4	1	InGen	1473	1472	ENSG00000189339.11	SLC35E2B	FALSE	13.3702926484258	3.59305525649621	-0.490416916967504	14.3485068194854	1.05578226495357e-33	7.19436429895983e-29	59.742157640667	0.144216560679261
chr7:152329500-152367154(+)	FALSE	FALSE	FALSE						0	Novel					FALSE	5.70188871253161	-3.54019966946075	-1.6129438230872	-14.0965682143359	7.11714703125073e-33	3.23320127718002e-28	53.1849524162394	0.0912716554674753
chr22:25459516-25460866(+)	TRUE	TRUE	TRUE	ENSG00000100058.12	ENSG00000100058	CRYBB2P1	+	ENST00000382734.9	1	InGen	542695	542696	ENSG00000100058.12	CRYBB2P1	FALSE	12.1115713692785	2.79526019300169	-0.278607076085708	11.3383530477968	6.32072787373596e-24	2.15355099568026e-19	40.9946369899962	0.0902064832255045
chr1:1734836-1738320(-)	TRUE	TRUE	TRUE	ENSG00000215790.6	ENSG00000215790	SLC35E2	-	ENST00000355439.6|ENST00000246421.4	2	InGen	1558	1572	ENSG00000215790.6	SLC35E2	TRUE	12.8267299686132	-2.9960904495887	-0.425896133806663	-10.9110612526686	1.41093466511089e-22	3.84578461669276e-18	37.0430341132189	0.202996422706839
chr17:64815246-64821766(-)	TRUE	TRUE	TRUE	ENSG00000214176.9	ENSG00000214176	PLEKHM1P1	-	ENST00000582201.5|ENST00000580919.5	2	InGen	465929	465913	ENSG00000214176.9	PLEKHM1P1	FALSE	8.35502353935818	-3.83425293678824	-1.49206374752225	-10.502360579377	2.66032244271314e-21	6.042700735086e-17	32.4722853770736	0.0867960879369847
chr7:140700960-140702865(+)	TRUE	TRUE	TRUE	ENSG00000090266.12	ENSG00000090266	NDUFB2	+	ENST00000482954.5|ENST00000464564.6|ENST00000472695.5|ENST00000476470.5	4	InGen	226333	226334	ENSG00000090266.12	NDUFB2	FALSE	4.60633756964887	-3.33401384834176	-1.75587399007519	-10.2033505472715	2.22753612556292e-20	4.33685372674774e-16	29.9553953101681	0.0970053518599045
chr12:124913268-124913495(-)	TRUE	TRUE	TRUE	ENSG00000150991.14	ENSG00000150991	UBC	-	ENST00000541272.1	1	InGen	357096	357095	ENSG00000150991.14	UBC	FALSE	131.812318877575	3.26750573200882	2.68994667848313	10.0818376915808	5.25036082343383e-20	8.0544740305216e-16	34.7945785230177	0.1410377656895
chr4:51848368-51863436(+)	TRUE	TRUE	TRUE	ENSG00000109184.14	ENSG00000109184	DCUN1D4	+	ENST00000507741.5	1	InGen	136281	136257	ENSG00000109184.14	DCUN1D4	FALSE	10.4398283262938	-2.65262880053997	-0.52015881623723	-10.0799923280756	5.31902016177088e-20	8.0544740305216e-16	32.0871312150599	0.105404838541418
chr17:64805101-64814862(-)	TRUE	TRUE	TRUE	ENSG00000214176.9	ENSG00000214176	PLEKHM1P1	-	ENST00000582201.5|ENST00000580919.5	2	InGen	465914	465929	ENSG00000214176.9	PLEKHM1P1	FALSE	6.86149229121874	-3.29123582134319	-1.49403701155561	-9.98767474363159	1.01770437205296e-19	1.38697840345238e-15	29.4154354681356	0.104424987320637
