gene_id,ensemblID,gene_name,seqname,gene_type,Caudate,DLPFC,Hippocampus,Dentate Gyrus
ENSG00000227232.5,ENSG00000227232,WASH7P,chr1,unprocessed_pseudogene,1,1,1,1
ENSG00000279457.3,ENSG00000279457,FO538757.1,chr1,protein_coding,1,1,1,1
ENSG00000236679.2,ENSG00000236679,RPL23AP24,chr1,processed_pseudogene,1,1,1,0
ENSG00000237094.11,ENSG00000237094,RP4-669L17.10,chr1,lincRNA,1,1,1,0
ENSG00000230021.8,ENSG00000230021,RP5-857K21.4,chr1,lincRNA,0,0,1,0
ENSG00000225972.1,ENSG00000225972,MTND1P23,chr1,unprocessed_pseudogene,1,1,1,0
ENSG00000225630.1,ENSG00000225630,MTND2P28,chr1,unprocessed_pseudogene,0,0,1,0
ENSG00000237973.1,ENSG00000237973,MTCO1P12,chr1,unprocessed_pseudogene,1,1,1,1
ENSG00000229344.1,ENSG00000229344,MTCO2P12,chr1,unprocessed_pseudogene,1,0,1,0
ENSG00000248527.1,ENSG00000248527,MTATP6P1,chr1,unprocessed_pseudogene,1,1,1,0
ENSG00000228327.3,ENSG00000228327,RP11-206L10.2,chr1,transcribed_unprocessed_pseudogene,0,1,1,0
ENSG00000225880.5,ENSG00000225880,LINC00115,chr1,lincRNA,0,1,0,0
ENSG00000187634.11,ENSG00000187634,SAMD11,chr1,protein_coding,1,0,0,0
ENSG00000272512.1,ENSG00000272512,RP11-54O7.17,chr1,lincRNA,1,0,1,0
ENSG00000188157.13,ENSG00000188157,AGRN,chr1,protein_coding,1,0,0,0
ENSG00000217801.9,ENSG00000217801,RP11-465B22.3,chr1,transcribed_unprocessed_pseudogene,0,1,0,0
ENSG00000131591.17,ENSG00000131591,C1orf159,chr1,protein_coding,1,1,1,1
ENSG00000176022.4,ENSG00000176022,B3GALT6,chr1,protein_coding,1,0,0,0
ENSG00000131584.18,ENSG00000131584,ACAP3,chr1,protein_coding,1,0,0,0
ENSG00000169972.11,ENSG00000169972,PUSL1,chr1,protein_coding,1,0,0,0
ENSG00000162576.16,ENSG00000162576,MXRA8,chr1,protein_coding,1,0,0,0
ENSG00000175756.13,ENSG00000175756,AURKAIP1,chr1,protein_coding,1,0,1,0
ENSG00000272455.1,ENSG00000272455,RP4-758J18.13,chr1,lincRNA,0,1,1,0
ENSG00000235098.8,ENSG00000235098,ANKRD65,chr1,protein_coding,1,1,1,1
ENSG00000225905.1,ENSG00000225905,RP4-758J18.7,chr1,antisense,1,0,0,0
ENSG00000179403.11,ENSG00000179403,VWA1,chr1,protein_coding,0,0,1,0
ENSG00000215915.9,ENSG00000215915,ATAD3C,chr1,protein_coding,1,0,1,1
ENSG00000197785.13,ENSG00000197785,ATAD3A,chr1,protein_coding,1,1,1,1
ENSG00000272106.1,ENSG00000272106,RP11-345P4.9,chr1,antisense,0,0,1,0
ENSG00000189339.11,ENSG00000189339,SLC35E2B,chr1,protein_coding,0,1,0,0
ENSG00000215790.6,ENSG00000215790,SLC35E2,chr1,protein_coding,1,1,1,0
ENSG00000182873.5,ENSG00000182873,RP11-181G12.2,chr1,antisense,1,0,0,0
ENSG00000269896.2,ENSG00000269896,RP4-740C4.5,chr1,transcribed_processed_pseudogene,0,0,1,0
ENSG00000142606.15,ENSG00000142606,MMEL1,chr1,protein_coding,1,0,0,0
ENSG00000177133.10,ENSG00000177133,LINC00982,chr1,antisense,0,1,0,0
ENSG00000162591.15,ENSG00000162591,MEGF6,chr1,protein_coding,0,1,1,0
ENSG00000116198.12,ENSG00000116198,CEP104,chr1,protein_coding,1,0,0,0
ENSG00000169598.15,ENSG00000169598,DFFB,chr1,protein_coding,0,1,0,0
ENSG00000233304.6,ENSG00000233304,LINC01346,chr1,lincRNA,0,1,0,0
ENSG00000116237.15,ENSG00000116237,ICMT,chr1,protein_coding,1,1,1,0
ENSG00000162426.14,ENSG00000162426,SLC45A1,chr1,protein_coding,0,1,1,0
ENSG00000074800.13,ENSG00000074800,ENO1,chr1,protein_coding,0,0,1,0
ENSG00000236269.1,ENSG00000236269,ENO1-IT1,chr1,sense_intronic,0,0,1,0
ENSG00000180758.11,ENSG00000180758,GPR157,chr1,protein_coding,0,1,0,0
ENSG00000171612.6,ENSG00000171612,SLC25A33,chr1,protein_coding,0,0,1,0
ENSG00000171608.15,ENSG00000171608,PIK3CD,chr1,protein_coding,1,0,0,0
ENSG00000171603.16,ENSG00000171603,CLSTN1,chr1,protein_coding,0,1,0,0
ENSG00000054523.17,ENSG00000054523,KIF1B,chr1,protein_coding,0,1,0,0
ENSG00000142657.20,ENSG00000142657,PGD,chr1,protein_coding,1,0,0,0
ENSG00000175279.21,ENSG00000175279,APITD1,chr1,protein_coding,1,0,0,0
ENSG00000130940.14,ENSG00000130940,CASZ1,chr1,protein_coding,0,0,0,1
ENSG00000272078.1,ENSG00000272078,RP4-734G22.3,chr1,antisense,0,1,0,0
ENSG00000198793.12,ENSG00000198793,MTOR,chr1,protein_coding,1,1,1,0
ENSG00000204624.7,ENSG00000204624,DISP3,chr1,protein_coding,0,1,0,0
ENSG00000116663.10,ENSG00000116663,FBXO6,chr1,protein_coding,1,0,0,0
ENSG00000116670.14,ENSG00000116670,MAD2L2,chr1,protein_coding,1,0,0,0
