Tissue	gencodeID	gene	oe_lof_upper_bin	oe_lof_upper	beta	lfsr
Caudate	ENSG00000185697.16	MYBL1	0.0	0.08	0.364084275273307	0.0025715004007464
Caudate	ENSG00000188158.14	NHS	0.0	0.087	0.29396530371724	0.0294935773444144
Caudate	ENSG00000163659.12	TIPARP	0.0	0.113	0.214090520100604	0.0358412573371251
Caudate	ENSG00000165731.17	RET	0.0	0.123	-0.353295057608156	0.0063388461914716
Caudate	ENSG00000187498.14	COL4A1	0.0	0.128	0.376701228624865	0.0003270661546924
Caudate	ENSG00000102174.8	PHEX	0.0	0.143	0.514467284310481	0.0034911186229707
Caudate	ENSG00000037280.15	FLT4	0.0	0.147	-1.01278191141729	0.0
Caudate	ENSG00000175497.16	DPP10	0.0	0.178	0.323076395728637	0.0473642603667484
Caudate	ENSG00000103460.16	TOX3	0.0	0.181	0.410053202199512	0.0014069618068004
Caudate	ENSG00000205323.8	SARNP	0.0	0.185	-0.249723381357689	0.0372293535027133
Caudate	ENSG00000108684.14	ASIC2	0.0	0.192	-0.308164546805618	0.022895045317559
Caudate	ENSG00000118503.14	TNFAIP3	0.0	0.196	0.312550245469189	0.0065340128490472
Caudate	ENSG00000151136.14	BTBD11	0.0	0.204	-0.671350602188849	0.0001670732191426
Caudate	ENSG00000163531.15	NFASC	0.0	0.215	-0.202828992809045	0.0462516643053587
Caudate	ENSG00000160201.11	U2AF1	0.0	0.216	1.89152315196781	1.45002158098429e-05
Caudate	ENSG00000167693.16	NXN	0.0	0.218	0.249187851912334	0.0039528721870321
Caudate	ENSG00000187122.16	SLIT1	0.0	0.222	-0.494115422099767	3.60310107880846e-05
Caudate	ENSG00000047648.21	ARHGAP6	0.0	0.228	0.298995030186486	0.015505310685421
Caudate	ENSG00000137801.10	THBS1	0.0	0.235	1.43152442002093	5.7722795383798505e-21
Caudate	ENSG00000185532.15	PRKG1	0.0	0.235	0.579985728150422	0.0002102906512184
Caudate	ENSG00000138622.3	HCN4	0.0	0.239	-0.690964409099959	3.37618155654695e-10
Caudate	ENSG00000133275.15	CSNK1G2	0.0	0.254	0.401964503396448	7.60618126769538e-05
Caudate	ENSG00000101190.12	TCFL5	0.0	0.255	-0.338213382704556	0.0490860003098044
Caudate	ENSG00000152670.18	DDX4	0.0	0.263	0.690644225409891	6.24850928208795e-05
Caudate	ENSG00000185483.11	ROR1	0.0	0.267	0.618610903989947	0.0020161246880534
Caudate	ENSG00000043355.11	ZIC2	0.0	0.267	-0.299656090248788	0.0376025600057106
Caudate	ENSG00000041515.15	MYO16	1.0	0.272	-0.364410934286112	0.0015053133791174
Caudate	ENSG00000197943.9	PLCG2	1.0	0.281	1.2934347353856	1.34305495323191e-19
Caudate	ENSG00000158423.16	RIBC1	1.0	0.282	-1.3405963165813	1.11022302462516e-16
Caudate	ENSG00000105810.9	CDK6	1.0	0.282	0.209118093654261	0.0436933156048508
Caudate	ENSG00000147416.10	ATP6V1B2	1.0	0.287	-0.251613998784879	0.0434426580271685
Caudate	ENSG00000169083.15	AR	1.0	0.291	0.408862526655273	0.013568934109068
Caudate	ENSG00000086717.18	PPEF1	1.0	0.293	1.06737686163298	5.35743921291742e-19
Caudate	ENSG00000185924.6	RTN4RL1	1.0	0.297	0.487297949028957	0.0107591742335178
Caudate	ENSG00000017483.14	SLC38A5	1.0	0.297	0.749107428060571	0.012304809249061
Caudate	ENSG00000157404.15	KIT	1.0	0.305	-0.304032236319474	0.0165060356864404
Caudate	ENSG00000182463.15	TSHZ2	1.0	0.307	-0.403838649186301	0.0072521194477606
Caudate	ENSG00000149131.15	SERPING1	1.0	0.322	-0.425939086173741	0.0438731213716218
Caudate	ENSG00000000971.15	CFH	1.0	0.324	-0.517496121431041	0.0054464234590961
Caudate	ENSG00000057657.15	PRDM1	1.0	0.333	0.387551882139897	0.0237268471764632
Caudate	ENSG00000165092.12	ALDH1A1	1.0	0.335	0.427933987397993	0.0104339549838985
Caudate	ENSG00000154188.9	ANGPT1	1.0	0.337	-0.728377774505013	9.00463176550792e-05
Caudate	ENSG00000239887.4	C1orf226	1.0	0.337	-0.488559983791086	0.0026125207942799
Caudate	ENSG00000122756.14	CNTFR	1.0	0.339	-0.829388286191558	8.96580698572791e-10
Caudate	ENSG00000173068.17	BNC2	1.0	0.34	-0.464976793894823	2.68968549022031e-06
Caudate	ENSG00000043462.11	LCP2	1.0	0.341	0.360413440935482	0.0040583471940045
Caudate	ENSG00000146648.16	EGFR	1.0	0.349	-0.21137617317781	0.0241782878649774
Caudate	ENSG00000123094.15	RASSF8	1.0	0.349	0.318577644634328	0.0302454957713969
Caudate	ENSG00000124766.6	SOX4	1.0	0.359	0.310883594906781	0.044370860818339
Caudate	ENSG00000113319.11	RASGRF2	1.0	0.36	0.518999056920051	5.89820395594108e-07
Caudate	ENSG00000152977.9	ZIC1	1.0	0.364	-0.38166515500412	0.0007343580899182
Caudate	ENSG00000134775.15	FHOD3	1.0	0.374	0.309582435744781	0.0215040329768305
Caudate	ENSG00000162733.16	DDR2	1.0	0.376	0.376107358885421	5.18665586411286e-05
