""	Length	gencodeID	ensemblID	gene_type	Symbol	EntrezID	Class	meanExprs	NumTx	gencodeTx	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
ENSG00000272977.1	3754	ENSG00000272977.1	ENSG00000272977	sense_intronic	""		InGen	0.447450640691765	1	ENST00000609475.1	2.1971553522919	1.17696211583413	12.3282218569709	5.78146946458568e-27	1.2935459780064e-22	50.0392545108671	0.0817426463000817
ENSG00000233913.7	645	ENSG00000233913.7	ENSG00000233913	processed_pseudogene	""		InGen	11.5037360671026	1	ENST00000522551.1	-2.94167090923573	3.10668230637147	-12.213021041663	1.35107776574741e-26	1.51145069654163e-22	49.7254121106412	0.0708704903260512
ENSG00000259479.6	2925	ENSG00000259479.6	ENSG00000259479	transcribed_unprocessed_pseudogene	SORD2P		InGen	0.156934258398244	4	ENST00000561384.3|ENST00000562107.1|ENST00000564140.5|ENST00000558556.5	-2.33878320882025	-0.546409516093613	-12.0875002891443	3.40105602889254e-26	2.53650758634806e-22	47.0141617162849	0.1185522333007
ENSG00000068654.15	13519	ENSG00000068654.15	ENSG00000068654	protein_coding	POLR1A	25885	InGen	2.27419973162111	10	ENST00000263857.10|ENST00000409681.1|ENST00000471427.1|ENST00000496892.5|ENST00000492034.1|ENST00000462078.1|ENST00000483538.1|ENST00000486964.5|ENST00000424089.5|ENST00000409024.3	0.292087250525531	5.94081951536666	11.9229138232829	1.13787863200532e-25	6.36472412812173e-22	47.5366339278693	0.114958892652559
ENSG00000084628.9	2987	ENSG00000084628.9	ENSG00000084628	protein_coding	NKAIN1	79570	InGen	0.745090015659941	5	ENST00000373736.6|ENST00000528449.1|ENST00000526106.5|ENST00000530145.1|ENST00000533581.1	1.89180668803967	1.65767283359346	11.5186553626815	2.17642909103659e-24	9.73908489657054e-21	44.5004489348996	0.135455544836661
ENSG00000204894.4	90	ENSG00000204894.4	ENSG00000204894	processed_pseudogene	""		InGen	4.79424638101109	1	ENST00000472406.1	-4.69610308704063	-1.8351135318726	-11.3060239504491	1.01783171649862e-23	3.79549447082335e-20	40.2006506947038	0.171079534302388
ENSG00000226278.1	261	ENSG00000226278.1	ENSG00000226278	unprocessed_pseudogene	PSPHP1		InGen	8.58209941737172	1	ENST00000450062.1	-5.65925579853625	-0.00286043076387325	-10.9982673241053	9.3659849497244e-23	2.99363638950191e-19	39.8384187152846	0.842493375504664
ENSG00000271361.1	631	ENSG00000271361.1	ENSG00000271361	processed_pseudogene	HTATSF1P2		InGen	0.231532706710726	1	ENST00000604204.1	3.41822116352313	-2.87052887616911	10.931059970891	1.51729307644152e-22	4.24348941153783e-19	36.4462840358965	0.124068808050163
ENSG00000230076.1	318	ENSG00000230076.1	ENSG00000230076	processed_pseudogene	""		InGen	5.16014602353954	1	ENST00000457497.1	-4.53630945080907	0.00176697354257038	-10.9140915671616	1.7136019615095e-22	4.26001447631262e-19	39.5146327693521	0.303684449317118
ENSG00000140263.13	6159	ENSG00000140263.13	ENSG00000140263	protein_coding	SORD	6652	InGen	0.932446133265675	7	ENST00000267814.13|ENST00000558789.5|ENST00000559230.5|ENST00000558580.1|ENST00000560488.5|ENST00000559562.1|ENST00000558574.1	0.626046612843898	3.44922119589062	10.892126857023	2.00573776301362e-22	4.48763767096667e-19	40.2748193280995	0.134913605194534
