GO:0035195 BP 1.79e-06  0/1061   557/29107 D10 gene silencing by miRNA                   
GO:0005739 CC 2.26e-06 92/1061  1305/29107 D05 mitochondrion                            670.0, 842.0, 1159.0, 1340.0, 1371.0, 2671.0, 3978.0, 4521.0, 4704.0, 4713.0, 4722.0, 4724.0, 5096.0, 5300.0, 5366.0, 5521.0, 5997.0, 6300.0, 6389.0, 6391.0, 6622.0, 7019.0, 7263.0, 8165.0, 8774.0, 9801.0, 9804.0, 9868.0, 9941.0, 9997.0, 10131.0, 10863.0, 10901.0, 23593.0, 23600.0, 23770.0, 23788.0, 25959.0, 26995.0, 27349.0, 29093.0, 51295.0, 51312.0, 51657.0, 54543.0, 54998.0, 55127.0, 55149.0, 55210.0, 55268.0, 55316.0, 55471.0, 55744.0, 55753.0, 55812.0, 56181.0, 56624.0, 56922.0, 57110.0, 57128.0, 57176.0, 57505.0, 60491.0, 60528.0, 64978.0, 79731.0, 79810.0, 80142.0, 80224.0, 84303.0, 84705.0, 85865.0, 93587.0, 93974.0, 113451.0, 115286.0, 124454.0, 126129.0, 126789.0, 130916.0, 132001.0, 151393.0, 219293.0, 219402.0, 219970.0, 255027.0, 255189.0, 256643.0, 282808.0, 284106.0, 728294.0, 102724023.0 
GO:0005737 CC 9.07e-06 226/1061  4681/29107 D02 cytoplasm                                102.0, 107.0, 148.0, 321.0, 347.0, 353.0, 358.0, 367.0, 631.0, 760.0, 842.0, 949.0, 958.0, 1371.0, 1466.0, 1612.0, 1663.0, 1725.0, 1728.0, 1964.0, 2017.0, 2784.0, 2830.0, 2861.0, 3359.0, 3706.0, 3838.0, 3852.0, 3978.0, 4057.0, 4085.0, 4311.0, 4355.0, 4494.0, 4495.0, 4521.0, 4647.0, 4671.0, 4752.0, 4843.0, 5129.0, 5138.0, 5289.0, 5293.0, 5300.0, 5336.0, 5533.0, 5592.0, 5598.0, 5600.0, 5635.0, 5742.0, 5797.0, 5921.0, 5997.0, 5999.0, 6300.0, 6584.0, 6606.0, 6622.0, 6642.0, 6654.0, 6799.0, 7099.0, 7174.0, 7225.0, 7249.0, 7320.0, 7347.0, 7375.0, 7917.0, 8045.0, 8507.0, 8787.0, 8888.0, 8986.0, 8999.0, 9051.0, 9071.0, 9098.0, 9352.0, 9401.0, 9425.0, 9463.0, 9585.0, 9894.0, 10008.0, 10309.0, 10314.0, 10361.0, 10486.0, 10572.0, 10776.0, 10841.0, 11059.0, 11060.0, 22911.0, 22950.0, 23189.0, 23234.0, 23421.0, 23533.0, 23549.0, 23582.0, 23593.0, 23600.0, 23604.0, 23635.0, 25778.0, 25796.0, 25876.0, 25896.0, 25959.0, 25989.0, 26260.0, 26270.0, 26272.0, 27143.0, 27175.0, 27341.0, 29899.0, 29925.0, 50628.0, 50853.0, 51016.0, 51070.0, 51074.0, 51154.0, 51295.0, 51548.0, 54550.0, 54878.0, 54903.0, 55124.0, 55191.0, 55208.0, 55251.0, 55316.0, 55325.0, 55607.0, 55715.0, 55764.0, 55781.0, 55805.0, 55835.0, 55857.0, 56155.0, 56164.0, 56893.0, 57091.0, 57110.0, 57519.0, 57531.0, 57562.0, 57602.0, 57718.0, 57805.0, 60491.0, 63979.0, 64343.0, 65109.0, 65979.0, 79007.0, 79026.0, 79716.0, 79781.0, 79834.0, 79882.0, 80705.0, 80851.0, 83547.0, 83714.0, 84074.0, 84100.0, 84268.0, 84433.0, 84525.0, 84705.0, 84707.0, 85376.0, 89846.0, 89891.0, 90417.0, 90990.0, 91875.0, 112483.0, 113220.0, 113451.0, 115703.0, 116138.0, 116225.0, 116987.0, 117178.0, 121952.0, 126433.0, 134728.0, 134957.0, 143570.0, 146057.0, 147138.0, 151393.0, 152015.0, 166614.0, 168002.0, 170825.0, 199221.0, 201163.0, 201176.0, 222236.0, 255027.0, 282808.0, 283229.0, 285025.0, 285590.0, 285753.0, 286204.0, 359948.0, 389432.0, 404672.0, 414194.0, 493829.0, 727851.0, 729857.0, 100131187.0, 100463486.0, 100507436.0 
GO:0005759 CC 1.27e-05 32/1061   381/29107 D05 mitochondrial matrix                     2110.0, 2647.0, 4521.0, 4704.0, 4722.0, 5096.0, 5138.0, 6622.0, 7019.0, 7263.0, 7923.0, 9997.0, 10131.0, 26995.0, 27349.0, 51025.0, 51110.0, 51657.0, 55471.0, 55753.0, 56922.0, 57128.0, 57805.0, 60528.0, 79731.0, 80224.0, 84274.0, 90624.0, 124454.0, 130916.0, 201973.0, 728294.0 
GO:0005829 CC 1.66e-05 248/1061  5294/29107 D02 cytosol                                  91.0, 100.0, 148.0, 157.0, 191.0, 353.0, 367.0, 613.0, 648.0, 745.0, 760.0, 842.0, 1124.0, 1371.0, 1495.0, 1540.0, 1725.0, 1728.0, 1828.0, 1964.0, 2009.0, 2017.0, 2021.0, 2444.0, 2647.0, 2671.0, 2784.0, 3040.0, 3073.0, 3356.0, 3635.0, 3706.0, 3838.0, 3852.0, 3899.0, 4085.0, 4174.0, 4296.0, 4521.0, 4647.0, 4683.0, 4703.0, 4804.0, 4843.0, 5096.0, 5137.0, 5138.0, 5224.0, 5289.0, 5293.0, 5300.0, 5324.0, 5336.0, 5366.0, 5435.0, 5521.0, 5533.0, 5592.0, 5598.0, 5600.0, 5702.0, 5921.0, 5973.0, 5997.0, 5999.0, 6134.0, 6208.0, 6234.0, 6300.0, 6584.0, 6606.0, 6622.0, 6642.0, 6652.0, 6654.0, 6769.0, 6799.0, 7019.0, 7062.0, 7138.0, 7174.0, 7186.0, 7249.0, 7347.0, 7375.0, 7439.0, 7881.0, 7917.0, 8029.0, 8086.0, 8165.0, 8242.0, 8293.0, 8437.0, 8888.0, 8986.0, 9025.0, 9051.0, 9296.0, 9352.0, 9410.0, 9463.0, 9559.0, 9585.0, 9701.0, 9811.0, 9894.0, 9924.0, 10010.0, 10109.0, 10235.0, 10466.0, 10495.0, 10841.0, 10901.0, 11059.0, 11060.0, 22844.0, 22977.0, 23047.0, 23093.0, 23113.0, 23194.0, 23220.0, 23234.0, 23263.0, 23421.0, 23533.0, 23549.0, 23583.0, 23600.0, 23601.0, 23743.0, 23770.0, 25791.0, 25796.0, 25839.0, 26270.0, 26272.0, 26273.0, 27143.0, 27175.0, 27295.0, 28952.0, 29116.0, 29899.0, 29952.0, 29954.0, 30849.0, 50628.0, 51070.0, 51074.0, 51084.0, 51171.0, 51295.0, 51606.0, 54014.0, 54496.0, 54859.0, 54878.0, 54885.0, 54903.0, 55055.0, 55191.0, 55224.0, 55607.0, 55690.0, 55715.0, 55744.0, 55781.0, 55812.0, 55835.0, 56893.0, 56922.0, 56985.0, 57110.0, 57176.0, 57407.0, 57602.0, 57718.0, 57761.0, 58504.0, 60528.0, 64359.0, 64772.0, 65109.0, 79026.0, 79058.0, 79585.0, 79658.0, 79731.0, 79778.0, 80142.0, 80336.0, 83547.0, 84303.0, 84433.0, 84735.0, 85313.0, 85415.0, 89765.0, 89846.0, 89891.0, 90861.0, 91544.0, 93426.0, 93587.0, 113451.0, 114757.0, 115703.0, 116138.0, 116985.0, 118460.0, 119391.0, 121952.0, 122970.0, 123745.0, 126433.0, 129401.0, 130916.0, 134957.0, 140461.0, 146057.0, 146850.0, 151393.0, 152206.0, 161823.0, 169981.0, 197258.0, 200035.0, 201163.0, 201176.0, 201299.0, 201456.0, 203074.0, 253714.0, 255189.0, 283748.0, 283807.0, 284076.0, 348180.0, 374403.0, 401036.0, 440145.0, 653784.0, 729359.0, 100131187.0, 100885848.0 
GO:0005743 CC 4.29e-05 32/1061   404/29107 D05 mitochondrial inner membrane             1159.0, 1340.0, 2021.0, 4536.0, 4537.0, 4539.0, 4713.0, 4722.0, 4724.0, 4726.0, 5138.0, 6389.0, 6391.0, 6622.0, 9801.0, 9941.0, 10131.0, 23788.0, 29093.0, 51081.0, 51295.0, 51312.0, 54998.0, 55210.0, 55744.0, 64978.0, 84274.0, 84303.0, 115209.0, 115286.0, 132001.0, 284723.0 
GO:0005886 CC 5.42e-05 212/1061  4487/29107 D03 plasma membrane                          91.0, 100.0, 102.0, 107.0, 114.0, 148.0, 157.0, 321.0, 358.0, 367.0, 368.0, 631.0, 760.0, 925.0, 949.0, 955.0, 958.0, 1138.0, 1441.0, 1495.0, 1612.0, 1815.0, 1824.0, 1828.0, 2017.0, 2038.0, 2046.0, 2057.0, 2065.0, 2261.0, 2532.0, 2786.0, 2830.0, 2845.0, 2849.0, 2861.0, 2979.0, 3127.0, 3356.0, 3359.0, 3568.0, 3594.0, 3635.0, 3732.0, 3758.0, 3759.0, 3792.0, 4036.0, 4040.0, 4057.0, 4072.0, 4185.0, 4311.0, 4521.0, 4804.0, 4843.0, 4868.0, 5023.0, 5138.0, 5293.0, 5336.0, 5592.0, 5789.0, 5797.0, 5921.0, 5997.0, 5999.0, 6262.0, 6536.0, 6540.0, 6584.0, 6610.0, 6622.0, 6654.0, 7099.0, 7225.0, 7320.0, 7375.0, 7434.0, 7439.0, 7881.0, 7923.0, 8001.0, 8029.0, 8174.0, 8437.0, 8549.0, 8748.0, 8787.0, 9051.0, 9071.0, 9098.0, 9362.0, 9365.0, 9463.0, 10003.0, 10008.0, 10060.0, 10161.0, 10235.0, 10314.0, 10347.0, 10351.0, 10457.0, 10486.0, 10495.0, 10841.0, 10863.0, 11027.0, 11059.0, 22844.0, 22950.0, 23093.0, 23189.0, 23221.0, 23234.0, 23263.0, 23416.0, 23460.0, 23504.0, 23533.0, 23539.0, 23551.0, 23600.0, 23601.0, 26504.0, 26511.0, 27133.0, 29116.0, 29990.0, 50839.0, 50863.0, 51148.0, 51199.0, 51285.0, 51606.0, 53905.0, 54550.0, 54842.0, 55244.0, 55315.0, 55503.0, 55558.0, 55630.0, 55835.0, 56246.0, 56253.0, 56302.0, 56624.0, 56704.0, 57007.0, 57091.0, 57761.0, 59307.0, 60437.0, 79026.0, 79058.0, 79258.0, 79570.0, 79658.0, 79778.0, 80224.0, 80328.0, 80342.0, 81035.0, 84063.0, 84100.0, 84433.0, 84628.0, 85414.0, 85415.0, 90417.0, 90861.0, 94122.0, 114814.0, 115703.0, 116225.0, 116841.0, 116985.0, 117155.0, 123745.0, 124976.0, 129401.0, 134957.0, 138799.0, 139065.0, 144245.0, 144402.0, 145389.0, 146850.0, 195814.0, 201163.0, 203074.0, 253559.0, 282808.0, 284129.0, 284525.0, 286204.0, 338557.0, 339390.0, 343171.0, 374403.0, 375790.0, 401994.0, 402415.0, 403313.0, 414194.0, 646627.0, 729359.0, 729873.0, 768211.0, 100507436.0 
GO:0005634 CC 1.47e-04 244/1061  5367/29107 D05 nucleus                                  102.0, 107.0, 148.0, 191.0, 358.0, 367.0, 648.0, 745.0, 842.0, 1388.0, 1466.0, 1612.0, 1663.0, 2021.0, 2218.0, 2261.0, 2444.0, 2553.0, 2637.0, 2962.0, 3146.0, 3706.0, 3838.0, 3852.0, 3899.0, 3978.0, 4057.0, 4085.0, 4174.0, 4436.0, 4494.0, 4495.0, 4521.0, 4683.0, 4704.0, 4752.0, 4843.0, 4999.0, 5129.0, 5138.0, 5224.0, 5300.0, 5366.0, 5435.0, 5598.0, 5600.0, 5702.0, 5997.0, 5999.0, 6118.0, 6134.0, 6300.0, 6447.0, 6606.0, 6622.0, 6920.0, 7019.0, 7091.0, 7249.0, 7320.0, 7375.0, 7633.0, 7652.0, 7691.0, 7718.0, 7757.0, 7769.0, 7772.0, 7917.0, 8086.0, 8175.0, 8242.0, 8263.0, 8293.0, 8363.0, 8365.0, 8367.0, 8449.0, 8507.0, 8787.0, 8888.0, 8986.0, 8999.0, 9014.0, 9025.0, 9204.0, 9310.0, 9352.0, 9401.0, 9425.0, 9585.0, 9701.0, 9801.0, 9852.0, 9894.0, 9924.0, 9941.0, 10038.0, 10109.0, 10172.0, 10309.0, 10361.0, 10388.0, 10780.0, 10901.0, 11059.0, 11060.0, 11244.0, 22869.0, 22888.0, 23020.0, 23047.0, 23093.0, 23189.0, 23234.0, 23300.0, 23392.0, 23421.0, 23533.0, 23549.0, 23582.0, 23604.0, 23635.0, 23788.0, 25896.0, 26145.0, 26150.0, 26152.0, 26260.0, 26298.0, 27175.0, 27319.0, 29028.0, 29894.0, 51070.0, 51096.0, 51149.0, 51295.0, 51351.0, 51548.0, 51634.0, 54014.0, 54496.0, 54587.0, 54815.0, 54859.0, 54998.0, 55051.0, 55100.0, 55110.0, 55124.0, 55208.0, 55325.0, 55502.0, 55552.0, 55636.0, 55781.0, 55835.0, 56164.0, 56893.0, 56978.0, 57007.0, 57110.0, 57455.0, 57519.0, 57531.0, 57602.0, 57615.0, 57761.0, 57805.0, 58504.0, 60491.0, 60528.0, 63973.0, 63979.0, 64359.0, 64518.0, 65109.0, 65251.0, 79026.0, 79149.0, 79364.0, 79673.0, 79716.0, 79780.0, 79882.0, 79943.0, 80142.0, 80336.0, 83463.0, 83640.0, 83714.0, 84268.0, 84525.0, 84622.0, 84707.0, 84733.0, 84807.0, 84874.0, 84897.0, 85313.0, 85376.0, 89765.0, 90417.0, 90861.0, 90990.0, 93134.0, 93587.0, 113451.0, 113510.0, 113835.0, 115560.0, 116987.0, 117178.0, 125893.0, 134728.0, 136051.0, 143570.0, 144811.0, 146057.0, 146279.0, 148398.0, 168544.0, 169841.0, 170825.0, 195814.0, 201163.0, 201973.0, 283337.0, 283417.0, 283807.0, 284058.0, 286257.0, 339488.0, 342132.0, 342908.0, 345643.0, 359948.0, 388523.0, 388536.0, 440097.0, 654254.0, 100293516.0, 100885848.0 
GO:0046872 MF 4.11e-06 134/1061  2297/29107 D04 metal ion binding                        91.0, 102.0, 107.0, 114.0, 414.0, 1124.0, 1297.0, 1302.0, 1466.0, 1534.0, 1663.0, 1815.0, 2021.0, 2110.0, 3792.0, 3978.0, 4494.0, 4495.0, 4521.0, 4671.0, 4752.0, 4843.0, 5137.0, 5324.0, 5446.0, 5533.0, 5742.0, 6391.0, 6610.0, 6769.0, 7375.0, 7633.0, 7652.0, 7681.0, 7691.0, 7718.0, 7769.0, 7772.0, 8001.0, 8437.0, 8543.0, 8748.0, 9014.0, 9310.0, 9331.0, 9463.0, 9924.0, 9941.0, 10003.0, 10010.0, 10172.0, 10572.0, 10739.0, 10780.0, 10863.0, 11244.0, 22869.0, 22888.0, 23113.0, 23300.0, 23770.0, 25870.0, 26145.0, 26152.0, 27107.0, 27295.0, 29116.0, 29954.0, 51167.0, 51668.0, 55124.0, 55316.0, 55503.0, 55552.0, 55753.0, 55781.0, 55790.0, 56302.0, 56922.0, 56931.0, 56978.0, 57615.0, 60528.0, 65251.0, 79149.0, 79258.0, 79364.0, 79673.0, 79778.0, 79817.0, 79882.0, 79943.0, 80224.0, 81035.0, 83444.0, 84100.0, 84268.0, 84622.0, 84735.0, 84874.0, 84954.0, 89846.0, 93134.0, 94122.0, 113835.0, 115209.0, 115560.0, 116225.0, 116983.0, 116985.0, 116987.0, 125893.0, 136051.0, 144402.0, 151313.0, 161823.0, 168544.0, 169841.0, 199221.0, 200035.0, 201164.0, 220002.0, 254295.0, 283337.0, 284106.0, 342132.0, 342908.0, 359948.0, 388512.0, 388523.0, 388536.0, 390928.0, 654254.0, 100293516.0 
GO:0005515 MF 5.95e-06 600/1061 12417/29107 D02 protein binding                          91.0, 100.0, 102.0, 148.0, 157.0, 191.0, 258.0, 321.0, 341.0, 347.0, 353.0, 358.0, 367.0, 613.0, 631.0, 648.0, 652.0, 760.0, 842.0, 925.0, 949.0, 958.0, 1039.0, 1124.0, 1138.0, 1159.0, 1183.0, 1297.0, 1302.0, 1360.0, 1388.0, 1441.0, 1466.0, 1495.0, 1519.0, 1534.0, 1540.0, 1612.0, 1663.0, 1725.0, 1728.0, 1815.0, 1824.0, 1828.0, 1964.0, 2009.0, 2017.0, 2021.0, 2038.0, 2057.0, 2065.0, 2110.0, 2123.0, 2218.0, 2261.0, 2267.0, 2328.0, 2444.0, 2553.0, 2647.0, 2671.0, 2784.0, 2786.0, 2861.0, 2962.0, 2979.0, 2982.0, 3040.0, 3073.0, 3108.0, 3146.0, 3356.0, 3359.0, 3568.0, 3576.0, 3592.0, 3635.0, 3732.0, 3759.0, 3792.0, 3838.0, 3852.0, 4036.0, 4040.0, 4047.0, 4057.0, 4072.0, 4085.0, 4174.0, 4296.0, 4311.0, 4355.0, 4436.0, 4494.0, 4495.0, 4521.0, 4537.0, 4647.0, 4671.0, 4683.0, 4703.0, 4704.0, 4713.0, 4722.0, 4724.0, 4752.0, 4804.0, 4843.0, 4868.0, 4999.0, 5023.0, 5096.0, 5129.0, 5138.0, 5224.0, 5289.0, 5293.0, 5300.0, 5336.0, 5366.0, 5521.0, 5533.0, 5557.0, 5592.0, 5598.0, 5600.0, 5635.0, 5702.0, 5742.0, 5789.0, 5797.0, 5918.0, 5921.0, 5950.0, 5961.0, 5973.0, 5997.0, 6118.0, 6134.0, 6208.0, 6234.0, 6262.0, 6300.0, 6389.0, 6391.0, 6447.0, 6452.0, 6584.0, 6606.0, 6610.0, 6622.0, 6631.0, 6642.0, 6654.0, 6658.0, 6769.0, 6799.0, 6920.0, 7019.0, 7091.0, 7099.0, 7103.0, 7138.0, 7174.0, 7182.0, 7186.0, 7225.0, 7249.0, 7320.0, 7347.0, 7375.0, 7424.0, 7633.0, 7681.0, 7718.0, 7772.0, 7917.0, 7923.0, 8029.0, 8045.0, 8086.0, 8165.0, 8175.0, 8242.0, 8263.0, 8269.0, 8293.0, 8363.0, 8365.0, 8367.0, 8449.0, 8507.0, 8543.0, 8549.0, 8774.0, 8856.0, 8888.0, 8911.0, 8986.0, 9014.0, 9015.0, 9025.0, 9051.0, 9071.0, 9091.0, 9098.0, 9296.0, 9362.0, 9401.0, 9410.0, 9425.0, 9443.0, 9463.0, 9559.0, 9585.0, 9701.0, 9717.0, 9801.0, 9804.0, 9811.0, 9852.0, 9868.0, 9894.0, 9906.0, 9924.0, 9997.0, 10003.0, 10008.0, 10010.0, 10038.0, 10109.0, 10131.0, 10161.0, 10172.0, 10309.0, 10314.0, 10361.0, 10457.0, 10466.0, 10486.0, 10572.0, 10607.0, 10690.0, 10776.0, 10841.0, 10863.0, 11059.0, 11060.0, 11197.0, 11244.0, 22844.0, 22874.0, 22888.0, 22911.0, 22915.0, 22950.0, 22977.0, 23020.0, 23047.0, 23113.0, 23189.0, 23194.0, 23221.0, 23234.0, 23283.0, 23300.0, 23392.0, 23416.0, 23421.0, 23463.0, 23549.0, 23582.0, 23583.0, 23592.0, 23593.0, 23604.0, 23770.0, 23788.0, 25791.0, 25796.0, 25839.0, 25870.0, 25876.0, 25885.0, 25896.0, 25959.0, 25989.0, 26045.0, 26094.0, 26145.0, 26150.0, 26152.0, 26270.0, 26272.0, 26273.0, 26504.0, 26511.0, 26585.0, 27143.0, 27295.0, 27341.0, 28952.0, 29028.0, 29116.0, 29894.0, 29899.0, 29925.0, 29990.0, 30849.0, 50628.0, 50839.0, 50863.0, 51016.0, 51025.0, 51070.0, 51074.0, 51110.0, 51148.0, 51149.0, 51154.0, 51171.0, 51192.0, 51199.0, 51285.0, 51295.0, 51312.0, 51531.0, 51548.0, 51606.0, 51634.0, 51657.0, 51668.0, 51778.0, 53905.0, 53938.0, 54496.0, 54532.0, 54543.0, 54550.0, 54587.0, 54815.0, 54842.0, 54878.0, 54885.0, 54903.0, 54941.0, 54998.0, 55007.0, 55051.0, 55055.0, 55076.0, 55110.0, 55124.0, 55127.0, 55138.0, 55149.0, 55191.0, 55208.0, 55210.0, 55222.0, 55224.0, 55244.0, 55251.0, 55280.0, 55315.0, 55325.0, 55340.0, 55471.0, 55502.0, 55503.0, 55515.0, 55558.0, 55607.0, 55622.0, 55636.0, 55690.0, 55715.0, 55753.0, 55759.0, 55764.0, 55781.0, 55805.0, 55812.0, 55835.0, 55848.0, 55857.0, 56155.0, 56181.0, 56246.0, 56302.0, 56672.0, 56704.0, 56893.0, 56922.0, 56931.0, 56978.0, 57007.0, 57110.0, 57128.0, 57176.0, 57407.0, 57505.0, 57528.0, 57531.0, 57562.0, 57602.0, 57654.0, 57718.0, 57761.0, 57805.0, 57834.0, 58504.0, 59307.0, 60437.0, 60491.0, 63973.0, 63979.0, 64231.0, 64343.0, 64518.0, 64755.0, 64978.0, 65082.0, 65109.0, 65251.0, 79026.0, 79053.0, 79058.0, 79095.0, 79137.0, 79149.0, 79157.0, 79364.0, 79446.0, 79585.0, 79658.0, 79673.0, 79778.0, 79810.0, 79817.0, 79834.0, 79882.0, 79943.0, 80142.0, 80224.0, 80262.0, 80328.0, 80342.0, 80705.0, 80851.0, 83444.0, 83463.0, 83547.0, 83640.0, 83714.0, 83872.0, 83992.0, 84063.0, 84071.0, 84074.0, 84100.0, 84221.0, 84268.0, 84274.0, 84283.0, 84303.0, 84332.0, 84433.0, 84525.0, 84548.0, 84628.0, 84680.0, 84689.0, 84705.0, 84707.0, 84733.0, 84807.0, 84897.0, 84898.0, 84952.0, 84954.0, 84996.0, 85313.0, 85376.0, 85865.0, 89765.0, 89891.0, 89927.0, 90417.0, 90624.0, 91544.0, 91875.0, 92960.0, 93099.0, 93426.0, 93587.0, 93974.0, 94122.0, 112483.0, 113451.0, 113510.0, 114757.0, 114792.0, 115560.0, 115703.0, 116138.0, 116225.0, 116841.0, 116985.0, 116987.0, 117155.0, 117178.0, 119391.0, 124936.0, 126129.0, 126433.0, 129401.0, 130916.0, 131566.0, 131965.0, 132001.0, 134728.0, 136051.0, 140461.0, 144245.0, 144402.0, 144811.0, 145389.0, 146057.0, 146279.0, 146433.0, 146664.0, 146850.0, 147138.0, 147372.0, 148398.0, 151393.0, 152015.0, 152206.0, 157807.0, 158427.0, 167555.0, 168544.0, 169841.0, 169981.0, 195814.0, 197258.0, 199221.0, 201163.0, 201164.0, 201254.0, 201299.0, 201456.0, 201973.0, 219402.0, 220002.0, 253714.0, 253769.0, 254295.0, 283229.0, 283337.0, 283807.0, 284040.0, 284058.0, 284076.0, 284129.0, 284338.0, 285025.0, 285590.0, 285753.0, 286204.0, 286257.0, 286343.0, 339390.0, 340277.0, 342132.0, 342908.0, 345643.0, 348180.0, 374403.0, 375057.0, 375790.0, 388512.0, 400506.0, 401494.0, 401994.0, 403313.0, 404672.0, 408050.0, 440097.0, 440145.0, 440295.0, 493829.0, 613212.0, 653247.0, 653784.0, 768211.0, 100131997.0, 100507436.0, 102724023.0 
GO:0005524 MF 2.08e-05 85/1061  1458/29107 D08 ATP binding                              91.0, 107.0, 114.0, 157.0, 368.0, 613.0, 1159.0, 1183.0, 1612.0, 1663.0, 2038.0, 2046.0, 2065.0, 2261.0, 2444.0, 3706.0, 3758.0, 3978.0, 4174.0, 4296.0, 4436.0, 4647.0, 4671.0, 4752.0, 5023.0, 5096.0, 5129.0, 5289.0, 5293.0, 5592.0, 5598.0, 5600.0, 5702.0, 5973.0, 6300.0, 6584.0, 7320.0, 8449.0, 8632.0, 8986.0, 8999.0, 9401.0, 9585.0, 10060.0, 10131.0, 10347.0, 10351.0, 23020.0, 23093.0, 23113.0, 23460.0, 23604.0, 25778.0, 25989.0, 29028.0, 30849.0, 55149.0, 55191.0, 55210.0, 55224.0, 55636.0, 55781.0, 56155.0, 56164.0, 56922.0, 57176.0, 57505.0, 57519.0, 57761.0, 63979.0, 79731.0, 79781.0, 80224.0, 84284.0, 90990.0, 91646.0, 113220.0, 113510.0, 124454.0, 146057.0, 166614.0, 197258.0, 219293.0, 284076.0, 653857.0 
