""	inGencode	inGencodeStart	inGencodeEnd	gencodeGeneID	ensemblID	Symbol	gencodeStrand	gencodeTx	numTx	Class	startExon	endExon	newGeneID	newGeneSymbol	isFusion	meanExprs	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
chr1:1668473-1675462(-)	TRUE	TRUE	TRUE	ENSG00000189339.11	ENSG00000189339	SLC35E2B	-	ENST00000614300.4	1	InGen	1473	1472	ENSG00000189339.11	SLC35E2B	FALSE	14.582308041743	4.03020611928041	-0.769291086290327	12.7334517764233	1.16884363940198e-27	1.6511786556376e-22	48.1405198226526	0.0724202040647468
chr3:129488398-129495445(+)	TRUE	TRUE	TRUE	ENSG00000163913.11	ENSG00000163913	IFT122	+	ENST00000504021.5|ENST00000509522.5|ENST00000512814.5|ENST00000507221.1	4	InGen	117066	117068	ENSG00000163913.11	IFT122	FALSE	10.8724722177727	4.17675466102302	-1.21798783120781	11.8832588639857	4.80897654627792e-25	3.39672440393248e-20	41.7351622873959	0.0728630610372625
chr7:152329500-152367154(+)	FALSE	FALSE	FALSE						0	Novel					FALSE	6.50416858106867	-4.11669600436839	-1.60191784551366	-11.3369166343564	2.22200479995651e-23	1.04631243356886e-18	36.1938689741898	0.150536426479033
chr15:25187906-25189740(+)	FALSE	TRUE	TRUE						0	ExonSkip	389374	389376	ENSG00000224078.12	SNHG14	FALSE	5.58287038227054	3.63706321833026	-2.09863119807368	10.8264483054645	7.71228547899881e-22	2.72370930119061e-17	33.4839609454165	0.182597520590151
chr17:64805101-64821766(-)	TRUE	TRUE	TRUE	ENSG00000214176.9	ENSG00000214176	PLEKHM1P1	-	ENST00000578036.5|ENST00000582986.5	2	InGen	465914	465913	ENSG00000214176.9	PLEKHM1P1	FALSE	19.3792971014458	2.29456688360436	0.231192572056068	10.4064162378932	1.38460443844068e-20	3.91195061201523e-16	35.2387768386414	0.171979535092023
chr16:21797113-21797749(-)	TRUE	TRUE	TRUE	ENSG00000248124.7	ENSG00000248124	RRN3P1	-	ENST00000514813.6|ENST00000546471.5	2	InGen	420217	420216	ENSG00000248124.7	RRN3P1	FALSE	19.4984732197312	1.02009711228346	0.775614894311635	10.1012851785111	1.10539671618959e-19	2.60258287515397e-15	33.6982267127272	0.224496015773055
chrX:72181829-72196784(+)	FALSE	TRUE	TRUE						0	ExonSkip	559570	559572	ENSG00000102309.12	PIN4	FALSE	8.25338081851568	-3.95729241011962	-1.59370697140779	-9.99868814325974	2.2131975463915e-19	4.46642235126487e-15	29.0004049318923	0.0895502822679435
chrX:154400627-154400701(+)	TRUE	TRUE	TRUE	ENSG00000147403.16	ENSG00000147403	RPL10	+	ENST00000369817.6|ENST00000424325.6|ENST00000618723.4|ENST00000436473.5|ENST00000344746.8|ENST00000491035.5|ENST00000485196.5|ENST00000406022.6	8	InGen	567802	567803	ENSG00000147403.16	RPL10	FALSE	411.888728203029	0.429010760569153	5.07421110903892	9.87358581026582	5.14422846541696e-19	8.56121503971083e-15	32.4281216281942	0.10820425961492
chr1:1734836-1738320(-)	TRUE	TRUE	TRUE	ENSG00000215790.6	ENSG00000215790	SLC35E2	-	ENST00000355439.6|ENST00000246421.4	2	InGen	1558	1572	ENSG00000215790.6	SLC35E2	TRUE	13.1479888992697	-2.55069426968249	-0.167641071490409	-9.86488494711676	5.45431564264561e-19	8.56121503971083e-15	30.8117853526643	0.123241897001616
chr22:25459516-25460866(+)	TRUE	TRUE	TRUE	ENSG00000100058.12	ENSG00000100058	CRYBB2P1	+	ENST00000382734.9	1	InGen	542695	542696	ENSG00000100058.12	CRYBB2P1	FALSE	13.3738395764095	2.64150309340997	-0.382967842313417	9.83394030336476	6.71562452327522e-19	9.48689413904997e-15	31.0235066102322	0.136268861833939
chr15:25252334-25266430(+)	TRUE	TRUE	TRUE	ENSG00000224078.12	ENSG00000224078	SNHG14	+	ENST00000453082.5|ENST00000452731.5	2	InGen	389442	389443	ENSG00000224078.12	SNHG14	FALSE	14.9454895698298	1.17450305683236	0.404278508021126	9.6004707858251	3.20334842506421e-18	4.11385653286473e-14	30.2601677361312	0.121861489228361
chr17:16801129-16802258(+)	TRUE	TRUE	TRUE	ENSG00000266302.6	ENSG00000266302	RP11-219A15.1	+	ENST00000448331.7|ENST00000393005.6|ENST00000602730.1|ENST00000506594.6|ENST00000341745.3	5	InGen	446466	446467	ENSG00000266302.6	RP11-219A15.1	FALSE	103.188581984846	1.60489171484707	2.8990603530454	9.33181260112445	1.9018493554068e-17	2.23888875867414e-13	29.0329048072994	0.114129850972112
chr17:514402-514447(-)	FALSE	FALSE	FALSE						0	Novel					FALSE	5.19155629949532	-4.30413560336458	-2.49770782534507	-9.19140615260668	4.78833853140413e-17	5.20330331521028e-13	23.6951237061352	0.108834478460686
chr9:96944086-96949554(-)	TRUE	TRUE	TRUE	ENSG00000196312.12	ENSG00000196312	MFSD14C	-	ENST00000637864.1	1	InGen	261541	261530	ENSG00000196312.12	MFSD14C	FALSE	10.2667127088347	1.60699489846336	-0.347093503966184	9.15748863858312	5.98002521001941e-17	5.81715281849427e-13	26.9353631460109	0.171540605114035
chr3:41912900-41918456(-)	FALSE	TRUE	TRUE						0	ExonSkip	101511	101509	ENSG00000168038.10	ULK4	FALSE	5.13851748959407	2.81961450717439	-1.74901316889432	9.1525433365614	6.17680774407246e-17	5.81715281849427e-13	24.6267841782736	0.123616636231069
chr12:56228200-56229749(+)	FALSE	FALSE	FALSE						0	Novel					FALSE	32.4373797370039	4.73467173158876	-0.280527363573732	9.01923956061658	1.47453154577122e-16	1.30188233340573e-12	26.1897612341404	0.142795756114774
chr3:129492195-129495445(+)	TRUE	TRUE	TRUE	ENSG00000163913.11	ENSG00000163913	IFT122	+	ENST00000431818.6|ENST00000440957.6|ENST00000347300.6|ENST00000296266.7|ENST00000507564.5|ENST00000512220.5|ENST00000349441.6|ENST00000348417.6|ENST00000506507.5	9	InGen	117067	117068	ENSG00000163913.11	IFT122	FALSE	26.0955319790651	-0.633644680916986	1.50602107703544	-8.99737693836861	1.69987968084675e-16	1.41256001761469e-12	26.8796721413257	0.156588353021081
chr3:129488398-129492140(+)	TRUE	TRUE	TRUE	ENSG00000163913.11	ENSG00000163913	IFT122	+	ENST00000431818.6|ENST00000440957.6|ENST00000347300.6|ENST00000296266.7|ENST00000507564.5|ENST00000512220.5|ENST00000349441.6|ENST00000348417.6|ENST00000506507.5|ENST00000511425.5	10	InGen	117066	117067	ENSG00000163913.11	IFT122	FALSE	30.4164282291417	-0.571533467938255	1.75968290709137	-8.96388170636656	2.11313672289511e-16	1.658413179425e-12	26.6958749114943	0.0834196922882178
chr17:64805101-64814862(-)	TRUE	TRUE	TRUE	ENSG00000214176.9	ENSG00000214176	PLEKHM1P1	-	ENST00000582201.5|ENST00000580919.5	2	InGen	465914	465929	ENSG00000214176.9	PLEKHM1P1	FALSE	6.17429626076166	-3.50228934135917	-1.68458713950227	-8.90485511722165	3.0983073991145e-16	2.30360785812268e-12	22.7149041882972	0.0966404618423721
chr5:1576310-1576543(-)	TRUE	TRUE	TRUE	ENSG00000185986.11	ENSG00000185986	SDHAP3	-	ENST00000515467.2	1	InGen	152475	152474	ENSG00000185986.11	SDHAP3	FALSE	7.51930764426062	-3.52692446339641	-1.15871318622287	-8.85837338962957	4.18485389298679e-16	2.8586368495847e-12	23.5405484728339	0.0797720208678294
chr17:75042278-75046924(-)	FALSE	TRUE	TRUE						0	ExonSkip	468254	468252	ENSG00000167863.11	ATP5H	FALSE	5.30483999709358	2.24645843411162	-1.56967663843605	8.85599939713556	4.24952740512782e-16	2.8586368495847e-12	23.3837180404671	0.08204081793341
chr5:33989503-33998640(-)	TRUE	TRUE	TRUE	ENSG00000242110.7	ENSG00000242110	AMACR	-	ENST00000335606.10|ENST00000382072.6|ENST00000382079.3|ENST00000382085.7|ENST00000502637.5	5	InGen	154777	154776	ENSG00000242110.7	AMACR	FALSE	30.6174254317197	0.665260396244161	1.64420425037183	8.82350737920114	5.24110989735046e-16	3.36541195799596e-12	25.8106372210793	0.0937106233891437
chr17:45475727-45477899(-)	TRUE	TRUE	TRUE	ENSG00000225190.9	ENSG00000225190	PLEKHM1	-	ENST00000430334.7|ENST00000581448.5	2	InGen	459092	459091	ENSG00000225190.9	PLEKHM1	FALSE	20.485112544251	-0.910276141185235	0.985188528995239	-8.77600315398188	7.1176213225799e-16	4.37164301632857e-12	25.355711141969	0.0779658448369813
chr15:25252334-25255567(+)	FALSE	TRUE	FALSE						0	AltStartEnd	389442		ENSG00000224078.12	SNHG14	FALSE	23.0839595370094	-0.90927745073795	1.24817019434845	-8.70528395767234	1.12107243068751e-15	6.59872574972925e-12	25.0017439802666	0.0875992411269255
chr12:124913268-124913495(-)	TRUE	TRUE	TRUE	ENSG00000150991.14	ENSG00000150991	UBC	-	ENST00000541272.1	1	InGen	357096	357095	ENSG00000150991.14	UBC	FALSE	191.468422398658	3.15458374099382	2.98058124377539	8.69466510659707	1.20005176756726e-15	6.75354075977862e-12	24.9713207696747	0.0884346387245438
chr3:111135887-111135910(+)	FALSE	FALSE	FALSE						0	Novel					FALSE	6.28467806929391	-3.97327521972403	-2.76232189530505	-8.68917962986916	1.24298882784424e-15	6.75354075977862e-12	20.8216437990175	0.0898064555674953
chr17:37979039-37980019(-)	TRUE	TRUE	TRUE	ENSG00000274512.5	ENSG00000274512	TBC1D3L	-	ENST00000612727.4|ENST00000617678.2	2	InGen	453749	453748	ENSG00000274512.5	TBC1D3L	FALSE	7.22930175649272	2.9624043251086	-1.54473387875976	8.63787230440478	1.72609303898203e-15	9.0310466386976e-12	22.3548432504173	0.109036389160463
chr7:140700960-140702865(+)	TRUE	TRUE	TRUE	ENSG00000090266.12	ENSG00000090266	NDUFB2	+	ENST00000482954.5|ENST00000464564.6|ENST00000472695.5|ENST00000476470.5	4	InGen	226333	226334	ENSG00000090266.12	NDUFB2	FALSE	5.65604832052335	-3.57129479264764	-1.47347209401925	-8.61431125778158	2.00642754006479e-15	1.00570704996042e-11	21.4859377363131	0.0983511323475238
chr19:34390860-34390909(+)	FALSE	FALSE	FALSE						0	Novel					FALSE	5.75237425825364	2.74553747282517	-1.62063292284011	8.60983504411377	2.06458061025669e-15	1.00570704996042e-11	21.8431172577386	0.0867123611519491
chr17:16772020-16773496(+)	TRUE	TRUE	TRUE	ENSG00000170160.17	ENSG00000170160	CCDC144A	+	ENST00000399273.5|ENST00000448331.7|ENST00000360495.9	3	InGen	446433	446434	ENSG00000170160.17	CCDC144A	FALSE	62.5264591567492	1.01065398780181	2.39355481666392	8.59663865929886	2.24593218222977e-15	1.05757951884957e-11	24.3848421375047	0.0793318577460433
chr1:213072987-213077695(+)	TRUE	TRUE	TRUE	ENSG00000136643.11	ENSG00000136643	RPS6KC1	+	ENST00000543470.5|ENST00000490299.5	2	InGen	46740	46726	ENSG00000136643.11	RPS6KC1	FALSE	31.5497490541594	-0.796065207891955	1.80114242757613	-8.5905937069302	2.33419899024306e-15	1.0636869501796e-11	24.3611557369762	0.121439450003234
