""	gene_id	Symbol	gene_type	chr	start	end	strand	length	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
ENST00000560351.2	ENSG00000259583.2	RP11-66B24.4	antisense	chr15	100892859	100919283	-	3688	-1.60443377642316	2.4443934272009	-9.48702278207926	1.1653278839823e-14	7.18646052773043e-10	22.8105995967669	0.144602923105495
ENST00000526457.3	ENSG00000154237.12	LRRK1	protein_coding	chr15	101053337	101078254	+	11632	-1.7618723027699	1.51322861896756	-8.52694847194137	8.5826753128589e-13	2.53377197514139e-08	18.4549529536817	0.231071080203626
ENST00000477714.1	ENSG00000100376.11	FAM118A	protein_coding	chr22	45310137	45328241	+	756	5.41659876060554	-0.675902366372369	8.40035795234403	1.5138178175642e-12	2.53377197514139e-08	13.6040518148558	0.725049038569893
ENST00000614300.4	ENSG00000189339.11	SLC35E2B	protein_coding	chr1	1659529	1692724	-	2156	2.43730161411904	-0.123178537694126	8.38202357011676	1.64346558247508e-12	2.53377197514139e-08	16.2483365200397	0.314996104859959
ENST00000637864.1	ENSG00000196312.12	MFSD14C	protein_coding	chr9	96942913	97013600	-	1802	0.8451093017266	2.56084567402109	7.86874804418472	1.63407758813626e-11	2.0154386156555e-07	15.9151643858482	0.180976514650898
ENST00000496550.1	ENSG00000221866.9	PLXNA4	protein_coding	chr7	132140604	132145507	-	597	1.43535946032979	0.501776910088357	7.82268948076453	2.00707844205309e-11	2.06290867404954e-07	15.0950665603065	0.308900130333923
ENST00000471577.5	ENSG00000115274.14	INO80B	protein_coding	chr2	74455108	74457371	+	818	3.35797537220218	-0.887306141986638	7.73811425806945	2.92681777043099e-11	2.57848464406727e-07	11.5025149514227	0.47562429340668
ENST00000556379.1	ENSG00000215256.3	DHRS4-AS1	antisense	chr14	23938731	23954197	-	2852	1.04948998195363	2.65688914805959	7.48059594948338	9.20459560015654e-11	7.09547757582567e-07	14.269235912005	0.357943760294395
ENST00000541272.1	ENSG00000150991.14	UBC	protein_coding	chr12	124913035	124914074	-	582	3.56286462049848	1.27040125928988	7.3527571361906	1.6225933086475e-10	1.11181896389981e-06	13.4426792909317	0.124688715020131
ENST00000510353.5	ENSG00000171503.11	ETFDH	protein_coding	chr4	158672316	158680101	+	987	0.967440464528544	1.48606859598856	7.28110856519876	2.22802845506095e-10	1.37400286795154e-06	13.3003728545287	0.252952458071379
ENST00000507221.1	ENSG00000163913.11	IFT122	protein_coding	chr3	129488191	129502764	+	590	2.39446392810409	0.132256824619463	7.08142013920238	5.37705179059763e-10	3.01452188067605e-06	11.7038303363366	0.415913461079177
ENST00000409681.1	ENSG00000068654.15	POLR1A	protein_coding	chr2	86026328	86106155	-	6454	-0.752355835914949	4.38689473723595	-6.84648681567837	1.50706835006407e-09	7.71038402962804e-06	11.4839754353514	0.344398558271331
