module,gene_id,gene_name
grey,ENSG00000227232.5,WASH7P
grey,ENSG00000279457.3,FO538757.1
grey,ENSG00000228463.9,AP006222.2
grey,ENSG00000236679.2,RPL23AP24
grey,ENSG00000237094.11,RP4-669L17.10
grey,ENSG00000230021.8,RP5-857K21.4
grey,ENSG00000225972.1,MTND1P23
grey,ENSG00000225630.1,MTND2P28
grey,ENSG00000237973.1,MTCO1P12
grey,ENSG00000229344.1,MTCO2P12
grey,ENSG00000248527.1,MTATP6P1
grey,ENSG00000198744.5,MTCO3P12
grey,ENSG00000228327.3,RP11-206L10.2
grey,ENSG00000237491.8,RP11-206L10.9
grey,ENSG00000230092.7,RP11-206L10.8
grey,ENSG00000228794.8,LINC01128
grey,ENSG00000225880.5,LINC00115
grey,ENSG00000230699.2,RP11-54O7.1
blue,ENSG00000223764.2,RP11-54O7.3
grey,ENSG00000187634.11,SAMD11
cyan,ENSG00000188976.10,NOC2L
grey,ENSG00000187961.13,KLHL17
grey,ENSG00000272512.1,RP11-54O7.17
grey,ENSG00000188290.10,HES4
violet,ENSG00000187608.8,ISG15
tan,ENSG00000188157.13,AGRN
grey,ENSG00000217801.9,RP11-465B22.3
tan,ENSG00000131591.17,C1orf159
blue,ENSG00000162571.13,TTLL10
cyan,ENSG00000078808.16,SDF4
grey,ENSG00000176022.4,B3GALT6
grey,ENSG00000160087.20,UBE2J2
grey,ENSG00000230415.1,RP5-902P8.10
tan,ENSG00000162572.19,SCNN1D
tan,ENSG00000131584.18,ACAP3
darkred,ENSG00000169972.11,PUSL1
tan,ENSG00000127054.19,CPSF3L
grey,ENSG00000240731.1,RP5-890O3.9
darkred,ENSG00000224051.6,CPTP
darkgreen,ENSG00000107404.18,DVL1
blue,ENSG00000162576.16,MXRA8
darkgreen,ENSG00000175756.13,AURKAIP1
tan,ENSG00000221978.11,CCNL2
turquoise,ENSG00000224870.6,RP4-758J18.2
grey,ENSG00000242485.5,MRPL20
grey,ENSG00000272455.1,RP4-758J18.13
turquoise,ENSG00000235098.8,ANKRD65
grey,ENSG00000225905.1,RP4-758J18.7
turquoise,ENSG00000205116.3,TMEM88B
grey,ENSG00000225285.1,RP4-758J18.10
turquoise,ENSG00000179403.11,VWA1
grey,ENSG00000215915.9,ATAD3C
grey,ENSG00000160072.19,ATAD3B
tan,ENSG00000197785.13,ATAD3A
purple,ENSG00000205090.8,TMEM240
grey,ENSG00000160075.11,SSU72
grey,ENSG00000215014.4,RP5-832C2.5
green,ENSG00000228594.3,FNDC10
grey,ENSG00000272106.1,RP11-345P4.9
tan,ENSG00000197530.12,MIB2
grey,ENSG00000248333.8,CDK11B
grey,ENSG00000189339.11,SLC35E2B
grey,ENSG00000008128.22,CDK11A
grey,ENSG00000268575.1,RP1-283E3.8
grey,ENSG00000215790.6,SLC35E2
grey,ENSG00000008130.15,NADK
purple,ENSG00000078369.17,GNB1
grey,ENSG00000231050.1,RP1-140A9.1
grey,ENSG00000169885.9,CALML6
blue,ENSG00000142609.17,CFAP74
purple,ENSG00000187730.7,GABRD
green,ENSG00000067606.16,PRKCZ
grey,ENSG00000182873.5,RP11-181G12.2
grey,ENSG00000162585.16,FAAP20
white,ENSG00000157933.9,SKI
blue,ENSG00000116151.13,MORN1
grey,ENSG00000269896.2,RP4-740C4.5
grey,ENSG00000272420.1,RP4-740C4.7
turquoise,ENSG00000157916.19,RER1
grey,ENSG00000157911.9,PEX10
turquoise,ENSG00000149527.17,PLCH2
grey,ENSG00000157881.13,PANK4
yellow,ENSG00000197921.5,HES5
grey,ENSG00000272449.1,RP3-395M20.12
grey,ENSG00000238164.6,RP3-395M20.8
grey,ENSG00000157873.17,TNFRSF14
green,ENSG00000157870.14,FAM213B
blue,ENSG00000142606.15,MMEL1
blue,ENSG00000215912.12,TTC34
grey,ENSG00000177133.10,LINC00982
grey,ENSG00000142611.16,PRDM16
grey,ENSG00000279839.1,RP11-193J6.1
grey,ENSG00000272235.1,RP11-22L13.1
turquoise,ENSG00000130762.14,ARHGEF16
grey,ENSG00000162591.15,MEGF6
grey,ENSG00000238260.1,RP11-46F15.2
purple,ENSG00000158109.14,TPRG1L
grey,ENSG00000116213.15,WRAP73
blue,ENSG00000078900.14,TP73
turquoise,ENSG00000227372.11,TP73-AS1
cyan,ENSG00000130764.9,LRRC47
turquoise,ENSG00000116198.12,CEP104
grey,ENSG00000169598.15,DFFB
grey,ENSG00000198912.10,C1orf174
grey,ENSG00000236423.5,LINC01134
red,ENSG00000196581.10,AJAP1
grey,ENSG00000131697.17,NPHP4
green,ENSG00000069424.14,KCNAB2
green,ENSG00000116254.17,CHD5
skyblue,ENSG00000116251.9,RPL22
grey,ENSG00000158286.12,RNF207
purple,ENSG00000116237.15,ICMT
green,ENSG00000158292.6,GPR153
darkmagenta,ENSG00000097021.19,ACOT7
grey,ENSG00000215788.9,TNFRSF25
grey,ENSG00000171680.20,PLEKHG5
green,ENSG00000162408.10,NOL9
tan,ENSG00000204859.12,ZBTB48
blue,ENSG00000162413.16,KLHL21
grey,ENSG00000116273.5,PHF13
grey,ENSG00000041988.15,THAP3
purple,ENSG00000007923.15,DNAJC11
saddlebrown,ENSG00000171735.18,CAMTA1
grey,ENSG00000237402.1,CAMTA1-IT1
grey,ENSG00000270171.1,RP11-338N10.1
grey,ENSG00000270035.1,RP11-338N10.2
grey,ENSG00000269978.1,RP11-338N10.3
turquoise,ENSG00000049245.12,VAMP3
grey,ENSG00000269925.1,RP3-467L1.6
grey,ENSG00000049246.14,PER3
grey,ENSG00000116288.12,PARK7
grey,ENSG00000116285.12,ERRFI1
red,ENSG00000162426.14,SLC45A1
grey,ENSG00000142599.17,RERE
grey,ENSG00000224315.2,RPL7P7
grey,ENSG00000222511.2,Y_RNA
grey,ENSG00000228423.2,RP4-633I8.4
yellow,ENSG00000074800.13,ENO1
grey,ENSG00000236269.1,ENO1-IT1
darkturquoise,ENSG00000142583.17,SLC2A5
grey,ENSG00000180758.11,GPR157
grey,ENSG00000228526.5,MIR34A
grey,ENSG00000234546.3,RP3-510D11.2
grey,ENSG00000281937.1,RP3-510D11.4
grey,ENSG00000049239.12,H6PD
turquoise,ENSG00000171621.13,SPSB1
yellow,ENSG00000171612.6,SLC25A33
grey,ENSG00000231181.1,RP13-15M17.1
grey,ENSG00000188807.12,TMEM201
grey60,ENSG00000171608.15,PIK3CD
red,ENSG00000171603.16,CLSTN1
grey,ENSG00000178585.14,CTNNBIP1
turquoise,ENSG00000162441.11,LZIC
grey,ENSG00000173614.13,NMNAT1
turquoise,ENSG00000162444.11,RBP7
grey,ENSG00000130939.18,UBE4B
grey,ENSG00000233623.2,PGAM1P11
grey,ENSG00000054523.17,KIF1B
grey,ENSG00000199562.1,RNU6-37P
cyan,ENSG00000142657.20,PGD
grey,ENSG00000251503.8,APITD1-CORT
grey,ENSG00000175279.21,APITD1
brown,ENSG00000241563.3,CORT
turquoise,ENSG00000160049.11,DFFA
white,ENSG00000142655.12,PEX14
grey,ENSG00000130940.14,CASZ1
grey,ENSG00000175262.14,C1orf127
grey,ENSG00000120948.15,TARDBP
grey,ENSG00000271895.2,RP4-635E18.8
sienna3,ENSG00000116649.9,SRM
turquoise,ENSG00000171824.13,EXOSC10
grey,ENSG00000226849.1,RP4-635E18.7
grey,ENSG00000198793.12,MTOR
grey,ENSG00000120942.13,UBIAD1
grey,ENSG00000204624.7,DISP3
lightcyan,ENSG00000116661.9,FBXO2
red,ENSG00000132879.13,FBXO44
grey,ENSG00000116663.10,FBXO6
cyan,ENSG00000116670.14,MAD2L2
grey,ENSG00000162490.6,DRAXIN
grey,ENSG00000177674.15,AGTRAP
grey,ENSG00000177000.10,MTHFR
cyan,ENSG00000011021.21,CLCN6
grey,ENSG00000120937.8,NPPB
grey,ENSG00000199347.1,RNU5E-1
turquoise,ENSG00000116685.15,KIAA2013
lightgreen,ENSG00000083444.16,PLOD1
grey,ENSG00000116688.16,MFN2
darkred,ENSG00000116691.10,MIIP
grey,ENSG00000120949.14,TNFRSF8
darkturquoise,ENSG00000028137.17,TNFRSF1B
royalblue,ENSG00000048707.13,VPS13D
grey,ENSG00000239149.1,SNORA59A
lightcyan,ENSG00000162496.8,DHRS3
grey,ENSG00000272482.1,RP11-474O21.5
blue,ENSG00000157330.9,C1orf158
blue,ENSG00000162493.16,PDPN
grey,ENSG00000116731.22,PRDM2
turquoise,ENSG00000189337.16,KAZN
grey,ENSG00000175147.11,TMEM51-AS1
grey,ENSG00000171729.13,TMEM51
blue,ENSG00000142621.19,FHAD1
darkturquoise,ENSG00000142634.12,EFHD2
grey,ENSG00000132906.17,CASP9
salmon,ENSG00000116138.12,DNAJC16
grey,ENSG00000116771.5,AGMAT
blue,ENSG00000237301.1,RP4-680D5.2
grey,ENSG00000235084.3,CHCHD2P6
grey,ENSG00000197312.11,DDI2
white,ENSG00000116786.11,PLEKHM2
grey,ENSG00000162461.7,SLC25A34
grey,ENSG00000162458.12,FBLIM1
grey,ENSG00000233954.6,UQCRHL
turquoise,ENSG00000179743.4,FLJ37453
pink,ENSG00000065526.10,SPEN
turquoise,ENSG00000116809.11,ZBTB17
grey,ENSG00000183888.4,C1orf64
grey,ENSG00000173641.17,HSPB7
grey,ENSG00000185519.8,FAM131C
lightyellow,ENSG00000142627.12,EPHA2
grey,ENSG00000142632.16,ARHGEF19
grey,ENSG00000237276.8,ANO7P1
darkgreen,ENSG00000132881.11,RSG1
grey,ENSG00000037637.10,FBXO42
grey,ENSG00000055070.16,SZRD1
turquoise,ENSG00000157191.19,NECAP2
grey,ENSG00000226029.1,RP4-798A10.2
grey,ENSG00000080947.14,CROCCP3
grey,ENSG00000206652.1,RNU1-1
grey,ENSG00000261135.1,RP4-798A10.7
grey,ENSG00000233421.4,RP5-875O13.1
grey,ENSG00000219481.10,NBPF1
grey,ENSG00000215908.9,CROCCP2
grey,ENSG00000186301.8,MST1P2
grey,ENSG00000236698.1,EIF1AXP1
grey,ENSG00000058453.16,CROCC
grey,ENSG00000207389.1,RNU1-4
grey,ENSG00000186715.10,MST1L
grey,ENSG00000228549.3,RP11-108M9.3
grey,ENSG00000238142.1,RP11-108M9.4
grey,ENSG00000207005.1,RNU1-2
green,ENSG00000159363.17,ATP13A2
magenta,ENSG00000117118.9,SDHB
turquoise,ENSG00000117115.12,PADI2
grey,ENSG00000142623.9,PADI1
cyan,ENSG00000179051.13,RCC2
lightcyan,ENSG00000074964.16,ARHGEF10L
grey,ENSG00000117154.11,IGSF21
grey,ENSG00000280222.1,RP11-174G17.3
brown,ENSG00000009709.11,PAX7
grey,ENSG00000159423.16,ALDH4A1
lightyellow,ENSG00000169991.10,IFFO2
grey,ENSG00000272084.1,RP5-1126H10.2
cyan,ENSG00000127481.14,UBR4
grey,ENSG00000230424.1,RP1-43E13.2
cyan,ENSG00000127463.13,EMC1
cyan,ENSG00000053372.4,MRTO4
grey,ENSG00000211454.13,AKR7L
grey,ENSG00000162482.4,AKR7A3
orange,ENSG00000053371.12,AKR7A2
grey,ENSG00000040487.12,PQLC2
cyan,ENSG00000077549.17,CAPZB
brown,ENSG00000173436.13,MINOS1
grey,ENSG00000226396.1,RP5-1056L3.3
grey,ENSG00000158747.13,NBL1
green,ENSG00000158748.3,HTR6
grey,ENSG00000162542.13,TMCO4
grey,ENSG00000169914.5,OTUD3
grey,ENSG00000127472.10,PLA2G5
grey,ENSG00000225986.1,UBXN10-AS1
blue,ENSG00000162543.5,UBXN10
blue,ENSG00000158816.15,VWA5B1
grey,ENSG00000236963.6,LINC01141
grey,ENSG00000162545.5,CAMK2N1
cyan,ENSG00000090432.6,MUL1
red,ENSG00000183114.7,FAM43B
grey,ENSG00000158825.5,CDA
darkgreen,ENSG00000158828.6,PINK1
grey,ENSG00000117242.7,PINK1-AS
cyan,ENSG00000244038.9,DDOST
red,ENSG00000117245.12,KIF17
red,ENSG00000189410.11,SH2D5
grey,ENSG00000127483.17,HP1BP3
pink,ENSG00000075151.20,EIF4G3
grey,ENSG00000233072.1,RPS15AP6
grey,ENSG00000117298.14,ECE1
grey,ENSG00000227001.3,NBPF2P
grey,ENSG00000187952.9,HS6ST1P1
grey,ENSG00000142794.18,NBPF3
grey,ENSG00000162551.13,ALPL
purple,ENSG00000076864.19,RAP1GAP
pink,ENSG00000090686.15,USP48
