clusterID	N	coord	gene	annotation	FDR
clu_128031_-	14	chr12:124911899-124913724	UBC	cryptic	0
clu_105375_?	13	chr12:124911899-124913724	UBC	cryptic	2.51e-170
clu_128032_-	27	chr12:124911952-124913549	UBC	cryptic	6.55e-144
clu_72379_+	15	chr22:45323427-45330603	FAM118A	cryptic	5.74e-108
clu_105376_?	28	chr12:124911952-124913549	UBC	cryptic	3.73e-98
clu_91180_+	7	chr3:129488397-129499902	IFT122	cryptic	1.16e-87
clu_187526_+	5	chr7:140696842-140702866	NDUFB2	cryptic	7.34e-83
clu_65536_+	23	chrX:65075912-65488646	ZC3H12B	cryptic	1.71e-81
clu_164672_+	17	chr17:55774859-55965579	PCTP	cryptic	8.2e-78
clu_133129_-	5	chr1:1668472-1675463	SLC35E2B	cryptic	9.24e-75
clu_115904_+	12	chr6:3228959-3302858	PSMG4	cryptic	1.42e-74
clu_80924_-	25	chr14:23902712-24072444	DHRS4-AS1	cryptic	1.46e-74
clu_116337_+	19	chr6:26365217-26443957	BTN3A2	cryptic	1.58e-70
clu_128030_-	24	chr12:124911822-124913419	.	annotated	1.41e-55
clu_142263_+	4	chr15:25240212-25242072	SNHG14	cryptic	1.41e-55
clu_16686_-	15	chr8:101719648-101915809	NCALD	cryptic	6.67e-54
clu_91984_+	10	chr3:183635747-183650296	KLHL24	cryptic	6.01e-51
clu_5003_-	30	chr11:31433570-31509577	IMMP1L	cryptic	1.82e-49
clu_1380_-	19	chrX:115845457-115889331	.	annotated	2.5e-48
clu_97040_-	4	chr17:64805100-64821767	PLEKHM1P1	annotated	1.19e-46
clu_157526_+	8	chr11:62856381-62881019	SLC3A2	annotated	6.39e-45
clu_142257_+	3	chr15:25187905-25189741	SNHG14	cryptic	1.93e-44
clu_80998_-	14	chr14:24440926-24442346	SDR39U1	cryptic	8.53e-44
clu_26992_-	4	chr5:131162676-131165095	HINT1	cryptic	1.76e-40
clu_84737_+	10	chr9:128409800-128422868	CERCAM	cryptic	2.21e-39
clu_80801_-	3	chr14:22905453-22906195	RBM23	annotated	2.62e-39
clu_101018_-	8	chr18:36780188-36798449	TPGS2	cryptic	1.92e-38
clu_10409_-	5	chr15:31655250-31870507	OTUD7A	cryptic	3.53e-38
clu_139841_+	6	chr10:32462703-32472481	CCDC7	cryptic	1.11e-37
clu_23489_-	7	chr10:47542306-47544389	BMS1P2	cryptic	1.14e-37
clu_61218_+	6	chr1:120824146-120836517	NBPF26	annotated	4.05e-37
clu_79619_-	10	chr20:35272145-35279566	MMP24-AS1	cryptic	3.38e-36
clu_20507_-	11	chr3:75426599-75430832	FAM86DP	cryptic	8.44e-36
clu_139239_-	7	chr1:248745279-248748341	LYPD8	cryptic	5.87e-31
clu_63850_+	9	chr1:213051509-213104454	RPS6KC1	cryptic	1.5e-30
clu_154075_+	25	chr14:35898095-36165745	RP11-116N8.1	cryptic	1.82e-30
clu_33161_-	8	chr16:1962270-1964276	RPS2	cryptic	2.1e-30
clu_166951_-	7	chr7:44984046-44986525	SNHG15	annotated	5.02e-30
clu_169599_-	11	chr4:1096839-1113356	RNF212	cryptic	1.44e-29
clu_46845_-	5	chr9:96918826-96949555	MFSD14C	cryptic	1.47e-29
clu_125297_-	13	chr12:11047188-11171422	PRR4	cryptic	3.23e-29
clu_76829_+	3	chr5:80434217-80436756	ZFYVE16	annotated	3.26e-29
clu_142261_+	3	chr15:25227049-25228780	SNHG14	cryptic	3.32e-29
clu_168992_-	15	chr7:144623261-144682909	TPK1	cryptic	4.91e-29
clu_69574_-	15	chr19:41456487-41500584	PCAT19	cryptic	9.37e-29
clu_142312_+	9	chr15:28612173-28632652	HERC2P9	cryptic	3.06e-28
clu_78804_+	6	chr5:181317395-181333743	AC138035.2	cryptic	6.39e-28
clu_133133_-	4	chr1:1734835-1738321	SLC35E2	cryptic	6.78e-28
clu_120699_+	7	chr4:118278792-118279624	SNHG8	cryptic	1.4e-27
clu_89573_+	12	chr3:39467740-39513383	MOBP	cryptic	2.85e-27
clu_97934_-	5	chr17:82037013-82037631	DCXR	annotated	4.12e-27
clu_94471_-	2	chr17:3681978-3688012	P2RX5	annotated	5.2e-27
clu_77012_+	3	chr5:96740118-96741266	CAST	annotated	5.71e-27
clu_16409_-	12	chr8:79919148-80030054	MRPS28	cryptic	5.8e-27
clu_162605_+	3	chr17:7220197-7220604	ACADVL	annotated	1.06e-26
clu_105374_?	31	chr12:124911822-124913647	.	annotated	1.49e-26
clu_61800_+	21	chr1:149661089-149669211	LINC00869	cryptic	1.85e-25
clu_142809_+	4	chr15:43330718-43333311	ADAL	cryptic	7.56e-25
clu_91789_+	14	chr3:170423327-170708044	CLDN11	cryptic	4.36e-24
clu_64944_+	3	chrX:19344094-19349312	PDHA1	annotated	4.45e-24
clu_130995_+	10	chr19:37255982-37265286	LINC01535	cryptic	4.84e-24
clu_72553_+	6	chr22:49921761-49922612	CRELD2	cryptic	1.31e-23
clu_120004_+	4	chr4:51843267-51863437	DCUN1D4	annotated	1.31e-23
clu_150159_+	4	chr2:226867318-226906793	RHBDD1	cryptic	1.55e-23
clu_120937_+	40	chr4:143762394-144083091	RP11-673E1.1	cryptic	1.68e-23
clu_90471_+	11	chr3:66263379-66369478	SLC25A26	cryptic	1.88e-23
clu_146522_+	17	chr2:39518710-39665087	AC007246.3	cryptic	2.46e-23
clu_82378_-	12	chr14:100361921-100376260	WARS	annotated	3.29e-23
clu_133829_-	4	chr1:16484464-16485569	CROCCP3	cryptic	5.35e-23
clu_143122_+	3	chr15:50482065-50489801	USP8	annotated	5.8e-23
clu_51404_+	5	chr12:122981266-122981656	ARL6IP4	annotated	5.87e-23
clu_127915_-	5	chr12:123223127-123230261	MPHOSPH9	annotated	7.5e-23
clu_149891_+	4	chr2:217263071-217263778	.	annotated	9.9e-23
clu_169677_-	13	chr4:2174751-2198524	POLN	cryptic	7.72e-22
clu_142356_+	4	chr15:29106819-29108270	APBA2	cryptic	8.02e-22
clu_5069_-	6	chr11:34890552-34916228	APIP	cryptic	4.12e-21
clu_101965_+	21	chr13:45378671-45392090	TPT1-AS1	cryptic	6.12e-21
clu_66608_+	3	chrX:154399941-154400702	RPL10	annotated	1.17e-20
clu_97319_-	3	chr17:75042277-75046925	ATP5H	cryptic	2.16e-20
clu_7654_-	5	chr11:130879711-130903255	SNX19	cryptic	2.33e-20
clu_94855_-	3	chr17:7626793-7627143	SAT2	annotated	3.14e-20
clu_3293_-	10	chr22:30664080-30667824	DUSP18	cryptic	3.58e-20
clu_45644_-	10	chr9:26346288-26424109	.	annotated	4.08e-20
clu_101699_+	9	chr13:31222991-31229185	B3GLCT	cryptic	6.37e-20
clu_155264_+	10	chr14:94110797-94115790	IFI27	cryptic	8.3e-20
clu_80634_-	6	chr14:20329373-20343278	CCNB1IP1	cryptic	9.44e-20
clu_61216_+	13	chr1:120823360-120840350	NBPF26	cryptic	1.77e-19
clu_166657_-	16	chr7:30568989-30585330	AC005154.6	cryptic	2.76e-19
clu_153793_+	6	chr14:23990359-24004337	DHRS4L2	cryptic	2.79e-19
clu_19381_-	3	chr3:41912899-41918457	ULK4	cryptic	3.23e-19
clu_79422_-	10	chr20:28559671-28586299	FRG1CP	cryptic	3.82e-19
clu_126190_-	27	chr12:53014943-53054439	RP11-983P16.4	cryptic	3.89e-19
clu_71217_+	8	chr22:22306903-22309736	LL22NC03-80A10.6	cryptic	1.39e-18
clu_25383_-	6	chr5:682333-774478	.	annotated	2.77e-18
clu_57519_-	19	chr2:241090044-241102253	MTERF4	cryptic	2.79e-18
clu_25826_-	4	chr5:33998782-34005756	AMACR	annotated	2.79e-18
clu_120454_+	3	chr4:98293515-98343139	RAP1GDS1	annotated	3.35e-18
clu_71451_+	16	chr22:27331938-27379186	CTA-929C8.8	cryptic	3.62e-18
clu_64772_+	7	chrX:10067490-10090771	WWC3	cryptic	4.65e-18
clu_50300_+	3	chr12:79285971-79292017	SYT1	cryptic	7.31e-18
clu_71810_+	11	chr22:37023405-37029264	MPST	cryptic	9.91e-18
