gene_id	ensemblID	seqname	gene_name	Dir
ENSG00000272977.1	ENSG00000272977	chr22	CTA-390C10.10	1.0
ENSG00000233913.7	ENSG00000233913	chr5	CTC-575D19.1	-1.0
ENSG00000259479.6	ENSG00000259479	chr15	SORD2P	-1.0
ENSG00000068654.15	ENSG00000068654	chr2	POLR1A	1.0
ENSG00000226278.1	ENSG00000226278	chr7	PSPHP1	-1.0
ENSG00000230076.1	ENSG00000230076	chr2	AC016708.2	-1.0
ENSG00000140263.13	ENSG00000140263	chr15	SORD	1.0
ENSG00000215374.5	ENSG00000215374	chr8	FAM66B	1.0
ENSG00000260306.1	ENSG00000260306	chr16	RP11-645C24.5	1.0
ENSG00000261377.5	ENSG00000261377	chr15	PDCD6IPP2	1.0
ENSG00000147403.16	ENSG00000147403	chrX	RPL10	1.0
ENSG00000196312.12	ENSG00000196312	chr9	MFSD14C	1.0
ENSG00000237973.1	ENSG00000237973	chr1	MTCO1P12	-1.0
ENSG00000123643.12	ENSG00000123643	chr5	SLC36A1	-1.0
ENSG00000109775.10	ENSG00000109775	chr4	UFSP2	1.0
ENSG00000210151.2	ENSG00000210151	chrM	MT-TS1	1.0
ENSG00000206149.10	ENSG00000206149	chr15	HERC2P9	1.0
ENSG00000107951.13	ENSG00000107951	chr10	MTPAP	1.0
ENSG00000176809.10	ENSG00000176809	chr17	LRRC37A3	1.0
ENSG00000264343.5	ENSG00000264343	chr1	NOTCH2NL	-1.0
ENSG00000279656.1	ENSG00000279656	chr14	RP11-298I3.6	1.0
ENSG00000120071.12	ENSG00000120071	chr17	KANSL1	1.0
ENSG00000153029.14	ENSG00000153029	chr1	MR1	-1.0
ENSG00000242110.7	ENSG00000242110	chr5	AMACR	1.0
ENSG00000259433.2	ENSG00000259433	chr15	CTD-2651B20.4	1.0
ENSG00000188933.14	ENSG00000188933	chr17	USP32P1	1.0
ENSG00000170160.17	ENSG00000170160	chr17	CCDC144A	1.0
ENSG00000183281.14	ENSG00000183281	chr2	PLGLB1	1.0
ENSG00000280071.3	ENSG00000280071	chr21	CH507-9B2.3	1.0
ENSG00000168765.15	ENSG00000168765	chr1	GSTM4	-1.0
ENSG00000272750.1	ENSG00000272750	chr1	RP11-378J18.8	-1.0
ENSG00000224635.1	ENSG00000224635	chr20	RP4-564F22.5	-1.0
ENSG00000274512.5	ENSG00000274512	chr17	TBC1D3L	1.0
ENSG00000241945.7	ENSG00000241945	chr21	PWP2	-1.0
ENSG00000188611.14	ENSG00000188611	chr10	ASAH2	1.0
ENSG00000168255.19	ENSG00000168255	chr7	POLR2J3	-1.0
ENSG00000197785.13	ENSG00000197785	chr1	ATAD3A	1.0
ENSG00000223496.2	ENSG00000223496	chr16	EXOSC6	1.0
ENSG00000170889.13	ENSG00000170889	chr19	RPS9	-1.0
ENSG00000276550.4	ENSG00000276550	chr15	HERC2P2	1.0
ENSG00000266302.6	ENSG00000266302	chr17	RP11-219A15.1	1.0
ENSG00000215256.3	ENSG00000215256	chr14	DHRS4-AS1	1.0
ENSG00000179899.8	ENSG00000179899	chr12	PHC1P1	1.0
ENSG00000215908.9	ENSG00000215908	chr1	CROCCP2	-1.0
ENSG00000167720.12	ENSG00000167720	chr17	SRR	-1.0
ENSG00000227232.5	ENSG00000227232	chr1	WASH7P	-1.0
ENSG00000170113.15	ENSG00000170113	chr15	NIPA1	-1.0
ENSG00000274767.1	ENSG00000274767	chr17	AC131056.3	-1.0
ENSG00000087842.10	ENSG00000087842	chrX	PIR	-1.0
ENSG00000114331.13	ENSG00000114331	chr3	ACAP2	-1.0
ENSG00000197728.9	ENSG00000197728	chr12	RPS26	-1.0
ENSG00000253535.5	ENSG00000253535	chr8	RP11-624C23.1	-1.0
ENSG00000092108.20	ENSG00000092108	chr14	SCFD1	-1.0
ENSG00000065457.10	ENSG00000065457	chr16	ADAT1	-1.0
ENSG00000278971.1	ENSG00000278971	chr18	RP11-644A7.2	1.0
ENSG00000133519.12	ENSG00000133519	chr22	ZDHHC8P1	-1.0
ENSG00000246375.2	ENSG00000246375	chr4	RP11-10L7.1	-1.0
ENSG00000215018.9	ENSG00000215018	chr7	COL28A1	1.0
ENSG00000176681.14	ENSG00000176681	chr17	LRRC37A	1.0
ENSG00000180921.6	ENSG00000180921	chr8	FAM83H	-1.0
ENSG00000131591.17	ENSG00000131591	chr1	C1orf159	1.0
ENSG00000216901.1	ENSG00000216901	chr6	ZNF603P	-1.0
ENSG00000168803.14	ENSG00000168803	chr15	ADAL	1.0
ENSG00000235615.2	ENSG00000235615	chr2	AJ239322.1	1.0
ENSG00000065621.14	ENSG00000065621	chr10	GSTO2	1.0
ENSG00000236397.3	ENSG00000236397	chr2	DDX11L2	1.0
ENSG00000071967.11	ENSG00000071967	chr2	CYBRD1	-1.0
ENSG00000160284.14	ENSG00000160284	chr21	SPATC1L	1.0
ENSG00000103051.18	ENSG00000103051	chr16	COG4	1.0
ENSG00000198755.10	ENSG00000198755	chr6	RPL10A	-1.0
