module,gene_id,gene_name
greenyellow,ENSG00000227232.5,WASH7P
brown,ENSG00000278267.1,MIR6859-1
grey,ENSG00000279457.3,FO538757.1
blue,ENSG00000228463.9,AP006222.2
grey,ENSG00000236679.2,RPL23AP24
grey,ENSG00000237094.11,RP4-669L17.10
grey,ENSG00000230021.8,RP5-857K21.4
darkgreen,ENSG00000225630.1,MTND2P28
grey,ENSG00000237973.1,MTCO1P12
darkgreen,ENSG00000248527.1,MTATP6P1
brown,ENSG00000228327.3,RP11-206L10.2
lightcyan,ENSG00000237491.8,RP11-206L10.9
grey,ENSG00000230092.7,RP11-206L10.8
turquoise,ENSG00000228794.8,LINC01128
grey,ENSG00000225880.5,LINC00115
pink,ENSG00000188976.10,NOC2L
turquoise,ENSG00000187961.13,KLHL17
grey,ENSG00000188290.10,HES4
grey,ENSG00000187608.8,ISG15
brown,ENSG00000188157.13,AGRN
brown,ENSG00000131591.17,C1orf159
brown,ENSG00000078808.16,SDF4
turquoise,ENSG00000176022.4,B3GALT6
brown,ENSG00000160087.20,UBE2J2
brown,ENSG00000230415.1,RP5-902P8.10
brown,ENSG00000162572.19,SCNN1D
brown,ENSG00000131584.18,ACAP3
brown,ENSG00000169972.11,PUSL1
brown,ENSG00000127054.19,CPSF3L
brown,ENSG00000240731.1,RP5-890O3.9
violet,ENSG00000224051.6,CPTP
brown,ENSG00000107404.18,DVL1
magenta,ENSG00000162576.16,MXRA8
greenyellow,ENSG00000175756.13,AURKAIP1
grey,ENSG00000221978.11,CCNL2
greenyellow,ENSG00000224870.6,RP4-758J18.2
grey,ENSG00000242485.5,MRPL20
grey,ENSG00000272455.1,RP4-758J18.13
blue,ENSG00000235098.8,ANKRD65
grey,ENSG00000179403.11,VWA1
grey60,ENSG00000215915.9,ATAD3C
brown,ENSG00000160072.19,ATAD3B
brown,ENSG00000197785.13,ATAD3A
violet,ENSG00000205090.8,TMEM240
grey,ENSG00000160075.11,SSU72
grey,ENSG00000215014.4,RP5-832C2.5
greenyellow,ENSG00000228594.3,FNDC10
salmon,ENSG00000272106.1,RP11-345P4.9
brown,ENSG00000197530.12,MIB2
grey,ENSG00000248333.8,CDK11B
turquoise,ENSG00000189339.11,SLC35E2B
grey,ENSG00000008128.22,CDK11A
grey,ENSG00000268575.1,RP1-283E3.8
brown,ENSG00000215790.6,SLC35E2
brown,ENSG00000008130.15,NADK
royalblue,ENSG00000078369.17,GNB1
brown,ENSG00000231050.1,RP1-140A9.1
brown,ENSG00000169885.9,CALML6
brown,ENSG00000142609.17,CFAP74
grey,ENSG00000233542.1,RP11-547D24.1
pink,ENSG00000187730.7,GABRD
pink,ENSG00000067606.16,PRKCZ
pink,ENSG00000162585.16,FAAP20
darkorange,ENSG00000157933.9,SKI
brown,ENSG00000116151.13,MORN1
brown,ENSG00000269896.2,RP4-740C4.5
grey,ENSG00000272420.1,RP4-740C4.7
greenyellow,ENSG00000157916.19,RER1
saddlebrown,ENSG00000157911.9,PEX10
blue,ENSG00000149527.17,PLCH2
brown,ENSG00000157881.13,PANK4
blue,ENSG00000197921.5,HES5
brown,ENSG00000157873.17,TNFRSF14
greenyellow,ENSG00000157870.14,FAM213B
grey,ENSG00000215912.12,TTC34
magenta,ENSG00000177133.10,LINC00982
magenta,ENSG00000142611.16,PRDM16
darkturquoise,ENSG00000162591.15,MEGF6
yellow,ENSG00000238260.1,RP11-46F15.2
darkgrey,ENSG00000158109.14,TPRG1L
brown,ENSG00000116213.15,WRAP73
brown,ENSG00000227372.11,TP73-AS1
