Feature,Dir_caudate,Dir_gyrus,ensemblID,Symbol,adj.P.Val,logFC,t
ENSG00000277883.1,1.0,-1.0,ENSG00000277883,NLRP3P1,6.56221013687587e-07,0.404941814045498,6.06792218445312
ENSG00000075234.16,-1.0,1.0,ENSG00000075234,TTC38,7.65472834500369e-06,-0.301819145674369,-5.50839264279011
ENSG00000134265.12,1.0,-1.0,ENSG00000134265,NAPG,0.0012473567687113,0.0800819326798338,4.14942796497597
ENSG00000101224.17,-1.0,1.0,ENSG00000101224,CDC25B,0.0015987251909398,-0.118643839567162,-4.06917865614517
ENSG00000068831.18,1.0,-1.0,ENSG00000068831,RASGRP2,0.0027887493292858,0.139553708044595,3.89175001251265
ENSG00000256537.4,1.0,-1.0,ENSG00000256537,SMIM10L1,0.0029845014789412,0.11121862558789,3.87046410102169
ENSG00000125845.6,-1.0,1.0,ENSG00000125845,BMP2,0.011315024710266,-0.20934674218192,-3.38347881935378
ENSG00000105700.10,-1.0,1.0,ENSG00000105700,KXD1,0.0144090362247209,-0.0714407432689884,-3.28859803219233
ENSG00000189376.11,1.0,-1.0,ENSG00000189376,C8orf76,0.0162623845408045,0.145713416934928,3.23970500123512
ENSG00000228624.7,-1.0,1.0,ENSG00000228624,,0.0177457149178331,-0.110123443703265,-3.20294876340479
ENSG00000106069.20,1.0,-1.0,ENSG00000106069,CHN2,0.0211874342348758,0.144669167373243,3.12492191349639
ENSG00000071991.8,1.0,-1.0,ENSG00000071991,CDH19,0.0401254414851649,0.190289698239427,2.84746746417679
ENSG00000138640.14,-1.0,1.0,ENSG00000138640,FAM13A,0.0471573512414209,-0.0785667188774933,-2.76942811996744
