""	inGencode	inGencodeStart	inGencodeEnd	gencodeGeneID	ensemblID	Symbol	gencodeStrand	gencodeTx	numTx	Class	startExon	endExon	newGeneID	newGeneSymbol	isFusion	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
chr1:1668473-1675462(-)	TRUE	TRUE	TRUE	ENSG00000189339.11	ENSG00000189339	SLC35E2B	-	ENST00000614300.4	1	InGen	1473	1472	ENSG00000189339.11	SLC35E2B	FALSE	4.13555984854292	-0.621354031546558	14.2276994005833	2.58452124457953e-33	3.85949141974306e-28	59.1737484322839	0.200598423854194
chr1:1734836-1738320(-)	TRUE	TRUE	TRUE	ENSG00000215790.6	ENSG00000215790	SLC35E2	-	ENST00000355439.6|ENST00000246421.4	2	InGen	1558	1572	ENSG00000215790.6	SLC35E2	TRUE	-2.68752732299004	-0.364431372365032	-13.1310433042883	1.02504482270636e-29	7.65354842097821e-25	53.7295358848305	0.185724696741027
chr7:140700960-140702865(+)	TRUE	TRUE	TRUE	ENSG00000090266.12	ENSG00000090266	NDUFB2	+	ENST00000482954.5|ENST00000464564.6|ENST00000472695.5|ENST00000476470.5	4	InGen	226333	226334	ENSG00000090266.12	NDUFB2	FALSE	-4.34924893013558	-1.83192006899591	-12.5205542285922	9.97307286047795e-28	4.96429647776011e-23	46.0977343120252	0.0836895195580591
chr17:64815246-64821766(-)	TRUE	TRUE	TRUE	ENSG00000214176.9	ENSG00000214176	PLEKHM1P1	-	ENST00000582201.5|ENST00000580919.5	2	InGen	465929	465913	ENSG00000214176.9	PLEKHM1P1	FALSE	-4.1236123613748	-2.13090910929372	-11.2964796824305	8.49274127159671e-24	3.17057386707202e-19	38.0672573604142	0.0958661948471594
chr12:124913268-124913495(-)	TRUE	TRUE	TRUE	ENSG00000150991.14	ENSG00000150991	UBC	-	ENST00000541272.1	1	InGen	357096	357095	ENSG00000150991.14	UBC	FALSE	2.20979301727678	4.02027981257625	11.1654842581983	2.20700174145946e-23	6.59147554107764e-19	42.4177296086046	0.159107082355813
chr15:25252334-25254784(+)	FALSE	TRUE	FALSE						0	AltStartEnd	389442		ENSG00000224078.12	SNHG14	FALSE	1.04543473297155	0.341661211693236	10.9130674206364	1.37762615237221e-22	3.42870484933157e-18	39.9714973894819	0.187484405779731
chr7:152329500-152367154(+)	FALSE	FALSE	FALSE						0	Novel					FALSE	-4.19947575894752	-1.66380148332954	-10.8534295169234	2.11962769991904e-22	4.52180177223729e-18	35.6582622007905	0.183156302823149
chr8:80003181-80029760(-)	TRUE	TRUE	TRUE	ENSG00000147586.9	ENSG00000147586	MRPS28	-	ENST00000519386.5	1	InGen	241722	241724	ENSG00000147586.9	MRPS28	FALSE	2.87359854690244	-1.89830884037238	10.8040653356205	3.02632932120912e-22	5.64905979831848e-18	34.5079197823789	0.202259151084802
chrX:115641505-115682578(+)	FALSE	FALSE	FALSE						0	Novel					FALSE	3.9603703140946	-2.46444459369093	10.7775296711557	3.66405751164955e-22	6.07952635857932e-18	33.5536455145732	0.0875453211871074
chr14:23941159-23953573(-)	TRUE	TRUE	TRUE	ENSG00000215256.3	ENSG00000215256	DHRS4-AS1	-	ENST00000553454.1	1	InGen	371156	371160	ENSG00000215256.3	DHRS4-AS1	FALSE	2.79082964637958	-1.16523519361178	10.5371575049897	2.05724268527975e-21	3.07210107435511e-17	34.5454405331188	0.0891764750302164
