""	Length	gencodeID	ensemblID	gene_type	Symbol	EntrezID	Class	meanExprs	NumTx	gencodeTx	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
e479609	90	ENSG00000204894.4	ENSG00000204894	processed_pseudogene	""		InGen	2.9739393155358	1	ENST00000472406.1	-4.24173028465869	-3.21080963461678	-14.2521946833946	2.08659066781297e-33	6.84143001799846e-28	56.7752353565788	0.13424018126026
e1124745	3754	ENSG00000272977.1	ENSG00000272977	sense_intronic	""		InGen	0.357784848083247	1	ENST00000609475.1	2.26416369174907	-0.151096194441411	13.0315962377677	2.11776214299607e-29	3.4718169019849e-24	55.5100131994178	0.13873952472893
e1124743	2819	ENSG00000100058.12	ENSG00000100058	transcribed_unprocessed_pseudogene	CRYBB2P1	1416	InGen	0.23703628823933	1	ENST00000609513.1	2.75666288770236	-1.33799502700105	12.712177006183	2.33003996067696e-28	2.01217183891786e-23	51.9331041532513	0.112465344257921
e1124742	1693	ENSG00000100058.12	ENSG00000100058	transcribed_unprocessed_pseudogene	CRYBB2P1	1416	InGen	0.96250287957786	1	ENST00000609084.1	2.58710534178328	0.09686271191431	12.6901141754549	2.74887116763756e-28	2.01217183891786e-23	53.1240597792457	0.101203076543063
e1124727	812	ENSG00000100058.12	ENSG00000100058	transcribed_unprocessed_pseudogene	CRYBB2P1	1416	InGen	1.43667961387876	1	ENST00000382734.9	2.66410806767295	-0.424264805697617	12.675429733621	3.06849516115522e-28	2.01217183891786e-23	52.7013079086641	0.1045110465831
e544335	1173	ENSG00000196312.12	ENSG00000196312	protein_coding	MFSD14C		InGen	1.47813174667451	1	ENST00000637864.1	1.03312769442336	0.659064328025674	12.5955693254423	5.57912263710257e-28	2.62942274409402e-23	52.6862980135124	0.134589974580711
e1124741	173	ENSG00000100058.12	ENSG00000100058	transcribed_unprocessed_pseudogene	CRYBB2P1	1416	InGen	0.900999155006138	1	ENST00000509460.2	2.67961204512594	-3.3086670786505	12.5947436713966	5.6136951800858e-28	2.62942274409402e-23	46.0487074601063	0.170357298031933
e364586	645	ENSG00000233913.7	ENSG00000233913	processed_pseudogene	""		InGen	8.34577737109668	1	ENST00000522551.1	-2.56734205472355	0.971900960816599	-12.4956982015407	1.17726152179929e-27	4.82494748401829e-23	51.9432736914706	0.1167910151304
e822701	1475	ENSG00000259479.6	ENSG00000259479	transcribed_unprocessed_pseudogene	SORD2P		InGen	0.234639198840102	1	ENST00000561384.3	-3.84495019916131	-2.70213477051572	-12.2604197608431	6.80828850589056e-27	2.48030489128597e-22	45.4141620767975	0.10187457434663
e822703	851	ENSG00000259479.6	ENSG00000259479	transcribed_unprocessed_pseudogene	SORD2P		InGen	0.198788940846067	1	ENST00000562107.1	-3.39563472972861	-3.56246692371873	-12.2112393120398	9.81761936582437e-27	3.21896176718903e-22	43.176512932525	0.104401094057715
e441992	108	ENSG00000226278.1	ENSG00000226278	unprocessed_pseudogene	PSPHP1		InGen	10.9732594504091	1	ENST00000450062.1	-5.01453494134935	-1.59229738401311	-12.1504709904561	1.54260732176117e-26	4.59803562027059e-22	46.3820977351485	0.120353677088028
e1124736	1000	ENSG00000100058.12	ENSG00000100058	transcribed_unprocessed_pseudogene	CRYBB2P1	1416	InGen	0.262828913346897	1	ENST00000354451.6	2.55676954100832	-2.61156079376455	11.8977925468692	1.00480582355183e-25	2.74543095169065e-21	43.8585695430244	0.0970816374150983
e967736	3006	ENSG00000176809.10	ENSG00000176809	protein_coding	LRRC37A3	374819	InGen	0.35196123688094	1	ENST00000584306.5	1.42026811634829	-0.226100957046177	11.8410410908269	1.52881679605376e-25	3.82945405659952e-21	46.9542255257093	0.101140981218106
e967722	3012	ENSG00000176809.10	ENSG00000176809	protein_coding	LRRC37A3	374819	InGen	0.351644492465258	1	ENST00000319651.9	1.42021049629927	-0.224790313913517	11.8319439390243	1.63514123608905e-25	3.82945405659952e-21	46.8899306250492	0.0970816374150983
e138812	7308	ENSG00000068654.15	ENSG00000068654	protein_coding	POLR1A	25885	InGen	1.10816781045127	1	ENST00000263857.10	0.589279853603711	2.93671831293087	11.5586691238133	1.22531175509009e-24	2.67833544674613e-20	45.2922206592857	0.104401094057715
e1176450	116	ENSG00000147403.16	ENSG00000147403	protein_coding	RPL10	6134	InGen	82.5397403850753	1	ENST00000485196.5	1.1769773757124	2.7053933891668	11.1462575981723	2.5027682717792e-23	4.44668181650958e-19	42.3224409023191	0.127793512986
