chromosome,start,end,gene_id,gene_name
chr6,29722775,29738528,ENSG00000204642.13,HLA-F
chr6,29726601,29749049,ENSG00000214922.9,HLA-F-AS1
chr6,29790954,29797811,ENSG00000181126.13,HLA-V
chr6,29800415,29802425,ENSG00000261548.1,HLA-P
chr6,29826967,29831125,ENSG00000204632.11,HLA-G
chr6,29887752,29890482,ENSG00000206341.7,HLA-H
chr6,29896654,29897786,ENSG00000231130.1,HLA-T
chr6,29926459,29929232,ENSG00000230795.3,HLA-K
chr6,29934101,29934286,ENSG00000228078.1,HLA-U
chr6,29941260,29945884,ENSG00000206503.11,HLA-A
chr6,29956596,29958570,ENSG00000235290.1,HLA-W
chr6,30005971,30009956,ENSG00000204622.11,HLA-J
chr6,30259584,30293014,ENSG00000243753.5,HLA-L
chr6,30351416,30351550,ENSG00000224372.1,HLA-N
chr6,30489467,30494205,ENSG00000204592.8,HLA-E
chr6,31268749,31272130,ENSG00000204525.15,HLA-C
chr6,31353872,31357188,ENSG00000234745.9,HLA-B
chr6,31382074,31382288,ENSG00000225851.1,HLA-S
chr6,32439842,32445046,ENSG00000204287.13,HLA-DRA
chr6,32459821,32473500,ENSG00000196301.3,HLA-DRB9
chr6,32517343,32530287,ENSG00000198502.5,HLA-DRB5
chr6,32552713,32560022,ENSG00000229391.7,HLA-DRB6
chr6,32552990,32589848,ENSG00000196126.10,HLA-DRB1
chr6,32628179,32647062,ENSG00000196735.11,HLA-DQA1
chr6,32659467,32668383,ENSG00000179344.16,HLA-DQB1
chr6,32659880,32660729,ENSG00000223534.1,HLA-DQB1-AS1
chr6,32730758,32731695,ENSG00000226030.1,HLA-DQB3
chr6,32741342,32747215,ENSG00000237541.3,HLA-DQA2
chr6,32756098,32763534,ENSG00000232629.8,HLA-DQB2
chr6,32812763,32817048,ENSG00000241106.6,HLA-DOB
chr6,32896416,32896490,ENSG00000235301.1,HLA-Z
chr6,32934629,32941070,ENSG00000242574.8,HLA-DMB
chr6,32948613,32969094,ENSG00000204257.14,HLA-DMA
chr6,33004178,33009612,ENSG00000204252.13,HLA-DOA
chr6,33064569,33080775,ENSG00000231389.7,HLA-DPA1
chr6,33075926,33087201,ENSG00000223865.10,HLA-DPB1
chr6,33091753,33097295,ENSG00000231461.1,HLA-DPA2
chr6,33112451,33129084,ENSG00000224557.7,HLA-DPB2
chr6,33131216,33143325,ENSG00000237398.1,HLA-DPA3
