clusterID	N	coord	gene	annotation	FDR
clu_71861_+	6	chr3:129488397-129499902	IFT122	cryptic	9.94e-66
clu_97155_-	12	chr12:124911899-124913725	UBC	cryptic	2.23e-61
clu_56723_+	19	chr22:45323427-45332425	FAM118A	cryptic	1.12e-58
clu_97156_-	24	chr12:124911952-124913549	UBC	cryptic	7.89e-49
clu_87410_+	10	chr6:26440648-26443957	BTN3A3	cryptic	8.92e-49
clu_112823_+	18	chr2:39518710-39665202	AC007246.3	cryptic	1.12e-37
clu_63473_-	6	chr14:22905221-22906195	RBM23	cryptic	2.29e-36
clu_74099_-	3	chr17:3679784-3688012	P2RX5	annotated	1.13e-33
clu_109498_+	4	chr15:25240212-25242072	SNHG14	cryptic	1.02e-29
clu_127839_+	15	chr17:55774859-55938659	PCTP	cryptic	1.05e-29
clu_101521_-	7	chr1:1668472-1675463	SLC35E2B	cryptic	3.01e-26
clu_61819_+	3	chr5:177951956-177957609	RP11-423H2.3	cryptic	6.33e-25
clu_122192_+	8	chr11:62856381-62881019	SLC3A2	annotated	2.5e-24
clu_62436_-	56	chr20:25775312-25867953	FAM182B	cryptic	5.26e-23
clu_129529_-	14	chr7:30568989-30585330	AC005154.6	cryptic	3.78e-22
clu_109533_+	10	chr15:25252333-25266431	SNHG14	cryptic	9.13e-21
clu_47374_+	12	chr1:121717237-121872821	.	annotated	2.27e-20
clu_117648_-	34	chr6:94573257-94735654	.	annotated	1.82e-18
clu_101741_-	14	chr1:6477658-6519445	PLEKHG5	cryptic	4.97e-18
clu_109492_+	3	chr15:25187905-25189741	SNHG14	cryptic	1.77e-17
clu_131998_-	92	chr7:158087650-158090219	.	annotated	6.16e-17
clu_79762_+	23	chr13:45378671-45392090	TPT1-AS1	cryptic	2.13e-15
clu_106864_-	5	chr1:248745279-248748341	LYPD8	cryptic	4.27e-15
clu_87100_+	13	chr6:3255229-3302858	PSMG4	cryptic	1.91e-14
clu_143890_+	12	chr7:100338889-100351258	STAG3L5P-PVRIG2P-PILRB	cryptic	6.62e-14
clu_20967_-	29	chr5:63344404-63697805	.	annotated	6.89e-14
clu_59845_+	4	chr5:70421357-70422113	GTF2H2B	annotated	2.16e-13
clu_76306_-	3	chr17:64805100-64821767	PLEKHM1P1	annotated	2.09e-12
clu_20175_-	6	chr5:748506-751141	ZDHHC11B	cryptic	2.12e-12
clu_17548_-	4	chr3:197624187-197627780	AC024560.3	annotated	2.21e-12
clu_49696_+	8	chr1:213051509-213104454	RPS6KC1	cryptic	2.72e-12
clu_1277_-	18	chrX:115845457-115889331	.	annotated	2.91e-12
clu_137153_+	3	chr16:58509352-58511422	NDRG4	annotated	3.69e-12
clu_55753_+	8	chr22:22306903-22309736	LL22NC03-80A10.6	cryptic	9.8e-12
clu_132479_-	9	chr4:9224246-9247975	.	annotated	2.01e-11
clu_74544_-	3	chr17:10686842-10691872	SCO1	cryptic	2.28e-11
clu_12484_-	10	chr8:101719648-101915809	NCALD	cryptic	3.55e-11
clu_132806_-	17	chr4:36012831-36045979	ARAP2	cryptic	8.14e-11
clu_42151_-	10	chr2:97547731-97551289	ANKRD36B	cryptic	1.42e-10
clu_92612_+	11	chr8:12145700-12419142	FAM66D	cryptic	1.44e-10
clu_28353_-	11	chr16:89398092-89398459	.	annotated	1.66e-10
clu_115634_+	4	chr2:217263071-217263778	.	annotated	2.67e-10
clu_74426_-	4	chr17:7626793-7627143	SAT2	cryptic	3.81e-10
clu_117647_-	11	chr6:94547909-94563220	.	annotated	4.07e-10
clu_21674_-	7	chr5:131159611-131165095	HINT1	cryptic	5.57e-10
clu_60245_+	8	chr5:83258677-83398224	XRCC4	cryptic	1.21e-09
clu_42152_-	3	chr2:97558994-97560832	ANKRD36B	cryptic	1.98e-09
clu_60391_+	3	chr5:96740118-96741266	CAST	annotated	2.56e-09
clu_101525_-	4	chr1:1734835-1738321	SLC35E2	cryptic	3.13e-09
clu_25645_+	7	chr20:58673711-58691724	STX16	cryptic	3.4e-09
clu_109497_+	4	chr15:25232755-25234575	SNHG14	cryptic	8.77e-09
clu_4754_-	3	chr11:61335435-61342368	DDB1	cryptic	1.76e-08
clu_142075_+	16	chr7:5823526-5840761	ZNF815P	cryptic	2.1e-08
clu_35099_-	23	chr9:87848698-87933129	XXyac-YM21GA2.3	cryptic	1.05e-07
clu_7957_-	3	chr15:31657077-31870507	OTUD7A	cryptic	1.09e-07
clu_48064_+	12	chr1:148808737-148937747	PDE4DIP	cryptic	1.16e-07
clu_40225_-	36	chr2:11124785-11132273	AC062028.1	cryptic	1.21e-07
clu_118721_+	5	chr14:20343687-20346863	PARP2	cryptic	1.39e-07
clu_16985_-	3	chr3:170381710-170478356	.	annotated	1.76e-07
clu_6299_-	4	chr11:130879711-130903255	SNX19	cryptic	1.89e-07
clu_20191_-	3	chr5:682333-774478	.	annotated	3.48e-07
clu_8659_-	11	chr15:55389433-55439472	CCPG1	cryptic	3.52e-07
clu_126258_+	9	chr17:16782336-16796043	USP32P1	cryptic	3.85e-07
clu_26714_-	4	chr16:18344283-18345378	RP11-1212A22.1	cryptic	4.61e-07
clu_27852_-	6	chr16:70943949-70959647	HYDIN	cryptic	4.61e-07
clu_9140_-	2	chr15:74837435-74837757	ULK3	annotated	4.79e-07
clu_78914_-	9	chr18:36780188-36798449	TPGS2	cryptic	4.82e-07
clu_113819_+	3	chr2:97198491-97200334	ANKRD36	cryptic	5e-07
clu_20595_-	4	chr5:33998782-34005756	AMACR	annotated	7.86e-07
clu_44334_+	5	chr1:2059591-2135262	PRKCZ	annotated	8.74e-07
clu_34804_-	4	chr9:65288015-65289658	CBWD4P	cryptic	8.74e-07
clu_61108_+	4	chr5:142770915-142879374	ARHGAP26	cryptic	1.03e-06
clu_144681_+	5	chr7:140696842-140721552	NDUFB2	cryptic	1.03e-06
clu_134463_-	14	chr21:9811157-9837902	.	annotated	1.06e-06
clu_33638_+	2	chr21:44117963-44119387	PWP2	annotated	1.18e-06
clu_24622_+	14	chr20:8493669-8494132	.	annotated	1.31e-06
