""	gene_id	Symbol	gene_type	chr	start	end	strand	length	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
ENST00000637864.1	ENSG00000196312.12	MFSD14C	protein_coding	chr9	96942913	97013600	-	1802	1.05209358105757	2.63369579335368	12.646502015528	3.34309924976781e-27	2.59925966669447e-22	51.1172376929575	0.0839860838228569
ENST00000507221.1	ENSG00000163913.11	IFT122	protein_coding	chr3	129488191	129502764	+	590	1.66476402410205	-0.227448315392454	11.8969716012138	6.29251075145898e-25	2.44621355462968e-20	45.0130580944801	0.075823375030647
ENST00000437355.6	ENSG00000146733.13	PSPH	protein_coding	chr7	56011051	56051448	-	1409	-3.77782713703829	0.70402391007238	-11.3084194799739	3.71984834210713e-23	9.64060695329432e-19	41.2685505988215	0.398184042911935
ENST00000263857.10	ENSG00000068654.15	POLR1A	protein_coding	chr2	86020216	86106155	-	12749	0.559328646382483	5.38492379380674	11.0886859772319	1.68903132530834e-22	3.28305463856808e-18	40.2995021942895	0.0911800387406043
ENST00000522551.1	ENSG00000233913.7	CTC-575D19.1	processed_pseudogene	chr5	168616352	168616996	+	645	-5.36731444747603	-3.10662718470869	-10.766520671004	1.53447369554094e-21	2.10340013551629e-17	25.9577544153937	0.461741913359181
ENST00000609475.1	ENSG00000272977.1	CTA-390C10.10	sense_intronic	chr22	25476218	25479971	+	3754	1.86127259778261	1.2751519097378	10.7582844498799	1.62320267692575e-21	2.10340013551629e-17	38.1352372226196	0.0478155306622472
ENST00000614300.4	ENSG00000189339.11	SLC35E2B	protein_coding	chr1	1659529	1692724	-	2156	2.5152204500207	-0.971793839574913	10.325678403987	3.06158666097004e-20	3.40054804129172e-16	33.7190618260511	0.11650432067841
ENST00000610495.1	ENSG00000277203.1	F8A1	protein_coding	chrX	154886349	154888061	+	1713	1.15341704547142	2.40296108160586	10.1458081248381	1.02823172435828e-19	9.99312707110702e-16	34.1758222938409	0.16906990597723
ENST00000510353.5	ENSG00000171503.11	ETFDH	protein_coding	chr4	158672316	158680101	+	987	0.797432308216219	1.1105684143425	9.96709148653733	3.40530220107008e-19	2.94180273481332e-15	32.9137252562913	0.107403052270486
ENST00000571722.3	ENSG00000262074.6	SNORD3B-2	snoRNA	chr17	19063346	19064136	-	791	3.35990916413968	-0.846615306245587	9.86262666294875	6.83642146481928e-19	5.31531768889699e-15	31.0874517535073	0.0687777652577632
ENST00000471577.5	ENSG00000115274.14	INO80B	protein_coding	chr2	74455108	74457371	+	818	2.07479011071348	-1.12535234324676	9.74958464501113	1.44945923873359e-18	1.02450414374124e-14	30.1057195994587	0.111717854576018
ENST00000477714.1	ENSG00000100376.11	FAM118A	protein_coding	chr22	45310137	45328241	+	756	4.51702015004886	-2.2842813949559	9.65304248181474	2.74768225918083e-18	1.78026913042758e-14	25.5568283242832	0.057779795577938
ENST00000334956.12	ENSG00000197702.11	PARVA	protein_coding	chr11	12377185	12530801	+	4458	-0.355957598258802	4.95664539833453	-9.58397270684882	4.33627099189069e-18	2.5934236124577e-14	30.2980639916006	0.311726460246451
ENST00000415709.5	ENSG00000100058.12	CRYBB2P1	transcribed_unprocessed_pseudogene	chr22	25455712	25459681	+	538	-2.57595503770741	0.686521282466732	-9.52605879325887	6.35164936891225e-18	3.52743384594948e-14	29.9117105945386	0.195194175371248
ENST00000267814.13	ENSG00000140263.13	SORD	protein_coding	chr15	45023104	45077185	+	4909	0.462750509706122	3.31751649574651	9.49299546440548	7.89531089239622e-18	4.01438094118345e-14	29.873420830738	0.0960802648748759
ENST00000560646.2	ENSG00000259433.2	CTD-2651B20.4	processed_pseudogene	chr15	45330209	45332634	-	2426	1.82276804916007	-1.61923014900384	9.48610745580162	8.26110547381804e-18	4.01438094118345e-14	27.5632981137602	0.130892296628621
ENST00000624054.1	ENSG00000280195.1	XX-FW83563B9.5	antisense	chrX	154396878	154398816	-	1939	-0.607636561976182	0.637850848868991	-9.4672620852985	9.35031249151513e-18	4.27639291891354e-14	29.6089736833541	0.398369686466522
